rank	username	minecraft:picked_up/minecraft:dark_oak_pressure_plate
1	Awyrlas	309
2	Mr_Byzantine	238
3	eviltunix	192
4	MyNameIsJobo	80
5	Mahoose	58
6	seramalen	54
7	Dedalus36	44
8	Prismyst	41
9	jnp_gaming	37
10	beeperbeeper5	33
11	kekhon	30
12	Akoot_	29
12	lillips	29
14	thescout7	25
15	Russiancat1	23
16	claivin	21
17	pintsizedrogue	16
17	SaucyDark	16
19	joethahobo	13
19	dezxalo	13
19	Warlord324	13
22	Eraxa	12
23	Moofyman	11
23	Ezekson	11
25	stuy9	10
25	Dusk_95	10
25	brofrickcheaters	10
28	TheShyPig	9
29	dudcreeper	8
29	Lez_	8
29	Fullut	8
32	Merv__	7
32	jacxhadow	7
32	m_be9	7
32	intropass	7
32	EcksDofficial	7
37	Smashic	6
37	Jackattack53	6
37	KingMatthew506	6
40	500am	5
40	Bl1tzFX	5
40	Blu3beast	5
40	censorsheep	5
40	tsitrawhy	5
40	PortlyPete69	5
46	teslawolf38	4
46	BlancoFlaco	4
46	Historical_Sand	4
46	Cryptacity	4
46	Paintz	4
46	theofiel	4
46	avalan64	4
46	Nekomin0	4
54	ImpavidArcher	3
54	eitanzaki	3
54	ShedJr_	3
54	Ozixar	3
54	Khelvoryk	3
54	titanlax	3
54	Karetoko	3
54	ApophisNova	3
54	Onennon	3
54	KeruNatsema	3
54	fluddd	3
54	Toriankel	3
54	stahouo	3
54	CalebDHawk	3
54	Skippeh	3
54	MyNamaSheff	3
70	RatatJuice	2
70	rarrq	2
70	TheSecondLord	2
70	BobDeBouwer1337	2
70	ThePoliteG	2
70	XboxPanda	2
70	Winklepicker279	2
70	Di_infiri	2
70	thewindmillman	2
70	AnnieBathory	2
70	Maenara	2
70	TheTrueClipse	2
70	AlphaWolfPlaysMC	2
70	EveryonesUncle	2
70	Jiminie	2
70	madderfall	2
70	Meatlaugh	2
70	Fuad_R	2
70	YungMaki	2
70	BlankityMcBlank	2
70	djancak	2
70	Soplight	2
70	Sheldor097	2
70	Hermanni__	2
94	Groovy_MoonBird	1
94	Drlzyy	1
94	6king6colt6	1
94	hm947	1
94	T045RTY	1
94	Huwulling	1
94	dopplexd	1
94	ratglock	1
94	GingerNeutron	1
94	SteveCraftBlocks	1
94	emrekn	1
94	Inchef	1
94	xxPipperDipperxx	1
94	noam464	1
94	Mattesco	1
94	Sky_light_KING	1
94	audiocracked	1
94	the_russell1611	1
94	NameGenerat0r	1
94	Quaintster	1
94	Frozil12	1
94	Barlycorn	1
94	lordpipe	1
94	MakeHistory157	1
94	Segotep999	1
94	lcvezra	1
94	_3Stump_	1
94	Steelynan	1
94	TechnoNinja64	1
94	WYFYoyo	1
94	00000000-0000-0000-0009-01f16526f034	1
