rank	username	minecraft:picked_up/minecraft:light_weighted_pressure_plate
1	mihimihimihi	11097
2	Hyp3rion_	7838
3	hanaryheatwave	7731
4	Jackattack53	1118
5	AdmiralSmoke	481
6	Jimb0nat0r	479
7	_Huge_Male_	378
8	Racengan	347
9	ZoomieZoomie	296
10	thewindmillman	77
11	wwwwinnebagoooo	47
12	Kowcio_	43
13	TheShyPig	29
13	YungMaki	29
15	Huwulling	25
15	thescout7	25
17	CliffEmAll	20
18	burbankbuilder28	18
18	NameGenerat0r	18
20	Mahoose	13
21	Soplight	12
22	Onennon	11
22	Eraxa	11
24	HellsSponge	10
25	Kynigito	9
26	Sleek_Storm_721	7
26	cichy096	7
28	Frozil20	6
28	Ze_BaronKrigler	6
28	Kubeusz2010	6
31	pixelviolin	5
32	valkam13	4
32	Spacewardharpy7	4
34	Jovaphobic	3
34	Bandito_Roamer	3
34	Cryptacity	3
34	kekhon	3
34	mwrty	3
34	noam464	3
34	Werbe	3
34	Njensen7	3
42	SaucyDark	2
42	12Magner05	2
42	fade_emerge78823	2
42	grislgrobl	2
42	Akoot_	2
47	dabloons	1
47	KarlKaek	1
47	Gundam_Steven	1
47	eitanzaki	1
47	ivorico	1
47	Historical_Sand	1
47	DarkDescent2392	1
47	_Nuf	1
47	Mewar	1
47	ARandomHedge	1
47	Kubelz	1
47	Bazongoman	1
47	domagawha	1
47	JETrotter	1
47	TheTrueClipse	1
47	audiocracked	1
47	avalan64	1
47	1442	1
47	censorsheep	1
47	Toriankel	1
47	Warlord324	1
47	MovingFish7	1
47	lordpipe	1
47	OG_Songsee	1
47	sp00ky_ghost977	1
47	SvenskaHugo	1
47	ConnorDanky_	1
47	Legendosh	1
