rank	username	minecraft:picked_up/minecraft:dark_oak_trapdoor
1	HellsSponge	5672
2	Spacewardharpy7	3743
3	Mahoose	1512
4	pintsizedrogue	912
5	EveryonesUncle	898
6	Zythose	870
7	thewindmillman	751
8	Kura2218	674
9	Lez_	603
10	Ezekson	594
11	Spaghettatron	557
12	Historical_Sand	516
13	legal_tax_evader	505
14	EMC_	493
15	kekhon	485
16	Reneedium	482
17	Mattesco	464
18	luseis	461
19	m_be9	420
19	thescout7	420
21	Legendosh	401
22	PlasticOtari	384
23	pixelviolin	377
23	taengoos	377
25	MyNameIsJobo	372
26	FishyBoy3811	368
27	TheShyPig	330
27	FreakGenius	330
29	Mr_Byzantine	320
30	Manaateee	314
31	Werbe	309
32	Jackattack53	308
33	craaaash	295
34	IamCL4SSY	292
35	__tomato	290
36	Enderxz3	287
37	TheSecondLord	283
38	eitanzaki	278
39	Xalithia	272
40	Racengan	256
40	Airem_Core	256
42	QuiCreans	248
43	SvenskaHugo	230
44	MattieHD	226
45	Kowcio_	223
46	fkGrim	218
47	beeperbeeper5	207
48	ApophisNova	203
48	MyNamaSheff	203
50	Snowflowe	198
51	Caribouse	193
52	milltesco	192
53	Kakolbus	191
54	fffMike	190
55	Onennon	180
56	burbankbuilder28	170
57	NieToksikpl	168
58	weabis	166
59	Soplight	165
60	Pumpkin_P_Patch	163
61	500am	162
62	Eraxa	161
63	lpinfinity	160
64	XboxPanda	152
64	Jij0	152
66	Archsam	138
67	CalebDHawk	135
68	emrekn	133
68	miramyu	133
70	joethahobo	132
71	Merv__	130
72	T045RTY	128
73	Jimb0nat0r	125
74	Yamdalorian	123
75	Hiryu27	120
76	Olib3ar	119
77	Elastiq	113
78	Fullut	111
79	6king6colt6	109
80	djancak	108
81	Akoot_	105
82	rarrq	104
83	gcaisawesome	102
84	Huwulling	101
85	jnp_gaming	98
86	k_ce	95
86	groofles	95
88	cheerytomato	94
88	noam464	94
90	xxPipperDipperxx	93
91	lorywithay	90
92	RatatJuice	83
93	Ryan_GEMS	82
94	EcksD	80
95	HUNTERmaun	79
96	NameGenerat0r	78
96	MustaLoordi	78
96	Hisiste	78
99	ImpavidArcher	77
99	jcool7	77
101	r123moore	76
102	livingdaydreams	74
102	bl1ss0	74
102	Hyp3rion_	74
102	Maenara	74
102	xzvu	74
107	Sorry_Arey07	73
108	knarian	72
108	eviltunix	72
110	fade_emerge78823	71
111	set67	69
111	Winklepicker279	69
111	Inbefour	69
111	Meatlaugh	69
115	Studio4x32	64
116	Napoleonpancake	63
117	Euclidoris	62
118	Jakobo1337	61
118	Groundler	61
118	PortlyPete69	61
121	Xclax101	59
122	benediktine1	56
122	Warlord324	56
124	Rebytre	54
125	Frozil20	53
125	Gregward_Smith	53
125	TechnoNinja64	53
128	Deathkob	52
129	himak1	49
129	doublemaki	49
131	_TCARREIRA_	47
132	ConnorDanky_	46
133	Prismyst	44
133	jacxhadow	44
133	MightyWertu	44
136	Druid95	43
137	Blackberry1310	42
138	Awyrlas	41
138	Skylord_Luke	41
140	GildedRemnant	40
140	Buuck_	40
140	Eczbek	40
143	Di_infiri	39
144	peach0s	37
144	Stiar	37
144	Chromary	37
147	KeruNatsema	36
148	XxCookiequeenxX	35
149	teslawolf38	34
149	NutellaPenguinz	34
149	skroobiez	34
149	SDMNAEK	34
149	iSammael	34
154	12Magner05	33
154	NomadicRobin_	33
156	Groovy_MoonBird	32
156	Hyugo	32
156	_Razaria	32
156	emreknugrlu	32
160	hermmm_	31
161	_witch_craft_	30
161	Kyrum2169	30
163	1442	29
163	Optiprimus	29
163	Skippeh	29
166	SuperPooch06	28
166	Blu3beast	28
168	gamerlord1324	27
168	_flud	27
170	Cowison	26
171	PazinGaming	25
171	DrowsyOracle	25
171	The_slideV3	25
171	El_Jalapeno	25
175	Ryker	24
175	audiocracked	24
175	cutelilreno	24
178	SaucyDark	23
178	TheDankPlatypus	23
178	oscminus	23
178	dartwaffle	23
178	Blaiku	23
178	_i_ERROR_i_	23
178	robonya_	23
185	Alteriity	22
185	Motsaro	22
185	MC_Skribble	22
188	Nach0Bear	21
188	JETrotter	21
188	PaperCanvas	21
188	MAns_44	21
192	AngalexikCZ	20
192	RobotMinion101	20
192	Dakar_	20
192	Conrad139	20
196	ShedJr_	19
196	thatbeanyboi	19
196	hanaryheatwave	19
196	Hoid_the_Roamer	19
196	Bumpy419	19
196	SolarKar	19
196	carpet4_69	19
196	Nicserso	19
204	Ozixar	18
204	BobDeBouwer1337	18
204	lorpus	18
204	Jekyll	18
204	Kynigito	18
204	Steelynan	18
210	Jovaphobic	17
210	Bandito_Roamer	17
210	mwrty	17
210	blackeemperor	17
210	Barlycorn	17
215	Ssor69	16
215	Cryptacity	16
215	DTwenty	16
215	Russiancat1	16
215	monky_irl	16
215	smogfrogg	16
221	Arivana	15
221	Crowman1	15
221	Jimi7hits	15
221	CattSoup	15
221	Biites	15
226	_Huge_Male_	14
226	AnnieBathory	14
226	sp00ky_ghost977	14
229	Natty	13
229	Tersea_	13
229	CharlieButt	13
229	CollinMH06	13
229	ZeaBaron	13
234	Nicky_H225	12
234	MinttyFressh	12
234	M_Patata	12
