rank	username	minecraft:picked_up/minecraft:purple_glazed_terracotta
1	lordpipe	617
2	Enderxz3	152
3	YungMaki	103
4	ImpavidArcher	68
5	Werbe	66
6	luseis	62
7	elliebelle107	56
8	PortlyPete69	38
9	Mr_Byzantine	36
10	oscminus	29
10	Soplight	29
12	Bumpy419	27
13	monky_irl	26
13	EcksD	26
15	Hyp3rion_	25
16	OG_Songsee	24
17	Bandito_Roamer	20
17	Tyrannosplart	20
19	RobotMinion101	18
20	SaucyDark	17
21	Apollo_993	14
21	Inbefour	14
21	obzii	14
24	thewindmillman	13
25	abdomera	11
25	Mahoose	11
25	Krowuss	11
28	kekhon	10
28	TheShyPig	10
28	MakeHistory157	10
31	PaperCanvas	8
31	wezzzi	8
31	QueenShuvi	8
31	lunkuku	8
31	_TCARREIRA_	8
36	Incinere	7
37	beeperbeeper5	6
37	Secret_Canary	6
39	Fullut	5
39	Zaridey	5
39	Rumpletaezer	5
39	Manaateee	5
39	StarCookiees_	5
39	Yamdalorian	5
45	abramgray	4
45	Merv__	4
45	Jahara	4
45	Huwulling	4
45	ThePoliteG	4
45	StanceTB	4
45	himak1	4
45	Mewar	4
45	r123moore	4
45	Winklepicker279	4
45	whoaluv	4
45	Muffindrake	4
45	ougstur	4
45	lizardfightclub	4
45	claivin	4
45	StinkyDiplomat	4
45	Druid95	4
45	__tomato	4
45	Steelynan	4
45	Skippeh	4
45	PlasticOtari	4
66	gren_ben	3
66	noam464	3
66	Akoot_	3
66	TheSeismicDuck	3
66	Spacewardharpy7	3
66	Njensen7	3
72	MrKrabOnCoke	2
72	Saucepeh	2
72	El_Jalapeno	2
72	blackeemperor	2
72	WyngGoy	2
72	Vellu21	2
72	sea_otter_h	2
79	bigstankyy	1
79	NotP0tato	1
79	Lez_	1
79	i2f8x4h8ro	1
79	bean__salad	1
79	ApophisNova	1
79	HellsSponge	1
79	ItsDeltaMC	1
79	pixelviolin	1
79	djancak	1
79	MyNamaSheff	1
