rank	username	minecraft:picked_up/minecraft:black_wool
1	thewindmillman	186444
2	noam464	107236
3	joethahobo	74478
4	EcksD	30840
5	Werbe	10353
6	Spacewardharpy7	10091
7	FreakGenius	8916
8	kekhon	7961
9	pintsizedrogue	7333
10	doublemaki	6783
11	lordpipe	5941
12	Spaghettatron	5560
13	Rumpletaezer	5539
14	eitanzaki	5086
15	Hyp3rion_	4796
16	jnp_gaming	4768
17	EMC_	4020
18	mwrty	4004
19	xxPipperDipperxx	3629
20	Snowflowe	3376
21	Blaiku	3034
22	beeperbeeper5	2882
23	QuiCreans	2822
24	TheShyPig	2422
25	Niklas20114552	2084
26	ConnorDanky_	2052
27	Tyrannosplart	2020
28	Creativebuilder2	1921
29	CattSoup	1763
30	HellsSponge	1700
31	Manaateee	1654
32	Alteriity	1586
33	Kowcio_	1343
34	Sral7	1335
35	PlzNoBM	1318
36	Smuggly_McWeed	1307
37	Yamdalorian	1290
38	hermmm_	1124
39	PlasticOtari	1102
40	Crowman1	1034
41	TheSecondLord	941
42	Xclax101	927
43	Lez_	917
44	craaaash	885
45	es0th	857
46	FirsTimeGamingTV	848
47	Huwulling	845
48	Ezekson	788
49	_Mythic____	759
50	Eraxa	690
51	Mahoose	684
52	AnnieBathory	662
53	Blackberry1310	659
54	Buuck_	621
55	Inbefour	620
56	weabis	603
57	rarrq	598
58	fffMike	578
59	_Dean_123	577
60	Di_infiri	561
61	The_slideV3	527
62	Enderxz3	514
63	seramalen	505
64	AlexxO_o	474
65	ECstardust	470
65	MattieHD	470
67	PazinGaming	453
68	PigDab	442
69	TechnoNinja64	413
70	bl1ss0	381
71	NameGenerat0r	347
72	WyngGoy	345
73	thescout7	343
74	Quaintster	323
75	El_Jalapeno	312
76	MAns_44	296
77	mariominejedi	286
78	Akoot_	282
79	__tomato	279
80	SammiWolfGirl	276
81	Frozil20	272
82	The11thDoctor	271
83	theonlymagikarp	269
84	Soplight	267
85	Wowful	260
86	Studio4x32	258
87	himak1	257
88	SaucyDark	247
89	UrbanPlanningEx	224
90	SvenskaHugo	217
91	Legendosh	209
92	Blu3beast	206
93	Motsaro	201
94	EdGalbraith	200
95	_Karmaa	195
96	Khoaducquan1234	194
96	taengoos	194
98	fr_ser	193
99	theofiel	187
99	blackeemperor	187
101	Zaridey	184
102	DarlaMeow	180
103	Merv__	177
103	Mattesco	177
105	ZigzagLily43042	172
106	Winston_Ingram	171
107	k_ce	168
108	DisgruntledKoala	167
109	oscminus	166
110	claivin	163
111	Moofyman	160
112	Mr_Byzantine	151
113	Foof13	149
114	TooManyDuck	142
115	Ssor69	140
116	PhantomsGhost_	139
116	ShedJr_	139
118	SpacesickPrism	137
119	Spenduh	135
120	_Virify_	134
121	NinjaKnifeKill	133
121	500am	133
121	olliebollie48	133
124	NotMeanttoChange	131
125	RoskobiOne	130
125	Avrelion	130
127	bigstankyy	129
127	cutelilreno	129
129	ManlyAdjective	128
129	GLLogan2	128
131	Cocoamallows	127
132	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	125
133	_flud	120
134	titanlax	115
135	knarian	114
135	Groundler	114
137	Skylord_Luke	110
137	Fildyr	110
139	Racengan	104
140	Njensen7	103
141	seanitoo	100
142	heckface	99
143	ImpavidArcher	98
144	Cruncy_	95
144	TheKingK_	95
146	luseis	90
147	Kyrum2169	88
148	Minimize501	86
149	_darky1_	84
150	PortlyPete69	80
151	Bumpy419	77
152	Bandito_Roamer	73
153	set67	72
154	U_Mos_	70
155	Comma__	69
155	Krowuss	69
155	CacheOut	69
155	IlkeCookes_	69
155	Steelynan	69
160	EveryonesUncle	67
160	ewpunk	67
160	jcool7	67
160	Quotary	67
164	cichy096	65
165	fanofbands101	64
165	TruestTurnip	64
165	FelixPSY375	64
165	Sniper008	64
169	Groovy_MoonBird	63
170	Swexti	62
170	Dakar_	62
172	MyMawgDonaldsGon	61
172	Onennon	61
172	handsome_strong	61
175	Gregward_Smith	59
176	Kronos42	57
177	SquadMonster	56
178	T045RTY	55
178	zMarciano	55
180	eiC_	54
181	Cryptacity	50
181	Lord_Jord	50
183	NumbaOneMunch	49
184	Kynigito	48
185	Btabtab	45
186	Jimb0nat0r	44
187	r123moore	43
188	Apollo_993	42
188	KingMatthew506	42
190	mimbo1211	41
190	K_a__a_n	41
192	burbankbuilder28	39
193	B3nzito	37
193	DolphinLaugh	37
193	Pumpkin_P_Patch	37
193	CalebDHawk	37
197	6king6colt6	36
198	_i_ERROR_i_	34
199	Rebytre	33
200	Archsam	32
201	TheRomanNoodles1	31
201	miramyu	31
