rank	username	minecraft:picked_up/minecraft:bow
1	Hyp3rion_	14627
2	thewindmillman	6328
3	noam464	875
4	TechnoNinja64	825
5	HellsSponge	566
6	AdmiralSmoke	458
7	Spacewardharpy7	434
8	mihimihimihi	359
9	beeperbeeper5	346
10	El_Jalapeno	341
11	Ezekson	339
12	SmashingPump	330
13	censorsheep	294
14	pintsizedrogue	290
14	sp00ky_ghost977	290
16	EcksD	281
17	kekhon	278
18	TheShyPig	272
19	Mahoose	264
20	rarrq	249
21	eitanzaki	243
22	Di_infiri	238
23	luseis	228
24	Blaiku	218
25	Akoot_	214
26	thescout7	210
27	Racengan	204
28	YungMaki	202
29	StinkyDiplomat	194
30	SingedBread	192
31	Fullut	191
32	Bumpy419	187
33	PlasticOtari	176
34	joethahobo	174
35	MattieHD	172
35	PigDab	172
37	aec9	170
38	Blackberry1310	149
39	FreakGenius	143
39	pixelviolin	143
41	eviltunix	142
42	BilboBaggins23	134
43	Segotep999	133
44	EveryonesUncle	132
45	Frozil20	130
45	Enderxz3	130
47	Kowcio_	127
48	KarlKaek	124
49	jnp_gaming	119
50	Steelynan	118
51	TheSecondLord	115
51	bloomkieren	115
53	PortlyPete69	112
54	EMC_	110
55	Kakolbus	109
56	Eraxa	107
57	12Magner05	106
58	LordSpeed37	103
59	MyNameIsJobo	101
59	Jackattack53	101
61	SaintJosie	100
62	ebanana	98
63	Fildyr	95
64	PhantomsGhost_	93
65	Kamflame10	91
65	Deathkob	91
65	lordpipe	91
65	ConnorDanky_	91
69	Hoid_the_Roamer	90
70	Zythose	87
70	Njensen7	87
72	4774	86
72	Deerfoot	86
74	Xclax101	85
75	Historical_Sand	84
75	Blu3beast	84
77	Tyrannosplart	83
77	Legendosh	83
79	ApophisNova	82
79	MyNamaSheff	82
81	RebelAndroid	80
81	Snowflowe	80
83	Groovy_MoonBird	79
83	Bandito_Roamer	79
83	Smashic	79
86	Myszoaz	78
87	JayToe	76
88	fffMike	71
89	q_wq	70
89	HesDemonPants	70
91	wezzzi	69
91	SammiWolfGirl	69
93	MAns_44	68
94	ooga47	67
95	Skippeh	66
96	500am	65
97	lcvezra	63
98	m_be9	62
99	_Nuf	61
99	fr_ser	61
101	Kyrum2169	60
102	Werbe	59
102	WyngGoy	59
102	07shiny	59
105	xzvu	58
106	Awyrlas	57
106	gcaisawesome	57
106	Winklepicker279	57
106	SpacesickPrism	57
110	Cowison	56
110	Arceus1975	56
110	Rebytre	56
110	Nicserso	56
114	oscminus	55
114	claivin	55
116	T045RTY	53
116	Mewar	53
116	ROY4LE	53
119	NiveauSubmarine	52
119	_TCARREIRA_	52
119	zOnlyKroks	52
122	excelsionprime	51
122	set67	51
122	Maenara	51
122	xolstoi	51
126	mimbo1211	50
126	OfficerAnvil	50
126	Iamthejo	50
129	mwrty	49
129	AlphaWolfPlaysMC	49
131	soundad	48
131	Euclidoris	48
131	ougstur	48
131	__tomato	48
131	Hermanni__	48
131	BreadBacon	48
137	ImpavidArcher	47
137	livingdaydreams	47
137	Chromary	47
137	Groundler	47
137	ayamefag	47
142	Nach0Bear	46
142	M_Patata	46
142	F_Uhre	46
142	NomadicRobin_	46
146	Ssor69	43
146	eiC_	43
146	yheece	43
146	RyuNeko932000	43
146	Manaateee	43
146	MasterNueve	43
152	TheDankPlatypus	41
152	shadowthemonkey	41
152	Lord_Jord	41
152	TheSeismicDuck	41
152	MovingFish7	41
152	Eczbek	41
158	Merv__	40
158	Ryker	40
158	Meatlaugh	40
158	Barlycorn	40
162	Jovaphobic	39
162	Lez_	39
162	himak1	39
162	xxPipperDipperxx	39
162	Zaridey	39
167	Rumpletaezer	38
167	Donutt	38
167	laron58	38
170	Kubeusz2010	37
170	Jimb0nat0r	37
172	TooManyDuck	36
172	FirsTimeGamingTV	36
172	diggydog67	36
175	SuperPooch06	35
175	Warlord324	35
175	Hisiste	35
175	djancak	35
179	youhjjhhhjj	34
179	MoistMicrowave	34
179	Skylord_Luke	34
179	Onennon	34
179	Soplight	34
184	Froste131	33
184	_Dean_123	33
184	Dakar_	33
184	Kateesaur	33
188	gaziter10	32
188	jacxhadow	32
188	The11thDoctor	32
188	The_slideV3	32
192	SharpDev	31
192	Spenduh	31
194	Franco093	30
194	r123moore	30
196	Mr_Byzantine	29
196	dudcreeper	29
196	Touched_Bread	29
196	SwooshBoi	29
196	wwwwinnebagoooo	29
196	non089	29
202	H72l9w	28
202	slkiey	28
202	WET_WET_WET	28
202	Mattesco	28
202	fluddd	28
202	MilleGrug	28
208	CoffeeNoir	27
208	seramalen	27
208	ItsDeltaMC	27
208	Luigipunch989	27
208	SunsetwolfGG	27
213	gary_	26
213	k_ce	26
213	Alteriity	26
213	Huwulling	26
213	bloodbiter	26
213	ImDisconnected_	26
213	hanaryheatwave	26
213	CalebDHawk	26
213	Powowowow	26
222	KingFaenor	25
222	Killercatty78	25
222	Malorn_Aetherius	25
222	GingerNeutron	25
222	TheDiamondCG	25
222	burbankbuilder28	25
222	epiksk8erduck	25
222	AlexxO_o	25
222	skrongus	25
222	00000000-0000-0000-0009-01ff0c3e5e4f	25
232	SaucyDark	24
232	Prismyst	24
232	Comma__	24
232	platinumzero	24
232	Hiryu27	24
232	MightyWertu	24
232	Soul_Atreus	24
232	SvenskaHugo	24
240	Creativebuilder2	23
240	Inchef	23
240	CollinMH06	23
240	SSytex_X	23
240	_i_ERROR_i_	23
240	RadarHz	23
240	Zoeyfortnite	23
247	SquadMonster	22
247	CliffEmAll	22
247	Kkanot	22
247	Jonafrog99	22
247	lillips	22
247	NameGenerat0r	22
247	Nycteus_	22
247	vandmanden	22
255	NatalieTW	21
255	Cryptacity	21
255	Tiberonus	21
255	ProfessorBee	21
255	Xalithia	21
255	Marbz_	21
255	TheWildMateo	21
255	_Karmaa	21
255	GravitySaint	21
255	tartanboy	21
265	6king6colt6	20
265	lotarp	20
265	fade_emerge78823	20
265	mariominejedi	20
265	zToasty69z	20
265	IamCL4SSY	20
265	MakeHistory157	20
265	_Mythic____	20
265	UrbanPlanningEx	20
265	h2p_emrld	20
275	LeauVox4921	19
275	Wowful	19
275	masskedman	19
275	Deodorante	19
275	_Meow_Mix	19
275	monky_irl	19
275	tsitrawhy	19
275	jcool7	19
275	KingMatthew506	19
275	cichy096	19
285	Natty	18
285	MrKrabOnCoke	18
285	QuiCreans	18
285	Frxnkz	18
285	Crowman1	18
285	2Stout	18
285	legal_tax_evader	18
285	Kouridragon	18
285	FishyBoy3811	18
285	Leyna3	18
285	KlausVonStiglitz	18
285	obzii	18
297	fanofbands101	17
297	NinjaKnifeKill	17
297	ShedJr_	17
297	Valoth	17
