rank	username	minecraft:picked_up/minecraft:white_concrete_powder
1	Hyp3rion_	595229
2	Jackattack53	559478
3	noam464	182521
4	Zythose	120302
5	hanaryheatwave	80147
6	beeperbeeper5	73717
7	Lez_	54275
8	eitanzaki	42422
9	rarrq	38852
10	Di_infiri	34938
11	Blaiku	33443
12	EcksD	30622
13	skitzxo	26227
14	thescout7	25260
15	Spacewardharpy7	24010
16	Swexti	19159
17	Iamthejo	19049
18	FreakGenius	15417
19	catandmoose	14457
20	Franco093	14343
21	xxPipperDipperxx	10251
22	emreknugrlu	9800
23	Inchef	8306
24	crashomon	8108
25	Saucepeh	7972
26	Hoid_the_Roamer	7251
27	pretty_pink_reno	6753
28	Hyugo	5863
29	Mahoose	5179
30	SnowyAvi	5136
31	QuiCreans	4964
32	Kowcio_	4763
33	kekhon	4687
34	joethahobo	3714
35	__tomato	3495
36	Smashic	3342
37	Groundler	2803
38	Xalithia	2714
39	myaccountwasgone	2676
40	Hiryu27	2408
41	Kyrum2169	2311
42	teslawolf38	2036
43	SkateboardR6	2029
44	NatalieTW	1933
45	ImpavidArcher	1890
46	__Fanda__	1875
47	Frozil20	1868
48	Rich_Kat	1765
49	Werbe	1721
50	NameGenerat0r	1673
51	EngagedGrub41	1664
52	thewindmillman	1526
53	himak1	1515
54	jushykins	1418
55	BumbleBeever	1213
56	set67	1211
57	Truckoss	1206
58	500am	1188
59	diamondgolem35	1127
60	Manaateee	1102
61	El_Jalapeno	1063
62	oreee	1041
63	SammiWolfGirl	1035
64	Ssor69	973
65	VentiHilton	940
66	emrekn	923
67	Leyna3	884
68	HellsSponge	867
69	Paintz	824
70	MousePlays	752
71	Quotary	744
72	xzvu	710
73	_Huge_Male_	604
74	SuperPooch06	540
75	_i_ERROR_i_	535
76	PazinGaming	528
76	_Karmaa	528
78	Da_Boss_Rani	526
79	IamCL4SSY	521
80	Yamdalorian	519
81	mihimihimihi	512
82	T045RTY	507
83	CollinMH06	492
84	ApophisNova	470
84	MyNamaSheff	470
86	sp00ky_ghost977	445
87	TheSecondLord	427
88	lordpipe	414
89	Secret_Canary	402
90	royal_2	354
90	ROY4LE	354
92	MattieHD	346
93	SmashingPump	332
94	Skippeh	323
95	PlasticOtari	293
96	TeenMomTom	259
97	Merv__	255
98	titanlax	236
99	Ezekson	220
100	YungMaki	208
101	Dakar_	198
102	KarlKaek	197
103	domagawha	195
104	oscminus	194
105	_Mythic____	175
106	pixelviolin	172
107	Zoeyfortnite	169
108	SvenskaHugo	160
109	StinkyDiplomat	159
110	CalebDHawk	154
111	TechnoNinja64	142
112	Syropatathe	141
113	stellarjay	138
114	EveryonesUncle	137
115	BlueZabu	136
116	Akoot_	134
117	claivin	132
118	MunkaKris	131
119	Kkanot	129
119	WET_WET_WET	129
121	ChillenChiggen	128
121	Eerini	128
121	Buuck_	128
124	AspenLightVT	127
125	Blu3beast	121
125	jnp_gaming	121
127	burbankbuilder28	118
128	TheShyPig	116
129	SpacesickPrism	102
130	Enderxz3	100
131	HyperCave	99
132	M_Patata	97
132	MasterNueve	97
134	Biites	92
135	RedcatVII	91
136	Malorn_Aetherius	85
136	Fuad_R	85
136	fluddd	85
139	Krowuss	84
139	Tyrannosplart	84
139	1442	84
142	Blazebit	82
143	Groovy_MoonBird	80
143	I_Am_Mushkin	80
145	stavgod	74
145	Pumpkin_P_Patch	74
147	Blammm	73
148	Mr_Byzantine	72
148	bigstankyy	72
148	Steelynan	72
151	Snowflowe	71
152	ConnorDanky_	70
153	JayToe	68
154	RadarHz	67
155	Lutres_	65
156	angpony4267	64
156	fanofbands101	64
156	Jindong	64
156	Historical_Sand	64
156	Whiterooster001	64
161	CattSoup	62
162	r123moore	61
163	SteveCraftBlocks	60
164	annebolyn	55
165	Huwulling	54
166	Azmodan_246	53
167	pintsizedrogue	51
168	Niklas20114552	50
169	Legendosh	47
170	NoChumpChange	44
171	Mewar	43
172	groofles	41
173	AltnumberF4	40
174	Avocadogerms	37
175	CoffeeNoir	35
175	nocturne78	35
177	LeauVox4921	34
178	SquadMonster	33
179	John6970	29
180	Shiirazu	28
181	2Stout	27
181	Rumpletaezer	27
183	ShedJr_	26
183	LordSpeed37	26
185	smogfrog	25
185	h2p_emrld	25
187	PlzNoBM	24
188	Onennon	23
188	PortlyPete69	23
190	k_ce	22
190	TheKingK_	22
192	jimintyy	20
192	PigDab	20
194	Blackberry1310	19
194	Quaintster	19
196	Crowman1	18
196	Segotep999	18
196	miramyu	18
199	WyngGoy	16
200	Sheldor097	15
201	bloodbiter	13
202	Mikael_Kuningas	12
203	Fullut	10
204	Flex_Tape_Phil	9
204	tuckerdoodle	9
204	IgnoredBee	9
204	Powowowow	9
208	_Nuf	8
208	JETrotter	8
208	starbits140	8
211	PhantomsGhost_	7
211	Flegneh	7
211	Iagoku	7
211	Incinere	7
211	StanceTB	7
211	ProfessorBee	7
211	IKeepDying	7
211	surfinggiraffejp	7
211	The11thDoctor	7
211	QuesoCrusaderIII	7
211	MakeHistory157	7
222	Tobinator_007	6
222	Elprone266	6
222	RobotMinion101	6
222	Mattesco	6
222	Soap_Bender	6
222	Majonezzon	6
222	Jimb0nat0r	6
229	j5ylim	5
229	ssleepless	5
229	skroobiez	5
229	iElijahi	5
229	GLLogan2	5
229	bl1ss0	5
229	AJplaysMC_	5
229	ibarker21	5
229	DarlaMeow	5
229	TheSandwhich_	5
239	RebelAndroid	4
239	4774	4
239	Hanselhoof	4
239	Marbz_	4
239	Arceus1975	4
239	Cyntrical	4
239	TheRealAndrin	4
239	Njensen7	4
239	Nicserso	4
248	Reneedium	3
248	The_Fulgurator	3
248	AlexxO_o	3
248	HeraclesOGU	3
248	Blamphe	3
248	Ze_BaronKrigler	3
248	CrazyPotater	3
255	domon41c_2	2
255	EMC_	2
255	ExtraDumb	2
255	Winklepicker279	2
255	Chromary	2
255	ISimpForIceSpice	2
255	cedric72	2
255	audiocracked	2
255	Slapface522	2
255	jcool7	2
255	_3Stump_	2
266	H0UNDFRMH3LL	1
266	SaphLaseer	1
266	NotP0tato	1
266	Alteriity	1
266	MrAdamant209	1
266	Diavri	1
266	NLKBuilder	1
266	fragrantmonke444	1
266	pappaberg	1
266	thebaddruid	1
266	OreTheBear	1
266	RebytreGT	1
266	F_Uhre	1
266	epiksk8erduck	1
266	EdGalbraith	1
266	Darkgon	1
266	wwwwinnebagoooo	1
266	CornOnTheCobalt	1
266	MrShojo	1
266	Winston_Ingram	1
