rank	username	minecraft:picked_up/minecraft:dark_oak_button
1	Mr_Byzantine	17510
2	Awyrlas	352
3	Racengan	256
4	AvaRosey	116
5	500am	98
6	beeperbeeper5	90
7	XboxPanda	64
8	eitanzaki	59
9	kekhon	58
10	Legendosh	56
11	Sky_light_KING	53
12	Mahoose	50
13	Merv__	48
14	12Magner05	47
15	PhantomBionic	33
15	Winklepicker279	33
17	claivin	32
18	Cowison	30
19	thescout7	29
19	MilleGrug	29
21	EcksDofficial	27
22	ImpavidArcher	25
23	lillips	21
24	Ssor69	20
24	Snowflowe	20
24	Karbl	20
24	Freak_Genius	20
28	Dusk_95	19
29	Jiminie	16
29	pixelviolin	16
31	noam464	14
31	M_Patata	14
31	MasterNueve	14
34	TheShyPig	13
35	pintsizedrogue	12
35	PigDab	12
35	Maenara	12
35	Soplight	12
39	EMC_	11
39	Fullut	11
41	Historical_Sand	10
41	HellsSponge	10
43	Zythose	9
43	jcool7	9
43	EcksD	9
46	titanlax	8
46	Kkanot	8
46	Akoot_	8
46	Ezekson	8
50	CharlieButt	7
50	Optiprimus	7
50	Steelynan	7
53	Groovy_MoonBird	6
53	Blackberry1310	6
53	xxPipperDipperxx	6
53	jnp_gaming	6
57	m_be9	5
57	ApophisNova	5
57	Lord_Jord	5
57	AlphaWolfPlaysMC	5
57	smogfrog	5
57	MyNamaSheff	5
63	MunkaKris	4
63	6king6colt6	4
63	Dedalus36	4
63	SaucyDark	4
63	Cryptacity	4
63	jushykins	4
63	SharpDev	4
63	SellyZ	4
63	SuperPooch06	4
63	AnnieBathory	4
63	Hiryu27	4
63	KartivGal	4
63	LexMakesHistory	4
63	Xclax101	4
63	lordpipe	4
63	kinas45y5	4
79	KingFaenor	3
79	AshleeCW	3
79	Arteriana	3
79	MSK__	3
79	MrMattyPatt	3
79	Ozixar	3
79	RobotMinion101	3
79	sufjanlover	3
79	The_slideV3	3
79	Blu3beast	3
79	BumbleBeever	3
79	SkateboardR6	3
79	Kyrum2169	3
79	xX_Stalin69_Xx	3
79	Hermanni__	3
79	JayToe	3
95	Mr_Worthless	2
95	Drlzyy	2
95	_Razar	2
95	rarrq	2
95	ThePoliteG	2
95	SteveCraftBlocks	2
95	egglapras	2
95	Dali1465	2
95	NotMeanttoChange	2
95	emrekn	2
95	Di_infiri	2
95	fxiryglitch	2
95	dezxalo	2
95	audiocracked	2
95	Blaiku	2
95	stahouo	2
95	lcvezra	2
95	GigiDuru	2
95	Enderslayerxz3	2
95	Smoke____	2
115	Bandito_Roamer	1
115	PhantomsGhost_	1
115	fanofbands101	1
115	teslawolf38	1
115	KarlKaek	1
115	ssleepless	1
115	Sabby65	1
115	Vizzoid	1
115	Euclidoris	1
115	Mercadies	1
115	BobDeBouwer1337	1
115	Ardennes	1
115	Megarboh	1
115	_Nuf	1
115	Tjhodskins19	1
115	benediktine1	1
115	Ecplosive	1
115	loveseeker	1
115	Leyna3	1
115	EveryonesUncle	1
115	_Bguette_	1
115	SingedBread	1
115	Barlycorn	1
115	Matorz	1
115	KG1999	1
115	YungMaki	1
115	Nekomin0	1
115	Kubeusz2010	1
115	laron58	1
115	FishisTTV	1
