rank	username	minecraft:picked_up/minecraft:gray_concrete_powder
1	Spacewardharpy7	20552
2	noam464	19202
3	Di_infiri	8402
4	Inchef	4221
5	ImpavidArcher	3910
6	eitanzaki	3630
7	Enderslayerxz3	2239
8	NameGenerat0r	1977
9	Hiryu27	1972
10	thescout7	1776
11	oxfordschool	1752
12	Truckoss	1527
13	Mahoose	1470
14	thewindmillman	1440
15	PlasticOtari	1194
16	Freak_Genius	1084
17	Quotary	891
18	Rich_Kat	784
19	ApophisNova	644
19	MyNamaSheff	644
21	Ezekson	643
22	Snowflowe	530
23	Frozil12	448
24	lillips	385
25	oreee	376
26	groofles	294
27	Jiminie	242
28	Blackberry1310	219
29	Blaiku	192
30	joethahobo	185
30	_Karmaa	185
32	xxPipperDipperxx	174
33	pintsizedrogue	156
34	DinoDoctor_	150
35	JayToe	142
36	Akoot_	129
36	lordpipe	129
38	Incinere	128
39	YungMaki	122
40	LordSpeed37	113
41	Historical_Sand	98
42	Hyp3rion_	64
42	Werbe	64
42	TeenMomTom	64
45	__tomato	63
46	500am	61
47	LexMakesHistory	60
48	Blu3beast	57
49	Sheldor097	46
50	beeperbeeper5	44
51	Soplight	41
52	MattieHD	39
53	lcvezra	35
54	audiocracked	31
55	Covalents	30
56	NotTrixi	22
57	I_Am_Mushkin	20
58	ShedJr_	19
59	Diavri	14
59	Jackattack53	14
59	sp00ky_ghost977	14
62	CollinMH06	13
63	titanlax	12
64	BumbleBeever	10
65	Sral7	9
66	TheBiggestFeller	6
66	AJplaysMC_	6
66	Syropatathe	6
69	TheSecondLord	5
70	Glumb0	4
70	jcool7	4
72	Rebytre	3
72	lOlmantschi	3
72	Sky_light_KING	3
72	Xclax101	3
76	MunkaKris	2
76	M_Patata	2
76	PigDab	2
76	claivin	2
76	MasterNueve	2
76	PortlyPete69	2
82	Merv__	1
82	teslawolf38	1
82	rarrq	1
82	SteveCraftBlocks	1
82	Fullut	1
82	Rumpletaezer	1
82	The11thDoctor	1
82	EveryonesUncle	1
82	avalan64	1
82	Fuad_R	1
82	EcksD	1
82	jnp_gaming	1
