rank	username	minecraft:picked_up/minecraft:burn_pottery_sherd
1	j5ylim	13
2	pintsizedrogue	6
3	k_ce	5
3	Mr_Byzantine	5
3	oscminus	5
6	pixelviolin	3
6	Jimb0nat0r	3
8	Archsam	1
8	beeperbeeper5	1
8	Jackattack53	1
8	Werbe	1
