rank	username	minecraft:picked_up/minecraft:cherry_pressure_plate
1	Lez_	22
2	cutelilreno	17
2	IlkeCookes_	17
4	Kowcio_	12
5	pintsizedrogue	6
5	MisfitsMike	6
7	Reneedium	4
8	Merv__	1
8	bl1ss0	1
8	KamFurnace	1
