rank	username	minecraft:picked_up/minecraft:lime_wool
1	noam464	57635
2	joethahobo	50429
3	thewindmillman	46556
4	EcksD	15485
5	xxPipperDipperxx	7357
6	skitzxo	7083
7	CattSoup	4615
8	hermmm_	3480
9	Lord_Jord	3461
10	beeperbeeper5	3322
11	MattieHD	3238
12	Hyp3rion_	3192
13	Groovy_MoonBird	3120
14	Crowman1	2895
15	Yamdalorian	2090
16	YungMaki	1985
17	FreakGenius	1975
18	Jimb0nat0r	1945
19	EMC_	1839
20	PhantomsGhost_	1723
21	mwrty	1685
22	Spacewardharpy7	1674
23	Lez_	1616
24	Inbefour	1340
25	SvenskaHugo	1092
26	HellsSponge	1051
27	ECstardust	966
28	weabis	902
29	Huwulling	811
30	eitanzaki	772
31	SyK7	675
32	Kekoo	634
33	Fullut	590
34	Jackattack53	582
35	Legendosh	530
36	stavgod	494
37	handsome_strong	461
38	Werbe	440
39	Enderxz3	436
40	ManlyAdjective	427
41	PortlyPete69	425
42	paranoid_plant	415
43	IamCL4SSY	381
44	FishyBoy3811	348
45	QuiCreans	331
46	TechnoNinja64	329
47	Blaiku	321
48	Xclax101	300
49	Mr_Byzantine	293
50	_Mythic____	290
51	NomadicRobin_	256
52	WyngGoy	247
53	jcool7	231
54	Ezekson	229
55	Kyrum2169	211
56	oreee	210
57	Maenara	209
57	SpacesickPrism	209
59	ConnorDanky_	205
60	AlexxO_o	196
61	royal_2	193
61	ROY4LE	193
63	Sleepy_Evelyn	192
64	Hoid_the_Roamer	190
65	heckface	173
66	lordpipe	167
67	jnp_gaming	165
68	Blackberry1310	162
69	PlasticOtari	153
70	Niklas20114552	149
71	The11thDoctor	145
72	500am	140
73	Skylord_Luke	132
74	Napoleonpancake	128
75	Mahoose	127
76	luseis	126
76	The_slideV3	126
78	Kamflame	120
79	The_SlideV5	114
80	Fuhrer_Teemo	113
81	El_Jalapeno	108
81	SammiWolfGirl	108
83	KingMatthew506	106
84	LilyNova	100
85	Njensen7	97
86	RebytreGT	96
87	TheSecondLord	95
88	Reneedium	94
89	k_ce	93
89	RoskobiOne	93
91	teslawolf38	77
92	Di_infiri	72
93	PazinGaming	70
94	Wooptey	68
95	Chromary	66
95	Blu3beast	66
97	seanitoo	64
97	_darky1_	64
97	Swexti	64
97	MyNameIsJobo	64
101	kekhon	62
102	fanofbands101	61
102	fr0stss	61
104	PeteO1995	60
104	annebolyn	60
106	Northernrabbit	59
107	Snowflowe	52
108	diamondgolem35	50
109	Bumpy419	49
110	corvidpartyfor6	44
110	fw3xy74	44
112	Kowcio_	41
113	Mattesco	40
114	NameGenerat0r	34
115	Kakolbus	33
115	Eraxa	33
117	SaucyDark	31
117	Comma__	31
117	yheece	31
117	Soplight	31
121	blackeemperor	29
122	pintsizedrogue	28
122	hanaryheatwave	28
124	Smashic	27
124	lorpus	27
124	WET_WET_WET	27
124	Druid95	27
128	Alteriity	26
128	crashomon	26
130	TheKingK_	25
131	PigDab	23
132	pretty_pink_reno	21
133	Karetoko	19
133	PlzNoBM	19
135	RebelAndroid	18
135	okCrypto	18
137	Rumpletaezer	17
137	Pumpkin_P_Patch	17
139	_Huge_Male_	16
139	SmashingPump	16
139	Franco093	16
139	redikul	16
139	oscminus	16
139	TheWickedBird	16
145	T045RTY	12
145	Barlycorn	12
145	Kura2218	12
148	GravitySaint	11
148	pixelviolin	11
148	__tomato	11
151	6king6colt6	10
151	Archsam	10
151	mafiKiwi	10
154	Frozil20	9
154	ShedJr_	9
154	Lutres_	9
157	Merv__	8
157	asspharte	8
157	TheShyPig	8
157	ZeroKraken	8
161	Shogunite	7
162	BPTY4618	6
162	DinoDoctor_	6
162	rarrq	6
162	XboxPanda	6
162	Akoot_	6
162	robonya_	6
168	420BreadLizard	5
168	claivin	5
168	laron58	5
171	FrostySlimez	4
171	HolyVenom	4
171	OverallConcept	4
171	lunkuku	4
171	alkrie	4
171	Steelynan	4
177	I_Am_Mushkin	3
177	KomputerDude	3
177	Historical_Sand	3
177	TheRealGameBoy24	3
177	bbquakes	3
177	UncreativeArtist	3
177	ReflexCode	3
177	AssFullaCum	3
177	00000000-0000-0000-0009-01fe065167f0	3
186	ProbablyNick	2
186	Da_Boss_Rani	2
186	ccwildfire1	2
186	jacxhadow	2
186	_witch_craft_	2
186	Nach0Bear	2
186	hcb238	2
186	__Fanda__	2
186	Kondzik2008	2
186	SonicRainBow_	2
186	Cruncy_	2
186	Kim_Jong_eel	2
186	AuroraSkies	2
186	EveryonesUncle	2
186	DarlaMeow	2
186	Fuad_R	2
186	djancak	2
203	CLG_Kata	1
203	chipklip	1
203	Foof13	1
203	ColeSnyder	1
203	skroobiez	1
203	titanlax	1
203	jushykins	1
203	MrExplorer	1
203	_Dean_123	1
203	Kkanot	1
203	Scathra	1
203	bl1ss0	1
203	shadowthemonkey	1
203	Marbz_	1
203	F_Uhre	1
203	PaperCanvas	1
203	Deathkob	1
203	Manaateee	1
203	shrimp_flips	1
203	_Karmaa	1
203	Quaintster	1
203	MAns_44	1
203	ArborTigress	1
203	Skippeh	1
203	Quotary	1
203	aubergined	1
