rank	username	minecraft:picked_up/minecraft:crimson_sign
1	Smoke____	127
2	12Magner05	85
3	beeperbeeper5	66
4	joethahobo	64
5	FreakGenius	57
6	lordpipe	56
7	Spacewardharpy7	35
8	pintsizedrogue	32
9	Mr_Byzantine	30
10	weabis	28
11	eitanzaki	23
12	Mahoose	21
13	luseis	20
14	Lord_Jord	16
15	noam464	15
16	Legendosh	14
17	Blenderyoda	13
17	PlasticOtari	13
19	Marbz_	12
20	BiggieDawg	11
21	ChosenBruh	8
21	NomadicRobin_	8
23	ImpavidArcher	7
23	Blackberry1310	7
23	lorpus	7
23	zToasty69z	7
27	Winklepicker279	6
27	Hyp3rion_	6
29	CliffEmAll	5
29	Syropatathe	5
29	Kubeusz2010	5
32	TheWildMateo	4
32	iElijah	4
32	SammiWolfGirl	4
35	T045RTY	3
35	Lez_	3
35	TheSecondLord	3
35	kekhon	3
35	drunkeeez	3
35	SvenskaSara	3
35	MyNameIsDakar	3
35	HellsSponge	3
35	Kowcio_	3
35	YungMaki	3
35	EcksD	3
35	Quotary	3
47	xfemboyx	2
47	RebelAndroid	2
47	rarrq	2
47	Fullut	2
47	damaPVP	2
47	paranoid_plant	2
47	Rebytre	2
47	738b4f65-6cbd-4ead-ba31-c14211abfb06	2
47	KliBeast21	2
47	mihimihimihi	2
47	Mythic1130	2
47	Soplight	2
47	GlitchyPlate810	2
47	xolstoi	2
61	teslawolf38	1
61	Frozil20	1
61	Huwulling	1
61	Historical_Sand	1
61	Crowman1	1
61	Timfinity4	1
61	500am	1
61	_Kadian_	1
61	Smashic	1
61	shadowthemonkey	1
61	Chromary	1
61	thewindmillman	1
61	Mattesco	1
61	PigDab	1
61	kasidiaris_gamin	1
61	Nycteus_	1
61	Godspirit249	1
61	Ze_BaronKrigler	1
61	ReyTheLegend	1
61	UCP_TheKingK	1
61	gusstationwerker	1
61	NATE_the_HALO	1
61	MilleGrug	1
