rank	username	minecraft:picked_up/minecraft:ender_chest
1	Mahoose	3311
2	thewindmillman	1813
3	Blaiku	1149
4	Hyp3rion_	1091
5	claivin	927
6	YungMaki	863
7	Di_infiri	757
8	Eraxa	737
9	noam464	656
10	pintsizedrogue	600
11	jnp_gaming	594
12	Blackberry1310	581
13	Hermanni__	553
14	Hisiste	531
15	CoffeeNoir	519
16	Deathkob	511
17	Skippeh	414
18	WyngGoy	385
19	Frozil12	372
20	Snowflowe	366
21	Freak_Genius	365
22	Soplight	361
23	KG1999	353
24	MightyWertu	348
25	EveryonesUncle	336
26	Historical_Sand	321
26	lillips	321
28	MakeHistory157	314
29	Groundler	306
30	jcool7	299
31	500am	282
32	PlasticOtari	275
33	m_be9	265
33	12Magner05	265
35	Fullut	264
36	pixelviolin	263
37	thescout7	262
38	mwrty	258
39	Sky_light_KING	247
40	Smoke____	226
41	PigDab	222
42	Zythose	214
43	TheSecondLord	207
44	_Virify_	206
45	Bumpy419	193
46	6king6colt6	189
47	Werbe	185
47	AssEatrAndLicker	185
49	Barlycorn	173
50	NameGenerat0r	169
51	eitanzaki	168
52	LexMakesHistory	160
53	SpaceGrenadier	159
54	PortlyPete69	155
55	SingedBread	154
56	set67	149
57	Cocoamallows	146
58	titanlax	145
59	PhantomsGhost_	143
60	MattieHD	140
61	Dogcorn69420	139
62	fkGrim	136
63	Drlzyy	133
64	Spacewardharpy7	131
65	Kowcio_	129
66	Enderslayerxz3	122
67	Ezekson	115
68	EcksD	113
69	masskedman	110
70	MilleGrug	108
71	Chromary	105
72	M_Patata	104
72	pappaberg	104
74	KartivGal	103
75	Sral7	100
76	Jackattack53	96
76	TechnoNinja64	96
78	Marbz_	90
78	MasterNueve	90
78	kinas45y5	90
81	r123moore	88
82	beeperbeeper5	87
83	Myszoaz	84
83	emrekn	84
85	AuroraValkyrie	83
86	Xclax101	82
87	kekhon	77
87	alderban107	77
89	SellyZ	76
90	Mewar	75
91	Steven1282598	69
92	BronkerBrum	66
92	NomadicRobin_	66
92	trexgb	66
95	TheSeismicDuck	64
95	MovingFish7	64
95	oxfordschool	64
98	Merv__	61
98	jushykins	61
100	DarkS0L	60
100	Soap_Bender	60
102	laron58	58
103	TooManyDuck	56
104	joethahobo	55
105	MangoTheFish	53
105	RodSerlingCringe	53
105	Jiminie	53
108	Iagoku	52
108	Eczbek	52
110	Hoid_the_Roamer	51
110	tartanboy	51
112	BumbleBeever	50
113	loveseeker	49
114	Lepthymo	48
114	ImpavidArcher	48
114	ClemenPine	48
114	Spenduh	48
118	Yatitay	47
119	Ailmast	46
119	MinttyFressh	46
121	BobDeBouwer1337	45
121	Miko_Fullbuster	45
123	KnightmareD	44
123	OG_Songsee	44
123	diggydog67	44
126	RebelAndroid	43
126	sebastiensaborio	43
128	Awyrlas	42
128	TheOuterCore	42
130	_3Stump_	41
131	Blu3beast	40
131	the__Reaper4999	40
133	diamondgolem35	39
133	Razzgriz	39
135	DTwenty	38
135	_TCARREIRA_	38
137	Rocco_Lane	36
138	Lord_Jord	35
138	sp00ky_ghost977	35
140	G1ldor	34
140	FishyBoy3811	34
140	Maenara	34
143	jiggywraps	32
143	xxPipperDipperxx	32
145	Jovaphobic	30
145	I_Am_Mushkin	30
145	TheTrueClipse	30
148	gaziter10	29
148	Kouridragon	29
148	TheShyPig	29
151	MSK__	28
151	TheThomas69	28
151	gcaisawesome	28
151	HAIRYCLOUD626	28
151	ApophisNova	28
151	Luigipunch989	28
151	MyNamaSheff	28
158	XboxPanda	27
158	Airem_Core	27
160	JEWISHBadenBeele	26
160	dimitri0s	26
160	Winklepicker279	26
160	gabriels543	26
160	SpookyDraggin	26
160	501g	26
166	EMC_	25
166	Akoot_	25
166	Racengan	25
166	lordpipe	25
166	RadarHz	25
171	__tomato	24
171	MissCeleste7	24
173	SquadMonster	23
173	Stiar	23
173	HellsSponge	23
176	CyrusIsTired	22
176	Rebytre	22
176	BlossomOwO	22
176	fred870d	22
176	Gab4101	22
176	Nycteus_	22
182	_NieToksikpl_	21
182	SeverianTheLame	21
182	Kakolbus	21
185	Z3braYTIL	20
185	lcvezra	20
187	ssleepless	19
187	stahouo	19
189	Dedalus36	18
189	rarrq	18
189	Inbefour	18
189	Katthaj	18
193	ProbablyNick	17
193	shyshyannne	17
193	mariominejedi	17
193	voiding_	17
193	Kubeusz2010	17
193	Legendosh	17
199	Covalents	16
199	Skylord_Luke	16
199	sammidk	16
202	Euclidoris	15
202	jacxhadow	15
202	ROY4LE	15
202	eiC_	15
202	audiocracked	15
202	fluddd	15
208	NinjaKnifeKill	14
208	ShedJr_	14
208	Kkanot	14
208	hcb238	14
208	Rasmanden	14
208	Deodorante	14
208	stavgod	14
208	striker90333	14
208	FelixPSY375	14
208	FishisTTV	14
218	Cowison	13
218	Hpdinosaur	13
218	Ender_Souls	13
218	The_slideV3	13
218	ediballbearings	13
218	JayToe	13
224	SaltineDream	12
224	Crowvens	12
224	King_Pancake1	12
224	2blox	12
228	Swexti	11
228	burbankbuilder28	11
228	_Karmaa	11
228	UrbanPlanner1978	11
232	Zaridey	10
232	Rumpletaezer	10
232	El_Jalapeno	10
232	Aezekial	10
236	Houstonion	9
236	Inchef	9
236	Xalithia	9
236	CollinMH06	9
236	Jiminbub	9
241	teslawolf38	8
241	Incinere	8
241	lizardfightclub	8
241	Leyna3	8
241	Kyrum2169	8
246	MixerDixer	7
246	Vizzoid	7
246	Cryptacity	7
246	sufjanlover	7
246	07shiny	7
246	ReyTheLegend	7
246	OfficerAnvil	7
253	Bandito_Roamer	6
253	Mr_Byzantine	6
253	SoftSix	6
253	himak1	6
253	Windo_licker	6
253	NNikitas	6
253	Xovalt_	6
253	TheEnderman548	6
253	obzii	6
253	fffMike	6
253	Quotary	6
253	EcksDofficial	6
265	FirsTimeGamingTV	5
265	Megarboh	5
265	WET_WET_WET	5
265	Donutt	5
265	_Crimson_Legate	5
265	yulgur1	5
265	OverallConcept	5
265	PlzNoBM	5
265	CalebDHawk	5
274	soundad	4
274	ExtraDumb	4
274	KomputerDude	4
274	awesomeoneme	4
274	Comma__	4
274	_Dean_123	4
274	Mobstr	4
274	Arceus1975	4
274	domagawha	4
274	Truckoss	4
274	HolyVenom	4
274	sxc_	4
274	XxCookiequeenxX	4
274	Syropatathe	4
274	YungWali	4
274	Quaintster	4
274	IAmTheWalrus910	4
274	Fizznut909	4
274	SammiWolfGirl	4
274	Nicserso	4
294	nataliecool	3
294	KarlKaek	3
294	bigstankyy	3
294	BodaciousCake	3
294	Jackster03	3
294	H72l9w	3
294	CliffEmAll	3
