rank	username	minecraft:picked_up/minecraft:blue_banner
1	beeperbeeper5	150
2	SteveCraftBlocks	130
3	WyngGoy	67
4	500am	58
5	YungMaki	55
6	Soplight	49
7	Mahoose	47
8	TheSecondLord	42
9	TheShyPig	40
10	Xclax101	34
11	joethahobo	33
11	Inchef	33
13	pintsizedrogue	31
14	kekhon	29
15	Blackberry1310	26
16	eitanzaki	22
17	Freak_Genius	21
17	oxfordschool	21
19	EveryonesUncle	17
20	ShedJr_	14
21	Merv__	13
21	Jiminie	13
23	Ezekson	12
24	_Dean_123	11
24	Jackattack53	11
24	burbankbuilder28	11
24	Eraxa	11
24	Legendosh	11
29	_Virify_	9
29	ApophisNova	9
29	El_Jalapeno	9
29	MyNamaSheff	9
33	Akoot_	8
33	Kowcio_	8
33	Kubeusz2010	8
36	MattieHD	7
36	Fullut	7
36	John6970	7
36	Rebytre	7
36	jnp_gaming	7
41	Ardennes	6
41	lordpipe	6
43	Sleek_Storm_721	5
43	HollieDaNugget	5
43	Chromary	5
43	Onennon	5
43	SammiWolfGirl	5
48	hm947	4
48	Di_infiri	4
48	CarryLine	4
48	Frozil12	4
48	fluddd	4
48	Groundler	4
48	Smoke____	4
55	The_Dark_One_00	3
55	xxPipperDipperxx	3
55	noam464	3
55	nitram49b	3
55	NomadicRobin_	3
55	Blaiku	3
55	carbo_bro	3
55	Hermanni__	3
55	kinas45y5	3
64	teslawolf38	2
64	ImpavidArcher	2
64	Hpdinosaur	2
64	Historical_Sand	2
64	bloodbiter	2
64	r123moore	2
64	Snowflowe	2
64	Werbe	2
64	The11thDoctor	2
64	Lord_Doob	2
64	MakeHistory157	2
64	alderban107	2
64	EcksDofficial	2
77	I_Am_Mushkin	1
77	T045RTY	1
77	LionelHutzESQ	1
77	Natty	1
77	IWorkAtIkea	1
77	tramizu	1
77	BobDeBouwer1337	1
77	groggregg42	1
77	LotusProject	1
77	Arceus1975	1
77	CrateOfBoxes	1
77	Skylord_Luke	1
77	Mattesco	1
77	DarlaMeow	1
77	HellsSponge	1
77	claivin	1
77	Blu3beast	1
77	Bloo2406	1
77	wwwwinnebagoooo	1
77	SkateboardR6	1
77	Spacewardharpy7	1
77	Optiprimus	1
77	JKendig	1
77	__tomato	1
77	stahouo	1
77	ProbsNotNova	1
77	Dreamdbr14	1
77	Steelynan	1
77	Vellu21	1
77	Weepingbiel	1
77	Enderslayerxz3	1
77	Zoeyfortnite	1
77	Yogscast_Manden	1
