rank	username	minecraft:picked_up/minecraft:andesite
1	joethahobo	292898
2	Ezekson	132063
3	gcaisawesome	117551
4	PigDab	89594
5	HellsSponge	88451
6	Frozil20	83227
7	Smoke____	73873
8	Iamthejo	59898
9	pintsizedrogue	54662
10	Di_infiri	50333
11	Spacewardharpy7	50137
12	lordpipe	46203
13	Blaiku	44886
14	TheShyPig	41348
15	Zythose	41107
16	noam464	37806
17	YungMaki	35254
18	Werbe	34759
19	m_be9	32603
20	Deathkob	31127
21	NatalieTW	29959
22	Mahoose	29348
23	EveryonesUncle	28794
24	EMC_	25774
25	Hyp3rion_	24596
26	beeperbeeper5	24354
27	RebelAndroid	22958
28	Mewar	22885
29	Kakolbus	18835
30	Legendosh	18497
31	Skippeh	17450
32	Enderxz3	17441
33	PhantomsGhost_	16964
34	MyNameIsJobo	16856
35	FreakGenius	16568
36	Cowison	16384
37	xolstoi	16041
38	Snowflowe	15869
39	El_Jalapeno	15836
40	Steelynan	15743
41	kekhon	15693
42	EcksD	15258
43	Blackberry1310	14552
44	500am	14298
45	TheSecondLord	14097
46	Xclax101	13932
47	TechnoNinja64	13451
48	12Magner05	13068
49	ApophisNova	12950
49	MyNamaSheff	12950
51	ImpavidArcher	12839
52	Lord_Jord	12564
53	obzii	12501
54	Jonafrog99	11832
55	Chromary	11367
56	PlasticOtari	11254
57	MinttyFressh	11190
58	mihimihimihi	11024
59	eitanzaki	10263
60	Marbz_	10129
61	MirielThePastor	10031
62	Onennon	9642
63	Jackattack53	9471
64	Historical_Sand	9156
65	Kowcio_	8909
66	ConnorDanky_	8757
67	non089	8740
68	Inchef	8659
69	Inbefour	8430
70	Hisiste	8410
71	luseis	8305
72	rarrq	8242
73	BobDeBouwer1337	8053
74	NameGenerat0r	7911
75	RoofTyler	7832
76	vandmanden	7738
77	Mr_Byzantine	7477
78	Bumpy419	7409
79	mwrty	7314
80	ProfessorBee	7203
81	Maenara	7190
82	yulgur1	6914
83	PlzNoBM	6848
84	himak1	6803
85	thescout7	6578
86	cedric72	6520
87	BumbleBeever	6388
88	gusstationwerker	6351
89	NoChumpChange	6311
90	Fullut	6304
91	Franco093	6246
92	FallenCorps	6169
93	NomadicRobin_	6120
94	Rumpletaezer	6115
95	Shogunite	5956
96	thewindmillman	5925
97	audiocracked	5917
98	eviltunix	5836
99	fffMike	5801
100	Akoot_	5703
101	xxPipperDipperxx	5645
102	Groundler	5536
103	Groovy_MoonBird	5493
104	Quotary	5400
105	lillips	5254
106	WyngGoy	5225
107	RealGroot	5131
108	Jimb0nat0r	5129
109	_Nuf	5127
110	Blu3beast	5034
111	pixelviolin	4865
112	Jovaphobic	4799
113	Deodorante	4618
114	Esme_1	4597
115	Arceus1975	4588
116	MightyWertu	4557
117	teslawolf38	4552
118	Hermanni__	4483
119	xzvu	4447
120	set67	4429
121	EngagedGrub41	4403
122	Sleek_Storm_721	4402
123	livingdaydreams	4387
124	q_wq	4379
125	SuperPooch06	4302
126	jnp_gaming	4249
127	MilleGrug	4241
128	M_Patata	4229
129	LordSpeed37	4199
130	Rasmanden	4194
131	Njensen7	4135
132	anbbang	4131
133	T045RTY	4112
134	h2p_emrld	4109
135	ROY4LE	4020
136	censorsheep	3950
137	MasterNueve	3862
138	Jimi7hits	3852
139	FelixPSY375	3845
140	Smashic	3817
141	Malorn_Aetherius	3813
142	Hoid_the_Roamer	3700
143	TooManyDuck	3699
144	diamondgolem35	3696
145	The11thDoctor	3675
146	fluddd	3665
147	Eraxa	3635
148	Racengan	3582
149	mariominejedi	3561
150	CoffeeNoir	3543
151	CollinMH06	3522
152	SingedBread	3504
153	DTwenty	3479
154	ProfessorDiaper	3474
155	Skylord_Luke	3464
156	SaucyDark	3456
157	Quincannon	3398
158	SammiWolfGirl	3394
159	6king6colt6	3390
160	ThiccExotic	3362
161	__tomato	3352
162	gabriels543	3348
163	claivin	3347
164	TheThomas69	3308
165	Winklepicker279	3288
166	Hiryu27	3264
167	hanaryheatwave	3257
168	alderban107	3254
169	lcvezra	3248
170	Lutres_Torane	3244
171	r123moore	3224
172	Zoeyfortnite	3179
173	GlitchyPlate810	3119
174	CrateOfBoxes	3093
175	soundad	3090
176	ProbsNotNova	3084
177	Huwulling	3081
178	_TCARREIRA_	3046
179	SpaceGrenadier	3040
180	DemTechAlpha	3038
181	PazinGaming	3031
182	Soplight	3025
183	Swexti	3022
184	TheDankPlatypus	3002
185	Fuhrer_Teemo	2995
186	Kubelz	2990
187	Tyrannosplart	2970
188	jessewegottacook	2936
189	_Dean_123	2885
190	XboxPanda	2843
191	Sral7	2776
192	SvenskaHugo	2740
193	Corbsman	2735
194	Soap_Bender	2669
195	Comma__	2620
196	GoofyBread	2611
197	Airem_Core	2575
198	Nicserso	2571
199	_Karmaa	2564
200	Lukeee33	2561
201	FishyBoy3811	2546
202	prizm_	2502
203	Rocco_Lane	2491
204	ssleepless	2474
205	bigstankyy	2445
206	Windo_licker	2439
207	Zaridey	2433
208	Merv__	2404
209	StinkyDiplomat	2393
210	Kamflame10	2388
211	Gab4101	2387
212	WET_WET_WET	2361
213	Houstonion	2355
214	Barlycorn	2332
215	_Virify_	2323
216	Xalithia	2321
217	AuroraValkyrie	2306
218	sp00ky_ghost977	2304
219	Fuad_R	2281
220	selectrix	2271
221	Scathra	2265
221	DarlaMeow	2265
223	Ecplosive	2248
224	TheSeismicDuck	2230
225	Strangemonkey71	2229
226	masskedman	2219
227	bearlystraight	2218
228	CalebDHawk	2185
229	MattieHD	2162
230	BlankityMcBlank	2144
231	KarlKaek	2103
232	jcool7	2088
233	07shiny	2085
234	GoofySilly	2077
235	SquadMonster	2044
235	Awyrlas	2044
237	Prodiginus	2043
238	Elastiq	2003
239	SmashingPump	1987
240	Warlord324	1985
241	lizardfightclub	1979
242	Lez_	1976
243	drunkeeez	1929
244	Mattesco	1926
245	weabis	1919
246	ExtraDumb	1895
247	Vetral1	1839
248	Vorlice	1834
249	Zedducius	1793
250	SSytex_X	1771
251	valkam13	1752
251	UltraZombie	1752
253	little_dUki	1736
254	Crowman1	1725
255	Fildyr	1722
256	MakeHistory157	1718
257	lotarp	1713
258	PortlyPete69	1711
259	TheDumbHuman	1691
260	Eraza	1688
261	Wolverine4302	1682
262	I_Am_Mushkin	1681
263	theonlymagikarp	1670
264	RyuNeko932000	1665
265	ShedJr_	1635
266	KingMatthew506	1629
267	F_Uhre	1624
268	eiC_	1615
269	Russiancat1	1613
270	seramalen	1611
271	AlphaWolfPlaysMC	1607
272	UncreativeArtist	1595
273	Kura2218	1588
274	Ssor69	1578
275	NotMeowMix	1566
276	H72l9w	1564
276	Powowowow	1564
278	SaintJosie	1561
279	drumine	1553
280	Toriankel	1550
281	cog	1535
282	VentiHilton	1527
283	fkGrim	1524
284	ElectricDragon81	1513
285	Bandito_Roamer	1501
286	the_fireminer	1476
287	JayToe	1475
288	lorpus	1472
289	Kijiki	1457
290	Sheldor097	1447
291	ThisUserIsStump	1442
292	Wooptey	1405
292	SkateboardR6	1405
294	LeauVox4921	1400
295	emrekn	1386
296	Jackster03	1375
296	PegLegPete93	1375
298	Ryker	1361
299	Queen_Jalapeno	1354
300	Nycteus_	1328
