rank	username	minecraft:picked_up/minecraft:purpur_slab
1	thewindmillman	9427
2	Smoke____	913
3	Bandito_Roamer	395
4	YungMaki	342
5	m_be9	325
6	33sudo	290
7	beeperbeeper5	263
8	PigDab	254
9	masskedman	235
10	eiC_	230
11	PhantomsGhost_	174
12	MightyWertu	159
13	lizardfightclub	146
14	yulgur1	139
15	Arceus1975	136
16	fkGrim	109
17	6king6colt6	103
18	noam464	90
19	Mewar	89
20	Freak_Genius	88
21	Blu3beast	86
22	stahouo	85
23	Ecplosive	81
23	Spacewardharpy7	81
25	mwrty	80
26	HellsSponge	77
27	Blaiku	73
28	Covalents	72
29	eitanzaki	65
30	NameGenerat0r	64
31	lordpipe	58
32	500am	57
33	Comma__	56
34	Werbe	54
35	Di_infiri	51
36	Historical_Sand	49
36	thescout7	49
38	TheSecondLord	46
39	AuroraValkyrie	45
40	Frozil12	41
41	Fullut	38
41	Inbefour	38
43	bigstankyy	34
44	gabriels543	31
45	lillips	28
46	Rich_Kat	27
47	Iagoku	26
47	gcaisawesome	26
47	AltnumberF4	26
50	TooManyDuck	24
50	Dogcorn69420	24
50	jnp_gaming	24
53	Sral7	23
54	Maenara	22
55	Awyrlas	21
55	Jackattack53	21
57	surfinggiraffejp	20
57	Hermanni__	20
57	Enderslayerxz3	20
60	Mahoose	19
60	ProfessorBee	19
60	audiocracked	19
60	EveryonesUncle	19
64	fred870d	18
64	OG_Songsee	18
64	kinas45y5	18
67	lcvezra	16
68	IronArshXS	15
68	Bumpy419	15
68	TheSeismicDuck	15
68	laron58	15
68	Ezekson	15
73	ROY4LE	14
73	MyNameIsJobo	14
73	Winston_Ingram	14
76	BodaciousCake	13
76	crying_wolf_13	13
78	Warlord324	12
79	loveseeker	11
79	Rumpletaezer	11
79	iSammael	11
79	Skippeh	11
79	Nicserso	11
84	Ailmast	10
84	Dedalus36	10
84	Marbz_	10
84	claivin	10
84	Nycteus_	10
84	Racengan	10
84	Hisiste	10
91	Deodorante	9
91	SingedBread	9
93	pintsizedrogue	8
93	himak1	8
93	Snowflowe	8
93	Zythose	8
93	TheShyPig	8
93	Groundler	8
93	__tomato	8
93	brofrickcheaters	8
93	MilleGrug	8
93	striker90333	8
103	RebelAndroid	7
103	Donutt	7
103	Afinnity	7
103	Shogunite	7
103	MustaLoordi	7
103	Razzgriz	7
103	Segotep999	7
103	Legendosh	7
103	JayToe	7
112	MinttyFressh	6
112	set67	6
112	Zaridey	6
112	Onennon	6
112	Ender_Souls	6
112	NotMeowMix	6
112	TheEnderman548	6
112	Jij0	6
112	_TCARREIRA_	6
112	CalebDHawk	6
112	vandmanden	6
123	SaucyDark	5
123	awesomeoneme	5
123	Akoot_	5
123	ItsJWolff	5
123	Powowowow	5
128	ssleepless	4
128	T045RTY	4
128	Swexti	4
128	kekhon	4
128	Inchef	4
128	eviltunix	4
128	r123moore	4
128	Noah_Bez	4
128	RobotMinion101	4
128	_Bguette_	4
128	chipklip	4
128	Xclax101	4
128	Barlycorn	4
128	Kijiki	4
128	stellarjay	4
128	SammiWolfGirl	4
128	tartanboy	4
128	EcksD	4
128	FelixPSY375	4
128	TechnoNinja64	4
148	Barry_All3n_	3
148	Houstonion	3
148	_Razar	3
148	Myszoaz	3
148	12Magner05	3
148	shyshyannne	3
148	SellyZ	3
148	theonlymagikarp	3
148	NomadicRobin_	3
148	Karbl	3
148	geekbird	3
148	SvenskaHugo	3
148	HesDemonPants	3
148	UrbanPlanner1978	3
148	2blox	3
148	EcksDofficial	3
164	Lepthymo	2
164	Groovy_MoonBird	2
164	EMC_	2
164	Sleek_Storm_721	2
164	itburb	2
164	livingdaydreams	2
164	WarHammer3	2
164	SpaceGrenadier	2
164	rarrq	2
164	Euclidoris	2
164	Mercadies	2
164	titanlax	2
164	zorin123	2
164	Motsaro	2
164	Tjhodskins19	2
164	mariominejedi	2
164	domagawha	2
164	TheWildMateo	2
164	seramalen	2
164	_naturell	2
164	ToastedGamingYT	2
164	TheTrueClipse	2
164	AuroraSkies	2
164	Jiminie	2
164	Lutres_Torane	2
164	YungWali	2
164	FlashMigma	2
164	BumbleBeever	2
164	SkateboardR6	2
164	Dusk_95	2
164	TheDumbHuman	2
164	ElectricDragon81	2
164	Strangemonkey71	2
164	Kowcio_	2
164	Kyrum2169	2
164	Soplight	2
164	Kferno	2
164	Physics_Breaker	2
164	FishisTTV	2
203	Gary_	1
203	Drlzyy	1
203	Hpdinosaur	1
203	chlorinex	1
203	jushykins	1
203	SteveCraftBlocks	1
203	CyrusIsTired	1
203	__TheNorseMan__	1
203	XboxPanda	1
203	IronyMan69	1
203	Kakolbus	1
203	CollinMH06	1
203	Hyp3rion_	1
203	Solar_Power	1
203	pappaberg	1
203	ApophisNova	1
203	FishyBoy3811	1
203	DScatgirls	1
203	Rasmanden	1
203	fw3xywashere	1
203	Katthaj	1
203	drumine	1
203	1442	1
203	Quincannon	1
203	iHuntWeeaboos	1
203	MAns_44	1
203	fluddd	1
203	_k2x	1
203	LazySupport00	1
203	MovingFish7	1
203	WyngGoy	1
203	Eraxa	1
203	Spenduh	1
203	microcrisp	1
203	Steelynan	1
203	MissCeleste7	1
203	Quotary	1
203	MyNamaSheff	1
203	PlasticOtari	1
203	Zoeyfortnite	1
