rank	username	minecraft:picked_up/minecraft:tadpole_bucket
1	noam464	26
2	thewindmillman	18
3	Alteriity	14
4	xxPipperDipperxx	7
5	_Huge_Male_	6
5	_witch_craft_	6
7	robonya_	5
8	pintsizedrogue	4
8	T045RTY	4
10	Smashic	3
10	cuddlyMonster	3
12	RoskobiOne	2
12	EMC_	2
12	Hyp3rion_	2
12	StinkyDiplomat	2
12	Enderxz3	2
17	ECstardust	1
17	Huwulling	1
17	beeperbeeper5	1
17	Blackberry1310	1
17	drunkeeez	1
17	shadowthemonkey	1
17	CosmicStardustt	1
17	luseis	1
17	3_Solar_3	1
17	Cache3	1
17	Kowcio_	1
17	CalebDHawk	1
17	Jimb0nat0r	1
17	Yamdalorian	1
17	00000000-0000-0000-0009-01f26ea966c4	1
