rank	username	minecraft:picked_up/minecraft:cooked_mutton
1	HellsSponge	909
2	Blackberry1310	809
3	FreakGenius	787
4	Frozil20	734
5	TheShyPig	643
6	EMC_	516
7	Enderxz3	495
8	kekhon	437
9	YungMaki	409
10	oscminus	408
10	claivin	408
12	burbankbuilder28	407
13	El_Jalapeno	394
14	SaucyDark	383
15	pintsizedrogue	322
16	Kakolbus	307
17	The11thDoctor	303
18	Akoot_	280
19	legal_tax_evader	277
20	301851	273
21	Mahoose	255
22	k_ce	245
23	Di_infiri	242
24	Blu3beast	239
25	00000000-0000-0000-0009-01ff0c3e5e4f	237
26	RebelAndroid	205
27	djancak	203
28	T045RTY	195
28	rarrq	195
30	KarlKaek	192
31	ayamefag	185
32	SuperPooch06	182
33	AdmiralSmoke	179
34	yulgur1	174
35	PhantomsGhost_	166
35	fffMike	166
37	beeperbeeper5	147
38	KingMatthew506	141
39	SeverianOfUrth	137
40	EveryonesUncle	136
41	ConnorDanky_	133
42	eitanzaki	132
43	hanaryheatwave	130
44	IAmTheWalrus910	129
45	mimbo1211	125
45	sp00ky_ghost977	125
47	set67	119
48	Luigipunch989	118
49	PeteO1995	117
49	3_Solar_3	117
51	mwrty	116
52	Tyrannosplart	109
53	xxPipperDipperxx	105
54	UrbanPlanningEx	103
55	Spenduh	101
56	Kowcio_	100
57	Rumpletaezer	99
57	jnp_gaming	99
59	Bandito_Roamer	98
59	BigCronkin	98
59	Nicserso	98
62	Segotep999	97
63	I_Am_Mushkin	95
63	Killercatty78	95
65	emrekn	94
66	Groovy_MoonBird	93
67	thescout7	89
68	Winklepicker279	87
69	Incinere	85
70	gren_ben	83
71	monky_irl	79
72	MrKrabOnCoke	78
72	fade_emerge78823	78
72	groofles	78
72	lordpipe	78
76	Myszoaz	77
76	Werbe	77
78	MuffinManzz	76
78	seanitoo	76
80	yheece	75
81	soundad	74
81	Legendosh	74
83	_Karmaa	73
84	h2p_emrld	71
85	Katsuragi0243218	68
86	Pofen	67
86	F_Uhre	67
86	Jiminbub	67
89	gaziter10	61
89	Blaiku	61
91	ElKaySVK	60
92	Hyp3rion_	58
92	LeonelSalamanca	58
94	Comma__	57
95	EcksD	56
95	trexgb	56
97	shadowthemonkey	55
97	anbbang	55
99	IamCL4SSY	53
100	obzii	52
101	Crowman1	51
101	AvaRosey	51
101	Heisenbberrg	51
104	youhjjhhhjj	50
104	ratglock	50
104	luseis	50
107	The_Cruncy	49
107	jcool7	49
107	FishisTTV	49
110	MOSS000	48
110	sufjanlover	48
110	Kura2218	48
113	NomadicRobin_	47
113	Lutres_	47
113	Toriankel	47
116	MoistMicrowave	46
116	LeEricc	46
118	RobotMinion101	45
118	Xclax101	45
120	MattieHD	44
120	AlexxO_o	44
120	Inbefour	44
120	IdeallyGrey	44
120	CoryJJ	44
125	Nach0Bear	43
125	Lord_Jord	43
127	Skylord_Luke	42
127	Steelynan	42
127	VentiHilton	42
130	TeenMomTom	40
131	BlancoFlaco	39
131	_Dean_123	39
131	Giannism	39
131	pmxi	39
131	Spacewardharpy7	39
131	Soplight	39
137	Z3braYTIL	38
137	SHAOBADMAN	38
137	ebanana	38
137	fluddd	38
141	Tjhodskins19	37
141	Syropatathe	37
143	Jorrdi	36
143	AlphaWolfPlaysMC	36
143	DarlaMeow	36
146	Deu_Stew	35
146	5hit455	35
146	masskedman	35
146	Dakar_	35
146	tartanboy	35
151	Foof13	34
151	Bumpy419	34
151	Eraxa	34
154	bloodbiter	33
154	Jackattack53	33
154	Moofyman	33
154	_Meow_Mix	33
158	HeraclesOGU	32
158	xzvu	32
158	Njensen7	32
161	420BreadLizard	31
161	Druid95	31
161	Skippeh	31
164	Merv__	30
164	jimintyy	30
164	TheRoboSock	30
164	Warlord324	30
164	MirielThePastor	30
169	ImpavidArcher	29
169	thewindmillman	29
171	CliffEmAll	28
171	dragon589	28
173	Froste131	27
173	Wooptey	27
173	Voxin2K	27
173	ooga47	27
173	geekbird	27
178	CloroxBleach385	26
178	6king6colt6	26
178	cheerytomato	26
178	Kokeech	26
182	Batman922	25
182	calamariclam_I	25
184	hm947	24
184	TinMaster	24
184	Blazebit	24
184	TheDankPlatypus	24
184	ApophisNova	24
184	MyNamaSheff	24
184	HesDemonPants	24
191	Jackster03	23
191	H72l9w	23
191	r123moore	23
194	TooManyDuck	22
194	ivorico	22
194	joethahobo	22
194	dopplexd	22
194	intropass	22
199	Ryan_GEMS	21
199	TheThomas69	21
199	Dali1465	21
199	2Stout	21
199	Austinizzle	21
199	WYFYoyo	21
205	peach0s	20
205	elmer1234	20
205	Inchef	20
205	Arceus1975	20
205	BRRRN179	20
205	LeGold	20
205	dotterel2	20
212	Whalezz	19
212	_Virify_	19
212	MixerDixer	19
212	_Razaria	19
212	NieToksikpl	19
212	TheSecondLord	19
212	Secret_Canary	19
212	_8man	19
212	Hiryu27	19
212	lillips	19
212	bloomkieren	19
212	brofrickcheaters	19
212	RadarHz	19
212	00000000-0000-0000-0009-01faf4342590	19
226	lorpus	18
226	BlueZabu	18
226	trixterrx	18
226	AuroraSkies	18
226	QueenShuvi	18
226	Shin69	18
226	alderban107	18
233	Touched_Bread	17
233	audiocracked	17
233	MustaLoordi	17
233	Razzgriz	17
233	skrongus	17
238	BodaciousCake	16
238	Alteriity	16
238	InfernalMound	16
238	ProfessorBee	16
238	KartivGal	16
238	Quaintster	16
238	Juk3b0x	16
238	TechnoNinja64	16
246	RosaDoesMC	15
246	KingFaenor	15
246	elleparo	15
246	Eraza	15
246	Kubelz	15
246	Onennon	15
246	DC_XII	15
246	airbkane	15
246	Hermanni__	15
255	ECstardust	14
255	Huwulling	14
255	Euclidoris	14
255	Norrhede	14
255	AJplaysMC_	14
