rank	username	minecraft:picked_up/minecraft:cod
1	Blaiku	143083
2	Hyp3rion_	74786
3	Jimb0nat0r	41547
4	thewindmillman	29702
5	Alteriity	16503
6	eitanzaki	15074
7	Zythose	11845
8	Hisiste	11449
9	cutelilreno	9131
10	Werbe	6914
11	Niklas20114552	6742
12	Enderxz3	6142
13	gcaisawesome	5748
14	Jackattack53	5522
15	Snowflowe	5412
16	doublemaki	4677
17	Frozil20	3538
18	lordpipe	3214
19	12Magner05	2985
20	set67	2933
21	Ezekson	2914
22	LordSpeed37	2836
23	Yamdalorian	2505
24	jnp_gaming	2461
25	noam464	2376
26	PigDab	2341
27	WyngGoy	2169
28	kekhon	2094
29	Myszoaz	2069
30	SvenskaHugo	2029
31	_witch_craft_	1948
32	shadowthemonkey	1860
33	Racengan	1787
34	TheSecondLord	1748
35	Shortest_	1747
36	Spacewardharpy7	1730
37	Maenara	1637
38	Akoot_	1517
39	TheShyPig	1512
40	Groundler	1436
41	HellsSponge	1343
42	Mahoose	1338
43	AstreaTSS	1270
44	EcksD	1255
45	EngagedGrub41	1191
46	Bumpy419	1156
47	Fullut	1154
48	DJzombiehunter	1091
49	luseis	1068
50	rarrq	1042
51	pintsizedrogue	1035
52	Buuck_	1014
53	Paintz	1012
54	Skippeh	1007
55	Hiryu27	922
56	_TCARREIRA_	919
57	Lez_	892
58	JayToe	887
59	PlasticOtari	885
60	Kkanot	804
61	ConnorDanky_	768
62	Segotep999	761
63	beeperbeeper5	722
64	Mr_Byzantine	677
65	joethahobo	676
66	ayamefag	674
67	Kowcio_	661
68	Paul_Katan	657
69	livingdaydreams	635
70	MyNameIsJobo	608
71	MightyWertu	589
72	legal_tax_evader	579
73	MattieHD	564
74	ediballbearings	556
75	craaaash	548
76	Spaghettatron	533
77	masskedman	524
78	Kakolbus	518
79	FreakGenius	513
80	TheWickedBird	492
81	Froste131	477
82	Rumpletaezer	453
83	slkiey	451
84	eiC_	434
85	Comma__	433
86	Blackberry1310	427
87	RebelAndroid	418
88	Blu3beast	411
89	skroobiez	387
90	Travasaur	384
91	k_ce	376
92	IamCL4SSY	375
93	Donutt	372
93	rylikesrawtoast	372
95	thescout7	371
96	knarian	361
97	Marbz_	353
97	_Duckery	353
99	selectrix	348
100	DASH_X7	347
101	ImpavidArcher	346
102	djancak	343
103	jacxhadow	337
104	m_be9	326
105	Nyxiom_	323
106	Incinere	290
107	Eraxa	287
108	Felenov	281
108	QueenShuvi	281
110	Megarboh	273
111	Firecracker320	271
112	MovingFish7	267
113	_Virify_	266
113	EveryonesUncle	266
115	LilyNova	264
116	Frxnkz	258
117	Tiberonus	257
117	Mattesco	257
119	xX_Stalin69_Xx	256
120	Gus2005	248
121	Kouridragon	247
122	__tomato	244
123	Bandito_Roamer	240
124	censorsheep	232
125	TechnoNinja64	229
126	Tyrannosplart	219
126	Kyrum2169	219
126	SammiWolfGirl	219
129	Di_infiri	218
130	PhantomsGhost_	216
131	LetsDoItLive	214
132	Zaridey	212
133	robertsnose	207
133	oscminus	207
135	wwwwinnebagoooo	206
136	xxPipperDipperxx	204
137	Swexti	202
137	500am	202
139	QuiCreans	201
140	ECstardust	197
141	catandmoose	190
142	CliffEmAll	189
142	miramyu	189
144	wezzzi	183
145	XboxPanda	182
145	CharlieButt	182
145	Xclax101	182
145	Legendosh	182
149	ooga47	171
149	TitanCrafting	171
151	himak1	166
152	T045RTY	165
153	Xalithia	164
153	Powowowow	164
155	claivin	161
156	Nicserso	158
157	lizardfightclub	154
157	DarlaMeow	154
159	SaucyDark	153
160	ShedJr_	150
160	Arceus1975	150
162	xzvu	149
163	DrowsyOracle	147
164	RadarHz	146
165	Sheldor097	144
166	Saucepeh	143
167	Paleshield	140
167	mwrty	140
167	CacheOut	140
170	TrNrGhost	139
171	Euclidoris	134
171	CalebDHawk	134
173	emreknugrlu	132
174	DanTheBuilderino	130
175	ProbablyNick	128
175	StupidBiscuits	128
177	pixelviolin	124
177	PortlyPete69	124
177	jcool7	124
180	ee_echo_oo	120
180	Rebytre	120
182	excelsionprime	119
183	xDraggin	118
184	BumbleBeever	117
185	Lord_Jord	116
186	ssleepless	114
186	Cambo5000	114
186	MilleGrug	114
189	abdomera	113
189	MAns_44	113
189	Warlord324	113
192	Manaateee	112
192	Pumpkin_P_Patch	112
194	yheece	110
195	JitteryJared2	107
196	aec9	104
196	TheSeismicDuck	104
198	Apollo_993	103
198	F_Uhre	103
200	Touched_Bread	101
201	DemTechAlpha	100
202	diamondgolem35	96
202	fxiryglitch	96
204	ItsColin11	94
205	Fuhrer_Teemo	93
205	Njensen7	93
207	Crowman1	92
207	corvidpartyfor6	92
209	Gemstuff	90
209	NomadicRobin_	90
209	TheOuterCore	90
212	obzii	87
212	WinterYoke	87
214	MisfitsMike	86
214	calamariclam_I	86
216	PazinGaming	85
217	NotMeanttoChange	84
217	CollinMH06	84
219	stavgod	83
220	Stephenpoling	82
221	AuroraValkyrie	81
221	Moss_2006	81
223	hoaimi	80
223	Spenduh	80
225	FelixPSY375	78
226	master9067	77
226	IlkeCookes_	77
228	Wooptey	76
228	Gregward_Smith	76
