rank	username	minecraft:picked_up/minecraft:crimson_fence
1	Di_infiri	144
2	Legendosh	119
3	noam464	82
4	Smoke____	70
5	Blaiku	64
6	Freak_Genius	58
7	Syropatathe	51
8	beeperbeeper5	45
9	_Razar	41
10	livingdaydreams	36
11	BobDeBouwer1337	32
12	Lord_Jord	25
13	rarrq	23
14	Mahoose	14
15	himak1	11
15	anbbang	11
17	kinas45y5	8
18	sebastiensaborio	7
18	PlasticOtari	7
20	ShedJr_	5
20	Sheldor097	5
20	RadarHz	5
23	pintsizedrogue	4
23	Spacewardharpy7	4
25	RebelAndroid	3
25	CoffeeNoir	3
25	PigDab	3
25	Optiprimus	3
29	EcksD	2
30	thewindmillman	1
30	TheShyPig	1
30	Nycteus_	1
30	lordpipe	1
