rank	username	minecraft:picked_up/minecraft:nether_quartz_ore
283	Rebytre	6
283	AlexxO_o	6
283	Optiprimus	6
283	stavgod	6
283	Decaying_Lotus	6
283	UltraZombie	6
283	2blox	6
294	fr_ser	5
294	Donutt	5
294	CalebDHawk	5
294	MissCeleste7	5
294	Teebone15	5
299	ColeSnyder	4
299	Franco093	4
