rank	username	minecraft:picked_up/minecraft:quartz_stairs
1	Hyp3rion_	20357
2	noam464	8847
3	Di_infiri	2851
4	Legendosh	1035
5	Rumpletaezer	741
6	Groundler	709
7	Lez_	652
8	Lord_Jord	612
9	lordpipe	571
10	EveryonesUncle	545
11	beeperbeeper5	534
12	kekhon	457
13	titanlax	433
14	Jackattack53	432
15	xxPipperDipperxx	413
16	Merv__	408
17	Mahoose	389
18	himak1	388
19	TheShyPig	380
20	fffMike	377
21	joethahobo	375
22	pintsizedrogue	374
23	shineh10	372
24	jnp_gaming	359
25	500am	354
26	ImpavidArcher	352
26	xolstoi	352
28	PlasticOtari	330
29	Frozil20	311
30	m_be9	300
31	Inbefour	278
32	Manaateee	256
33	PhantomsGhost_	246
33	Soplight	246
35	burbankbuilder28	242
36	Spacewardharpy7	237
37	SuperPooch06	214
38	Sral7	208
38	AdmiralSmoke	208
40	eitanzaki	206
41	I_Am_Mushkin	205
42	FreakGenius	199
43	EMC_	195
43	rarrq	195
43	Blaiku	195
46	HellsSponge	190
47	xzvu	188
48	MakeHistory157	173
49	Wooptey	171
50	TheWildMateo	146
51	Tyrannosplart	140
52	Lutres_	134
53	Incinere	133
54	Kouridragon	132
55	Winklepicker279	129
56	hanaryheatwave	128
57	Krowuss	127
58	soundad	126
59	CliffEmAll	125
59	Akoot_	125
61	The_slideV3	124
62	KarlKaek	122
62	EcksD	122
64	Marbz_	119
65	Xclax101	117
66	ROY4LE	113
66	Dakar_	113
68	r123moore	108
69	luseis	106
70	Eraxa	103
71	Ssor69	97
72	SaintJosie	94
73	__tomato	93
74	SammiWolfGirl	91
75	StinkyDiplomat	90
75	Spenduh	90
77	_Mythic____	88
78	TheSecondLord	87
79	Sleek_Storm_721	79
80	Comma__	78
81	ProfessorBee	75
81	Maenara	75
83	Whiterooster001	74
84	Steelynan	73
85	Skippeh	71
86	CoffeeNoir	70
87	Truckoss	69
87	Blu3beast	69
87	Nycteus_	69
90	Badenbeele	65
90	Kowcio_	65
92	FishyBoy3811	64
93	Blackberry1310	61
93	oscminus	61
93	_Karmaa	61
93	claivin	61
97	Ezekson	58
98	Historical_Sand	57
99	nocturne78	54
100	Enderxz3	53
101	Alteriity	52
101	Optiprimus	52
103	Skylord_Luke	50
103	Werbe	50
103	skrongus	50
106	Napoleonpancake	47
106	ITDV	47
106	K_a__a_n	47
109	MightyWertu	45
109	jcool7	45
111	Crowman1	44
111	MovingFish7	44
113	shadowthemonkey	43
114	Huwulling	42
115	Jovaphobic	41
115	Auseawesome	41
117	Swexti	40
117	YungMaki	40
119	EngagedGrub41	39
120	Leyna3	38
120	pixelviolin	38
122	Groovy_MoonBird	37
122	dartwaffle	37
124	AuroraValkyrie	35
124	LeauVox4921	35
126	PazinGaming	34
126	alderban107	34
128	NinjaKnifeKill	32
129	Onennon	31
129	NomadicRobin_	31
131	theonlymagikarp	30
132	Hpdinosaur	28
132	asspharte	28
132	obzii	28
132	JayToe	28
136	Elastiq	27
137	_Huge_Male_	26
137	Deathkob	26
139	ssleepless	25
139	NieToksikpl	25
139	CattSoup	25
142	jessewegottacook	23
142	Blamphe	23
144	Cowison	22
144	SaucyDark	22
144	Inchef	22
144	Rebytre	22
144	SexcMf	22
149	CharlieButt	21
149	weabis	21
151	eclipseboi	20
151	thescout7	20
153	Fullut	19
153	4774	19
153	ooga47	19
153	bearlystraight	19
157	Chromary	18
158	Jackster03	17
158	AJplaysMC_	17
158	epiksk8erduck	17
158	audiocracked	17
162	Bazongoman	16
162	Fuad_R	16
162	AssFullaCum	16
165	ApophisNova	15
165	MyNamaSheff	15
165	Nicserso	15
168	teslawolf38	14
168	_i_ERROR_i_	14
168	Sheldor097	14
171	Mr_Byzantine	13
171	set67	13
171	FelixPSY375	13
171	trexgb	13
175	IgnoredBee	12
175	12Magner05	12
175	eiC_	12
175	LexMakesHistory	12
179	paranoid_plant	11
179	lorpus	11
179	Barlycorn	11
179	TechnoNinja64	11
179	The_SlideV5	11
184	diamondgolem35	10
184	Arceus1975	10
184	Mattesco	10
184	NameGenerat0r	10
188	Zythose	9
188	tobinwilliams	9
188	MineMaster0012	9
188	erkada	9
192	_Nuf	8
192	Kakolbus	8
192	Doom_melon	8
192	thewindmillman	8
192	CrateOfBoxes	8
192	SkateboardR6	8
192	mihimihimihi	8
199	CarryLine	7
199	_Bguette_	7
199	SlinkyPinky	7
199	SingedBread	7
199	Kyrum2169	7
199	KingMatthew506	7
205	Myszoaz	6
205	SteveCraftBlocks	6
205	mwrty	6
205	El_Jalapeno	6
