rank	username	minecraft:picked_up/minecraft:red_concrete
1	TheSecondLord	3079
2	Frozil20	2341
3	Deathkob	2333
4	lordpipe	1956
5	Onennon	1835
6	beeperbeeper5	1726
7	Nicky_H225	1519
8	Smoke____	1361
9	SSytex_X	1337
10	IamCL4SSY	1119
11	TheWildMateo	1110
12	ConnorDanky_	1100
13	Ezekson	1097
14	YungMaki	1056
15	Arceus1975	1026
16	Crowman1	948
17	thewindmillman	929
18	Steelynan	923
19	emrekn	870
20	NoChumpChange	825
21	jnp_gaming	685
22	EveryonesUncle	657
23	MyNameIsDakar	652
24	weabis	640
25	Blackberry1310	553
26	FirsTimeGamingTV	552
27	Jovaphobic	536
28	EMC_	531
28	noodlepack	531
30	AuroraValkyrie	480
31	drunkeeez	455
32	Merv__	430
33	Tyrannosplart	406
34	Fullut	405
35	h2p_emrld	392
36	master9067	389
37	ElKaySVK	374
38	GoofyBread	360
39	Optiprimus	359
40	Majonezzon	341
41	fluddd	330
42	m_be9	319
43	Huwulling	311
44	LetsDoItLive	309
45	Spacewardharpy7	296
46	xolstoi	280
47	joethahobo	272
48	Enderxz3	265
49	Groovy_MoonBird	264
50	bloodbiter	263
51	FreakGenius	255
52	rarrq	251
53	IAmTheWalrus910	243
54	Chromary	233
55	HellsSponge	222
56	TheDankPlatypus	219
57	Notta	212
58	ImpavidArcher	201
59	Mattesco	200
60	__tomato	194
61	wTXop	191
62	CornOnTheCobalt	184
63	Soplight	183
64	El_Jalapeno	173
65	Akoot_	162
66	RoofTyler	150
67	bladeefan2009	143
68	WET_WET_WET	139
69	PortlyPete69	138
70	Di_infiri	137
71	PlasticOtari	134
72	bigstankyy	131
73	heckface	130
74	tsitrawhy	128
75	noam464	126
76	lcvezra	123
77	Eraxa	122
78	pixelviolin	120
79	thescout7	119
79	TechnoNinja64	119
81	500am	113
82	PhantomsGhost_	112
83	lillips	111
84	kekhon	108
85	MousePlays	103
86	PlzNoBM	102
87	ShedJr_	101
88	Mahoose	94
89	Jindong	92
90	TheTommyGun63	81
91	CaptainDeadBread	76
91	Blaiku	76
93	ROY4LE	70
94	Soap_Bender	65
94	Biites	65
96	Ssor69	64
96	MakeHistory157	64
96	Sheldor097	64
99	12Magner05	63
100	pintsizedrogue	61
101	Kowcio_	60
102	Werbe	55
103	obzii	50
104	StanceTB	39
105	burbankbuilder28	35
106	Lez_	33
107	SquadMonster	32
107	olliebollie48	32
109	eitanzaki	31
110	MightyWertu	28
110	ZoomieZoomie	28
112	ReverendSmith	25
113	corvidpartyfor6	24
113	MissCeleste7	24
115	Fuad_R	22
116	6king6colt6	20
116	GlitchyPlate810	20
118	KingMatthew506	19
119	laron58	18
119	EcksD	18
121	Xalithia	17
121	aubergined	17
123	bbquakes	15
123	Krowuss	15
123	binman420	15
123	SammiWolfGirl	15
127	jushykins	13
127	Pineapplesugr	13
129	ProbablyNick	11
129	moist_jellyfish	11
131	TheShyPig	10
132	MrExplorer	9
132	OverallConcept	9
134	Paleshield	8
134	himak1	8
134	Quinasin	8
134	_Bguette_	8
134	LexMakesHistory	8
134	Jimb0nat0r	8
140	CollinMH06	7
140	Warlord324	7
142	Mr_Byzantine	6
142	teslawolf38	6
142	Queen_Jalapeno	6
142	SonicRainBow_	6
142	Truckoss	6
142	diggydog67	6
148	__Fanda__	5
149	Ahketen	4
149	gloryoftherain	4
149	epiksk8erduck	4
149	NameGenerat0r	4
149	ArborTigress	4
149	Poppy235	4
155	xfemboyx	3
155	NieToksikpl	3
155	mwrty	3
155	Zythose	3
155	Smussa	3
155	Macho_Tacos	3
155	luseis	3
155	SkateboardR6	3
163	Incinere	2
163	Felaxo12	2
163	Digcove	2
163	MattieHD	2
163	Yirtle	2
163	Inchef	2
163	eli_tschki	2
163	LAVA129	2
163	pappaberg	2
163	wordboy107	2
163	Legendosh	2
163	Sral7	2
175	KarlKaek	1
175	ColeSnyder	1
175	fr0stss	1
175	wiqor	1
175	Groyperbuscus	1
175	a24680	1
175	Jackattack53	1
175	vampgey	1
175	Hyp3rion_	1
175	AlexxO_o	1
175	CuzIm2Kev	1
175	DarlaMeow	1
175	shrimp_flips	1
175	claivin	1
175	mihimihimihi	1
175	UCP_TheKingK	1
175	gusstationwerker	1
175	xzvu	1
175	CalebDHawk	1
175	MilleGrug	1
175	xWeber	1
175	UrbanPlanningEx	1
175	Zcolt69	1
