rank	username	minecraft:picked_up/minecraft:music_disc_pigstep
1	noam464	174
2	12Magner05	72
3	kekhon	59
4	Fullut	44
5	eitanzaki	42
6	Inchef	39
7	SammiWolfGirl	35
8	pintsizedrogue	28
8	Blackberry1310	28
10	beeperbeeper5	27
11	CalebDHawk	24
12	r123moore	21
13	joethahobo	20
13	rarrq	20
13	SteveCraftBlocks	20
16	mwrty	19
16	YungMaki	19
18	sammidk	18
18	Blaiku	18
20	ShedJr_	15
20	fred870d	15
22	NomadicRobin_	14
23	T045RTY	13
23	Kkanot	13
23	Rebytre	13
23	PlasticOtari	13
27	Mahoose	12
27	Smoke____	12
27	diggydog67	12
30	TheSecondLord	11
30	oxfordschool	11
30	Enderslayerxz3	11
33	_Virify_	10
34	thewindmillman	9
35	Eraxa	8
36	Groovy_MoonBird	7
36	Di_infiri	7
38	Jackattack53	6
38	Akoot_	6
38	Freak_Genius	6
38	Ezekson	6
38	kinas45y5	6
43	Drlzyy	5
43	Historical_Sand	5
43	FishyBoy3811	5
43	Godspirit249	5
43	Njensen7	5
48	hm947	4
48	MinttyFressh	4
48	xxPipperDipperxx	4
48	gcaisawesome	4
48	Hyp3rion_	4
48	DarlaMeow	4
48	Quotary	4
48	smogfrog	4
56	diamondgolem35	3
56	_Dean_123	3
56	500am	3
56	Marbz_	3
56	pappaberg	3
56	PigDab	3
56	lillips	3
56	HellsSponge	3
56	Spenduh	3
56	MilleGrug	3
56	Hermanni__	3
67	Hpdinosaur	2
67	Auseawesome	2
67	CliffEmAll	2
67	XboxPanda	2
67	Chromary	2
67	King_Pancake1	2
67	EveryonesUncle	2
67	KG1999	2
67	CACTUSLAD	2
67	Sheldor097	2
67	jcool7	2
67	Dr0xzy	2
67	Legendosh	2
67	FishisTTV	2
81	PhantomsGhost_	1
81	6king6colt6	1
81	chimpmunker	1
81	Dedalus36	1
81	ImpavidArcher	1
81	BlancoFlaco	1
81	Wooptey	1
81	_AceOfSpace_	1
81	Myszoaz	1
81	MrAdamant209	1
81	jonajona43	1
81	set67	1
81	egglapras	1
81	Awyrlas	1
81	Mobstr	1
81	Zythose	1
81	Skylord_Luke	1
81	Infernowithazero	1
81	Gmoney390	1
81	DScatgirls	1
81	DTwenty	1
81	Shogunite	1
81	Frozil12	1
81	fluddd	1
81	Racengan	1
81	Spacewardharpy7	1
81	Optiprimus	1
81	pixelviolin	1
81	Soplight	1
81	_Yonk_	1
81	SprinklerMan	1
81	alderban107	1
81	stephunade	1
81	EcksD	1
81	jnp_gaming	1
81	EcksDofficial	1
