rank	username	minecraft:picked_up/minecraft:bee_nest
1	Smoke____	144
2	Rebytre	132
3	TheSecondLord	96
4	Fullut	95
5	500am	87
6	EMC_	77
7	Freak_Genius	70
8	Spacewardharpy7	48
9	joethahobo	42
9	MangoTheFish	42
11	Mahoose	41
12	masskedman	38
13	MightyWertu	36
14	Di_infiri	33
15	PortlyPete69	32
16	lordpipe	30
16	Steelynan	30
18	Kakolbus	28
18	Legendosh	28
20	claivin	27
21	eitanzaki	24
21	beeperbeeper5	24
23	noam464	23
24	sp00ky_ghost977	22
25	Awyrlas	21
25	xxPipperDipperxx	21
25	diggydog67	21
28	PlasticOtari	19
29	pintsizedrogue	18
30	_stets	17
30	Blackberry1310	17
32	MyNameIsJobo	15
32	thewindmillman	15
32	Kouridragon	15
32	YungMaki	15
32	Enderslayerxz3	15
37	jnp_gaming	14
38	Vizzoid	12
39	Sleek_Storm_721	11
39	MSK__	11
39	Nicky_H225	11
42	RebelAndroid	10
42	Xalithia	10
42	M_Patata	10
42	MasterNueve	10
46	Menthas	9
46	kekhon	9
46	gabriels543	9
46	Onennon	9
46	Blaiku	9
46	SvenskaHugo	9
46	Kubeusz2010	9
53	Cowison	8
53	hm947	8
53	AssFullaCum	8
53	Nicserso	8
57	KG1999	7
57	pixelviolin	7
57	djancak	7
60	Jovaphobic	6
60	Ryker	6
60	jacxhadow	6
60	Covalents	6
60	burbankbuilder28	6
60	ApophisNova	6
60	Akoot_	6
60	NomadicRobin_	6
60	Deathkob	6
60	Segotep999	6
60	Skippeh	6
60	MyNamaSheff	6
60	WYFYoyo	6
73	ImpavidArcher	5
73	ROY4LE	5
73	r123moore	5
73	_naturell	5
73	Wowful	5
73	DTwenty	5
73	KingMatthew506	5
73	oxfordschool	5
73	trexgb	5
82	Groovy_MoonBird	4
82	PhantomsGhost_	4
82	mwrty	4
82	wezzzi	4
82	KnightmareD	4
82	XxCookiequeenxX	4
82	KlausVonStiglitz	4
82	Nycteus_	4
82	Eraxa	4
82	SammiWolfGirl	4
82	Sheldor097	4
82	EcksD	4
82	Lowjinx	4
82	2blox	4
96	Drlzyy	3
96	6king6colt6	3
96	T045RTY	3
96	bloodbiter	3
96	12Magner05	3
96	Scathra	3
96	egglapras	3
96	2Stout	3
96	Queen_Jalapeno	3
96	Arceus1975	3
96	Snowflowe	3
96	TheShyPig	3
96	ToastedGamingYT	3
96	RodSerlingCringe	3
96	Maenara	3
96	EveryonesUncle	3
96	monky_irl	3
96	Ezekson	3
96	Quotary	3
96	HesDemonPants	3
116	nataliecool	2
116	teslawolf38	2
116	tuckerdoodle	2
116	CoffeeNoir	2
116	Historical_Sand	2
116	MrExplorer	2
116	set67	2
116	LotusProject	2
116	orxngejuice	2
116	phomic	2
116	andy_rex	2
116	Werbe	2
116	Vetral1	2
116	Huic_ostiarius	2
116	lizardfightclub	2
116	lillips	2
116	chipklip	2
116	MAns_44	2
116	Blu3beast	2
116	Dusk_95	2
116	07shiny	2
116	Luigipunch989	2
116	Dogcorn69420	2
116	Hermanni__	2
116	FelixPSY375	2
116	_Dri_	2
142	soundad	1
142	Merv__	1
142	RatatJuice	1
142	Hpdinosaur	1
142	Myszoaz	1
142	IWorkAtIkea	1
142	FirsTimeGamingTV	1
142	rarrq	1
142	Valoth	1
142	titanlax	1
142	BobDeBouwer1337	1
142	MinttyFressh	1
142	Z3braYTIL	1
142	mariominejedi	1
142	CollinMH06	1
142	Marbz_	1
142	Jackattack53	1
142	lahavmor	1
142	DanielMmm	1
142	Inbefour	1
142	Syropatathe	1
142	fkGrim	1
142	DarkS0L	1
142	DarlaMeow	1
142	_Karmaa	1
142	501g	1
142	EfficientC52	1
142	El_Jalapeno	1
142	Ze_BaronKrigler	1
142	MineMaster0012	1
142	jaimshae	1
142	TheALV	1
142	Hylo482y	1
142	tartanboy	1
142	kinas45y5	1
142	EcksDofficial	1
142	remmisrat	1
