rank	username	minecraft:picked_up/minecraft:bone_meal
1	Spacewardharpy7	1303860
2	thewindmillman	988347
3	noam464	577096
4	EcksD	199126
5	Blaiku	59252
6	eitanzaki	32207
7	Smoke____	25982
8	Frozil12	12828
9	Bumpy419	10932
10	Di_infiri	10517
11	Freak_Genius	7584
12	Hyp3rion_	7347
13	Snowflowe	5437
14	jcool7	5179
15	PigDab	4869
16	joethahobo	4739
17	thescout7	4452
18	Werbe	4061
19	ApophisNova	3944
19	MyNamaSheff	3944
21	PlasticOtari	3477
22	pintsizedrogue	3127
23	Groundler	2773
24	Blackberry1310	2641
25	Rocco_Lane	2602
26	_Virify_	2450
27	Groovy_MoonBird	2343
28	Steven1282598	1988
29	oxfordschool	1887
30	HellsSponge	1850
31	Ezekson	1816
32	TechnoNinja64	1767
33	Hisiste	1698
34	kekhon	1667
35	Inbefour	1637
36	Ssor69	1573
37	ROY4LE	1361
38	Legendosh	1344
39	MattieHD	1259
40	El_Jalapeno	1125
41	eiC_	1090
42	gcaisawesome	1039
43	Mahoose	1032
44	xxPipperDipperxx	989
45	Akoot_	988
46	Quaintster	987
47	Drlzyy	963
48	PhantomsGhost_	958
49	rarrq	880
50	Quotary	844
51	Skylord_Luke	833
52	lordpipe	814
53	Awyrlas	733
54	Rebytre	730
55	fffMike	716
56	Miko_Fullbuster	700
57	CrateOfBoxes	699
58	MightyWertu	689
59	Lord_Jord	671
60	nataliecool	659
61	titanlax	622
62	beeperbeeper5	616
63	sp00ky_ghost977	560
64	Omar_Alone	548
65	Steelynan	547
66	500am	532
67	jnp_gaming	518
68	TheShyPig	514
69	Fullut	509
70	Dreamdbr14	507
71	Jackattack53	499
72	T045RTY	463
73	WyngGoy	450
74	Kowcio_	447
75	BumbleBeever	426
76	Soplight	416
77	CliffEmAll	412
78	Nicserso	405
79	Xclax101	385
80	loveseeker	370
81	KarlKaek	359
82	XboxPanda	349
83	Hiryu27	345
84	Mr_Byzantine	341
85	JayToe	333
86	TheSecondLord	326
87	EcksDofficial	316
88	__tomato	312
89	eviltunix	309
90	dudcreeper	300
90	Enderslayerxz3	300
92	Ripzch	296
93	EMC_	295
94	Kakolbus	283
95	MilleGrug	280
96	KingMatthew506	273
97	Zythose	266
98	ProfessorBee	261
99	Warlord324	255
100	Kyrum2169	239
101	Marbz_	238
102	ColeSnyder	223
103	M_Patata	222
103	DarlaMeow	222
103	Zoeyfortnite	222
106	Karetoko	220
107	PortlyPete69	219
108	_Dean_123	212
109	_Bguette_	210
110	soundad	207
111	SammiWolfGirl	206
112	Jimi7hits	204
113	2Stout	203
114	FGamerJ	202
115	Notta	200
115	m_be9	200
117	obzii	197
118	Bandito_Roamer	196
119	Merv__	195
119	ImpavidArcher	195
119	kyouma777	195
122	Arceus1975	194
122	RodSerlingCringe	194
124	Eraxa	193
125	DolphinLaugh	192
126	Jorrdi	189
127	lcvezra	188
128	Kubelz	185
129	tuckerdoodle	175
129	YungMaki	175
131	UncreativeArtist	173
131	Dali1465	173
133	Lord_Zacler	172
134	burbankbuilder28	171
135	Weepingbiel	170
136	himak1	168
137	CalebDHawk	166
138	set67	164
139	Lutres_Torane	162
140	Comma__	159
141	NomadicRobin_	156
142	ormkel	155
143	_Nuf	154
144	TheOuterCore	153
145	chlorinex	150
145	CarltheCuck	150
147	bigstankyy	148
148	fallingemma	145
149	Lowjinx	137
150	Sky_light_KING	136
151	Rasmanden	135
152	chipklip	134
153	Swexti	133
154	Th6masss	132
155	NotMeanttoChange	130
156	Giannism	129
157	SokaOtaku	128
157	PuFY	128
159	gaziter10	127
159	Auseawesome	127
159	Jiminie	127
162	SvenskaHugo	126
163	Luigipunch989	124
164	Blu3beast	121
165	Sleek_Storm_721	116
165	Deathkob	116
165	_TCARREIRA_	116
168	monky_irl	115
169	SuperPooch06	113
170	HesDemonPants	107
171	q_wq	106
172	Corbsman	105
173	NoChumpChange	101
174	SlayerCrypto	100
175	Eerini	98
175	MasterNueve	98
177	ChampPog_	97
177	censorsheep	97
177	halfbakedlasagna	97
180	12Magner05	95
181	Dusk_95	94
182	VesperSage	93
182	wobn	93
184	Faart	90
185	Rumpletaezer	89
186	_Razar	88
186	Malorn_Aetherius	88
186	WYFYoyo	88
189	XxCookiequeenxX	87
190	teslawolf38	86
190	Megarboh	86
192	MyNameIsDakar	85
193	RebelAndroid	84
193	natajimi	84
195	LordAurum	83
196	6king6colt6	82
196	zMarciano	82
196	Racengan	82
199	ZaneABrain	80
199	xo_Marren_xo	80
199	anbbang	80
202	CoffeeNoir	79
203	KG1999	77
204	wezzzi	76
204	KlausVonStiglitz	76
206	RobotMinion101	75
206	Soul_Atreus	75
206	Jij0	75
209	WET_WET_WET	73
209	HolyVenom	73
209	JasmineGK	73
212	nocturne78	72
213	PlzNoBM	71
213	Powowowow	71
213	kinas45y5	71
213	diggydog67	71
217	_stets	70
218	awesomeoneme	69
219	jushykins	68
219	vandmanden	68
221	lillips	67
221	xorompole	67
221	2blox	67
224	Iagoku	66
224	Kamflame10	66
224	Cambo5000	66
224	claivin	66
224	Razzgriz	66
224	The_SlideV5	66
230	Kukkelikuk	65
231	Furiuosbeast0404	64
231	MeowMeowMcmuffin	64
231	DirtyBoar	64
231	LilLizardWizard	64
231	gustarbite	64
231	JoshuaTheScoop	64
237	Incinere	63
237	ThePoliteG	63
237	redikul	63
237	fred870d	63
237	EveryonesUncle	63
237	djancak	63
243	Stiar	62
243	Windo_licker	62
243	ooga47	62
246	Cryptacity	61
246	Ragnar2105	61
248	angwla	60
249	Tolhart	59
249	Sral7	59
251	TheBiggestFeller	57
251	Crowvens	57
251	Fuhrer_Teemo	57
254	FishyBoy3811	56
254	MakeHistory157	56
254	Cocoamallows	56
257	MonitorLizards	54
258	SteveCraftBlocks	53
258	egglapras	53
258	AlphaWolfPlaysMC	53
258	smogfrog	53
262	AuroraValkyrie	52
262	Natty	52
262	_Karmaa	52
262	coobert42	52
266	ExtraDumb	51
266	openatheclose	51
266	ShedJr_	51
266	whoaluv	51
266	xX_Stalin69_Xx	51
271	jpoxman	48
272	Louiis123	47
272	Hpdinosaur	47
272	starbits140	47
272	Hermanni__	47
276	Euclidoris	45
277	rachcl	44
277	SaucyDark	44
277	33sudo	44
280	TheDankPlatypus	43
281	HAIRYCLOUD626	42
281	HoldThatPee	42
281	DemTechAlpha	42
281	RadarHz	42
285	Cartoonmaniac	40
285	MineMaster0012	40
287	ediballbearings	39
288	Harotio	38
288	valiSW	38
288	Blamphe	38
288	420BreadLizard	38
288	JESS_THE_RERE	38
288	alddd	38
288	Panoe	38
295	Quincannon	37
296	tsohomie	36
296	Airem_Core	36
296	pixelviolin	36
296	Sheldor097	36
300	Dogbound	35
