rank	username	minecraft:picked_up/minecraft:flowering_azalea_leaves
1	pretty_pink_reno	10889
2	Alteriity	6287
3	SvenskaHugo	3811
4	Mr_Byzantine	1888
5	Marbz_	1601
6	Manaateee	1467
7	Enderxz3	1198
8	Jackattack53	1102
9	Yamdalorian	1094
10	luseis	1021
11	FiguraDei	966
12	Hyp3rion_	953
13	hanaryheatwave	869
14	Steelynan	868
15	Merv__	856
16	Kakolbus	837
17	Kowcio_	802
18	pintsizedrogue	790
19	Pumpkin_P_Patch	594
20	Soplight	593
21	Mattesco	590
22	myaccountwasgone	486
23	Lez_	445
24	EMC_	431
25	PlasticOtari	412
26	12Magner05	397
27	oscminus	338
28	thewindmillman	334
29	500am	314
30	Legendosh	282
31	PazinGaming	279
32	CarryLine	273
33	EveryonesUncle	262
34	StinkyDiplomat	261
35	Jimb0nat0r	231
36	Gzrdy	196
37	lordpipe	192
38	00000000-0000-0000-0009-01ff0c3e5e4f	189
39	ImpavidArcher	184
40	eitanzaki	179
40	iSammael	179
42	CattSoup	172
43	TheSecondLord	168
44	Krowuss	164
45	PaperCanvas	158
46	fragrantmonke444	157
47	CoffeeNoir	154
48	noam464	152
49	MrShojo	151
50	SpacesickPrism	132
51	Gamergirl420628	126
52	AlexxO_o	122
53	TheWickedBird	100
54	Blaiku	95
55	Mahoose	90
55	2blox_	90
57	pixelviolin	80
58	_Huge_Male_	75
59	Jimi7hits	73
60	Reneedium	70
60	Fuad_R	70
62	NomadicRobin_	69
63	Groovy_MoonBird	65
63	mihimihimihi	65
65	Napoleonpancake	64
66	Mr_Sun15	63
67	GooseWithin	59
68	MSK__	48
69	himak1	43
70	EcksD	42
71	Blackberry1310	41
71	AuroraSkies	41
73	Ryker	40
74	olliebollie48	32
74	Moofyman	32
76	TheKingK_	31
77	Prismyst	30
77	Segotep999	30
79	SyntheticSurgeon	25
79	Crowman1	25
79	shadowthemonkey	25
82	k_ce	24
83	Di_infiri	23
83	EngagedGrub41	23
85	Nicserso	22
86	_Razaria	21
86	Lutres_	21
88	SmashingPump	20
88	joethahobo	20
88	UniverseBrewer	20
88	Arceus1975	20
88	Dakar_	20
88	YungMaki	20
94	Myntsys	18
95	RoskobiOne	17
95	MinttyFressh	17
95	Kekoo	17
98	Rocco_Lane	16
98	PigDab	16
100	MattieHD	15
100	crashomon	15
100	groofles	15
100	TheALV	15
104	Huwulling	14
104	skroobiez	14
104	StarCookiees_	14
107	ShedJr_	13
107	bl1ss0	13
107	MAns_44	13
110	WET_WET_WET	12
111	Inchef	10
111	Vegvisir	10
113	BPTY4618	9
113	nattybears	9
115	Sleepy_Time_	8
115	zToasty69z	8
115	ZoomieZoomie	8
118	ganyuganyu	7
118	beeperbeeper5	7
118	FreakGenius	7
121	Archsam	6
121	KamFurnace	6
123	SvenskaSara	5
124	j5ylim	4
124	fluddd	4
124	SammiWolfGirl	4
127	weabis	3
128	LeEricc	2
129	Frozil20	1
129	sapphyllia	1
129	Secret_Canary	1
129	SteveCraftBlocks	1
129	Winklepicker279	1
129	Boipl	1
129	emreknugrlu	1
129	blackeemperor	1
129	FelixPSY375	1
