rank	username	minecraft:picked_up/minecraft:cherry_planks
1	11Brewer	1315
2	Lez_	813
3	Moofyman	617
4	IlkeCookes_	600
5	Spaghettatron	535
6	robonya_	257
7	Lazy_geniusig	249
8	thatsjustfrankie	239
9	OreTheBear	206
10	Jekyll	185
11	Dynamic_wolf_1	181
12	Kowcio_	177
13	_witch_craft_	171
14	XxCookiequeenxX	154
15	Caribouse	146
16	Alteriity	137
17	luseis	134
18	k_ce	129
19	LovableFemboy	114
20	cutelilreno	93
21	Enderxz3	83
22	Steelynan	80
23	_Huge_Male_	79
24	bl1ss0	77
25	MattieHD	73
26	ItzClutch_	72
27	Reneedium	70
27	Krowuss	70
29	RatatJuice	69
30	lordpipe	68
31	shineh10	65
32	Rebytre	56
33	gabukun_	53
33	Jackattack53	53
33	Werbe	53
36	Huwulling	52
37	Tersea_	51
38	Mr_Byzantine	41
39	Archsam	37
40	CacheOut	29
41	milltesco	28
42	AstreaTSS	22
43	royal_2	21
44	noam464	18
44	FiguraDei	18
46	beeperbeeper5	16
47	pintsizedrogue	15
48	kaiwill0w	14
48	Yamdalorian	14
50	Lorcout	11
51	DairyNickel756	10
52	Napoleonpancake	9
52	MisfitsMike	9
54	ECstardust	8
54	Sleepy_Evelyn	8
56	MyMawgDonaldsGon	7
56	oscminus	7
56	Pumpkin_P_Patch	7
56	pizzarel_	7
60	Hashises	6
60	Soplight	6
62	_Duckery	5
63	emreknugrlu	4
64	philandr	3
64	Mattesco	3
64	Manaateee	3
67	PazinGaming	2
67	Fullbit_	2
67	thewindmillman	2
67	00000000-0000-0000-0009-01fe065167f0	2
71	CLG_Kata	1
71	QuiCreans	1
71	Hetti301	1
71	Fullut	1
71	DisgruntledKoala	1
71	Alex_Hansen	1
71	Kondzik2008	1
71	Mr_Froxy	1
71	Paul_Katan	1
71	NATE_the_HALO	1
