rank	username	minecraft:picked_up/minecraft:egg
285	Pootis11	74
286	Lord_Doob	72
287	Voltique69	70
287	Ryan_GEMS	70
287	orxngejuice	70
290	Prodiginus	69
290	Kubelz	69
292	Rasmanden	68
292	AltnumberF4	68
294	LordSpeed37	67
294	ediballbearings	67
296	Ssor69	66
297	masskedman	65
298	CoffeeNoir	64
298	PigDab	64
298	EveryonesUncle	64
