rank	username	minecraft:picked_up/minecraft:azalea_leaves
1	sebastiensaborio	2137
2	pintsizedrogue	1794
3	Enderslayerxz3	1095
4	Legendosh	494
5	CoffeeNoir	434
6	500am	427
7	Gamergirl420628	373
8	Kakolbus	360
9	OtariCharlie	308
10	Smoke____	306
11	Kowcio_	305
12	Soplight	286
13	EveryonesUncle	212
14	Groovy_MoonBird	172
15	thewindmillman	167
16	eitanzaki	140
17	Merv__	129
17	lordpipe	129
19	himak1	121
20	Mahoose	103
21	2blox	74
22	TheSecondLord	68
23	Rocco_Lane	44
24	Marbz_	38
25	Kossac	32
26	ImpavidArcher	31
27	Blackberry1310	28
28	_Razar	23
29	Vegvisir	18
30	Hyp3rion_	5
30	Freak_Genius	5
32	MinttyFressh	3
32	_Boipl_	3
34	neurotic_a	2
35	SammiWolfGirl	1
