rank	username	minecraft:picked_up/minecraft:light_gray_banner
1	Mahoose	37
2	lcvezra	23
3	kekhon	22
4	Smoke____	18
5	Winklepicker279	16
6	Jiminie	14
7	TheShyPig	12
8	m_be9	9
8	pappaberg	9
8	Legendosh	9
11	pintsizedrogue	7
11	beeperbeeper5	7
13	_Dean_123	6
14	Marbz_	5
14	Fuhrer_Teemo	5
14	Xclax101	5
17	Incinere	4
17	500am	4
17	RobotMinion101	4
17	EveryonesUncle	4
17	HellsSponge	4
17	Enderslayerxz3	4
23	CoffeeNoir	3
23	SquadMonster	3
23	Blackberry1310	3
23	Dusk_95	3
27	Smashic	2
27	noam464	2
27	YoshikageBites	2
30	Bk2Lumby4You	1
30	LionelHutzESQ	1
30	joethahobo	1
30	titanlax	1
30	SteveCraftBlocks	1
30	ROY4LE	1
30	ApophisNova	1
30	Blu3beast	1
30	Kowcio_	1
30	YungMaki	1
30	MyNamaSheff	1
