rank	username	minecraft:picked_up/minecraft:sculk_shrieker
1	k_ce	1209
2	TheBananaKat	362
3	thewindmillman	275
4	TheSecondLord	194
5	pixelviolin	172
6	Enderxz3	142
7	luseis	96
8	Manaateee	94
9	Kowcio_	80
10	Wowful	78
11	beeperbeeper5	68
12	EMC_	66
12	ImpavidArcher	66
14	Apollo_993	64
15	SvenskaHugo	50
16	Archsam	48
17	Pumpkin_P_Patch	38
18	pintsizedrogue	37
19	Kakolbus	36
19	hanaryheatwave	36
21	Iamthejo	33
22	ECstardust	31
23	Sorry_Arey07	28
24	12Magner05	25
25	MrKrabOnCoke	24
25	Soplight	24
27	corvidpartyfor6	23
27	Di_infiri	23
27	Segotep999	23
30	excelsionprime	22
31	MyMawgDonaldsGon	21
31	Rebytre	21
31	EdGalbraith	21
34	Sleepy_Time_	16
35	Hyp3rion_	15
36	MSK__	14
36	11Brewer	14
38	TheDankPlatypus	13
38	doublemaki	13
40	Tersea_	12
41	PazinGaming	10
41	Mahoose	10
41	Jimb0nat0r	10
41	Yamdalorian	10
45	Alteriity	9
45	Jackattack53	9
45	AlexxO_o	9
45	FiguraDei	9
49	CLG_Kata	8
49	nattybears	8
49	Strats__	8
49	ScootOfBoot	8
49	00000000-0000-0000-0009-01fe065167f0	8
54	skroobiez	7
54	StinkyDiplomat	7
56	Niklas20114552	6
57	Lez_	5
57	Rani_R	5
57	Nach0Bear	5
57	cutelilreno	5
57	EcksD	5
62	j5ylim	4
62	knarian	4
62	Snowflowe	4
62	Fuad_R	4
62	NATE_the_HALO	4
67	Mr_Byzantine	3
67	QuiCreans	3
67	500am	3
67	philandr	3
67	r123moore	3
67	Samificator	3
67	Buuck_	3
67	Hisiste	3
75	q_wq	2
75	DinoDoctor_	2
75	RatatJuice	2
75	MattieHD	2
75	Marbz_	2
75	Luminad3	2
75	ItsDeltaMC	2
75	CacheOut	2
75	non089	2
75	robonya_	2
75	Nicserso	2
75	Legendosh	2
87	AzaleaTFG	1
87	robertsnose	1
87	shineh10	1
87	rarrq	1
87	Secret_Canary	1
87	_witch_craft_	1
87	Fullbit_	1
87	Cellcorgi649	1
87	shadowthemonkey	1
87	thatbeanyboi	1
87	Jonafrog99	1
87	oscminus	1
87	Hahaa_0	1
87	Avocadogerms	1
87	wwwwinnebagoooo	1
87	Spacewardharpy7	1
87	ElectricDragon81	1
87	00000000-0000-0000-0009-01ff0c3e5e4f	1
