rank	username	minecraft:picked_up/minecraft:cyan_concrete
1	weabis	2619
2	beeperbeeper5	2260
3	shrimp_flips	1937
4	Swexti	1697
5	ImpavidArcher	1665
6	lordpipe	960
7	teslawolf38	889
8	r123moore	644
9	Crowman1	577
9	Hoid_the_Roamer	577
11	NieToksikpl	572
12	Ezekson	566
13	Blackberry1310	527
14	ConnorDanky_	501
15	ROY4LE	475
16	TheShyPig	460
17	Frozil20	422
18	h2p_emrld	419
19	YungMaki	353
20	Dusk_95	316
21	Huwulling	309
22	Iagoku	303
23	Spacewardharpy7	279
24	Di_infiri	273
25	stellarjay	244
26	sp00ky_ghost977	235
27	Sral7	196
28	EveryonesUncle	193
29	ooga47	185
30	rarrq	174
31	CuzIm2Kev	134
32	ShedJr_	131
33	mihimihimihi	124
34	Dreamdbr14	119
35	Hiryu27	112
36	RoboTramp7865	105
37	noam464	83
38	pintsizedrogue	81
38	ibarker21	81
40	fkGrim	75
41	TeenMomTom	74
42	Notta	71
43	Kowcio_	70
44	The_Thund	64
44	PhantomsGhost_	64
44	Enderxz3	64
47	PlasticOtari	60
48	Optiprimus	54
49	Eraxa	50
50	HellsSponge	29
50	Steelynan	29
52	Merv__	28
53	jnp_gaming	21
54	thewindmillman	20
55	TheSecondLord	18
56	500am	13
56	Rumpletaezer	13
58	SammiWolfGirl	11
59	KingMatthew506	10
60	AuroraValkyrie	8
60	IamCL4SSY	8
62	Smoke____	7
63	Hermanni__	6
64	joethahobo	5
65	Mahoose	4
66	SteveCraftBlocks	3
66	CalebDHawk	3
68	EcksD	2
69	mwrty	1
69	UnderKat	1
69	MousePlays	1
69	Akoot_	1
69	MightyWertu	1
69	Blaiku	1
69	aidanwest	1
69	ZoomieZoomie	1
