rank	username	minecraft:picked_up/minecraft:tipped_arrow
1	El_Jalapeno	3719
2	jnp_gaming	690
3	Drlzyy	647
4	Blaiku	371
5	PigDab	361
6	eitanzaki	301
7	Akoot_	257
8	kekhon	253
9	rarrq	187
10	Frozil12	177
11	Blu3beast	161
12	Mahoose	160
12	Ezekson	160
14	sp00ky_ghost977	139
15	egglapras	134
16	PhantomsGhost_	129
16	TechnoNinja64	129
18	WET_WET_WET	112
19	YungMaki	109
20	beeperbeeper5	100
21	fluddd	92
21	h2p_emrld	92
23	Eraxa	85
24	noam464	82
25	joethahobo	80
25	Inchef	80
27	oxfordschool	67
28	Inbefour	66
28	Enderslayerxz3	66
30	T045RTY	65
31	m_be9	57
32	diamondgolem35	49
33	Karbl	48
33	Spenduh	48
35	TheShyPig	46
36	Di_infiri	45
37	stavgod	43
38	Guillemet	40
39	Deathkob	31
39	Hermanni__	31
41	chipklip	29
42	Smoke____	28
43	Historical_Sand	26
43	Kamflame10	26
43	SuperPooch06	26
43	claivin	26
43	FelixPSY375	26
48	Soplight	25
49	Racengan	22
50	TheSecondLord	21
50	Sky_light_KING	21
52	Natty	20
52	Fullut	20
52	M_Patata	20
52	MasterNueve	20
52	stahouo	20
57	Covalents	19
57	FlashMigma	19
59	set67	18
59	EveryonesUncle	18
59	PlasticOtari	18
62	NoxxxxiS	16
62	Legendosh	16
64	Blackberry1310	15
65	gcaisawesome	14
65	Hyp3rion_	14
65	Freak_Genius	14
65	sebastiensaborio	14
69	thescout7	13
69	xxPipperDipperxx	13
69	_8man	13
69	Hisiste	13
69	EcksDofficial	13
74	fr_ser	12
74	gabriels543	12
74	Bumpy419	12
77	_Dean_123	11
77	ROY4LE	11
77	ooga47	11
77	TTNG	11
77	sammidk	11
82	Sleek_Storm_721	10
82	censorsheep	10
82	Steven1282598	10
82	Smiguli_	10
82	Nagasaki_Riku	10
82	Skippeh	10
88	Incinere	9
88	Warlord324	9
90	teslawolf38	8
90	Kkanot	8
90	Rumpletaezer	8
90	Hail_the_wombat	8
90	Leyna3	8
90	Maenara	8
90	Deodorante	8
90	Razzgriz	8
98	xyct	7
98	_Boipl_	7
98	Jonte0599	7
98	FishyBoy3811	7
98	JESS_THE_RERE	7
98	Spacewardharpy7	7
104	Harotio	6
104	Ardennes	6
104	shyshyannne	6
104	r123moore	6
104	Chromary	6
104	Rocco_Lane	6
104	Rasmanden	6
104	stellarjay	6
112	pintsizedrogue	5
112	12Magner05	5
112	Winklepicker279	5
112	Ristebraaten	5
112	RodSerlingCringe	5
112	1442	5
118	strongman951753	4
118	dabloons	4
118	6king6colt6	4
118	I_Am_Mushkin	4
118	chimpmunker	4
118	Valoth	4
118	500am	4
118	Bobby808	4
118	LotusProject	4
118	Marbz_	4
118	Zythose	4
118	Werbe	4
118	_naturell	4
118	Jiminie	4
118	misomon	4
118	AssEatrAndLicker	4
118	OhmShaLam	4
135	Cowison	3
135	MSK__	3
135	H72l9w	3
135	Euclidoris	3
135	Enigma0251	3
135	himak1	3
135	LordDiabolos	3
135	Septemb3r	3
135	hcb238	3
135	purpolepickle	3
135	Kakolbus	3
135	RobotMinion101	3
135	seramalen	3
135	HyperCave	3
135	LexMakesHistory	3
135	Lutres_Torane	3
135	drumine	3
135	lordpipe	3
135	Dusk_95	3
135	WyngGoy	3
135	MakeHistory157	3
135	Optiprimus	3
135	ediballbearings	3
135	TheGameArchitect	3
135	Kubeusz2010	3
135	EcksD	3
161	heysushii	2
161	Healthing	2
161	SlavBylat	2
161	ImpavidArcher	2
161	SaucyDark	2
161	Tolhart	2
161	HollieDaNugget	2
161	jimintyy	2
161	KomputerDude	2
161	CoffeeNoir	2
161	Cartoonmaniac	2
161	Michaelelelelele	2
161	tramizu	2
161	MrMattyPatt	2
161	jacxhadow	2
161	IforgotCS_Source	2
161	Xalithia	2
161	Jackattack53	2
161	Arceus1975	2
161	burbankbuilder28	2
161	BRRRN179	2
161	Lord_Jord	2
161	Alendral	2
161	lillips	2
161	pixelviolin	2
161	alderban107	2
161	_schi	2
161	Haadrada	2
161	diggydog67	2
190	Gary_	1
190	Jovaphobic	1
190	Groovy_MoonBird	1
190	ItsColin11	1
190	Merv__	1
190	lewieinnit	1
190	bigstankyy	1
190	Frozt99	1
190	ewsophie	1
190	Jahara	1
190	Silenttieg	1
190	Zlatovlas	1
190	Kek	1
190	Myszoaz	1
190	IWorkAtIkea	1
190	Swalt	1
190	Vizzoid	1
190	Comma__	1
190	MrExplorer	1
190	MattieHD	1
190	Cortexia	1
190	lordofthelight95	1
190	CyrusIsTired	1
190	Laykon	1
190	mwrty	1
190	eviltunix	1
190	SpicyMeatballs	1
190	Paintz	1
190	CryForHelpPT	1
190	XboxPanda	1
190	Zaridey	1
190	Peeing	1
190	mariominejedi	1
190	MyNameIsJobo	1
190	SlayerCrypto	1
190	SourPapaSmurf	1
190	Skylord_Luke	1
190	Onennon	1
190	Sqwishy	1
190	FungalCat	1
190	thgrocks	1
190	makw	1
190	stuy9	1
190	ogoa	1
190	yulgur1	1
190	pi_E_	1
190	ese_wn_po	1
190	Jiminbub	1
190	proxivitoid	1
190	HellsSponge	1
190	alddd	1
190	MAns_44	1
190	JackyKwacky	1
190	LeadenKey	1
190	Omar_Alone	1
190	Princesse_Louise	1
190	KG1999	1
190	SvenskaHugo	1
190	Kowcio_	1
190	underscore_2	1
190	SammiWolfGirl	1
190	Nekomin0	1
190	_TCARREIRA_	1
190	xof_on_microwave	1
190	gaming4Naming	1
190	Njensen7	1
190	KingMatthew506	1
190	TheOuterCore	1
190	BreadBacon	1
190	HesDemonPants	1
190	Powowowow	1
190	Kateesaur	1
190	SilentKarma	1
