rank	username	minecraft:picked_up/minecraft:cherry_trapdoor
1	Lez_	241
2	k_ce	174
3	Spaghettatron	93
4	KamFurnace	86
5	cutelilreno	85
6	Mr_Byzantine	75
7	RatatJuice	74
8	IlkeCookes_	66
9	bl1ss0	46
10	Kowcio_	45
11	Reneedium	44
12	11Brewer	34
13	robonya_	30
14	Enderxz3	27
15	OreTheBear	23
16	Krowuss	21
17	MyMawgDonaldsGon	19
18	Alex_Hansen	16
19	Merv__	15
20	Alteriity	14
21	HUNTERmaun	12
21	craaaash	12
23	LovableFemboy	11
24	Napoleonpancake	10
25	steppe_nomad	9
25	lordpipe	9
27	XxCookiequeenxX	8
28	PazinGaming	7
29	MattieHD	6
29	Myntsys	6
31	royal_2	5
32	lorywithay	4
32	Hoid_the_Roamer	4
32	Mattesco	4
32	EveryonesUncle	4
32	emreknugrlu	4
37	pintsizedrogue	3
37	TheSecondLord	3
37	milltesco	3
37	MAns_44	3
37	Pumpkin_P_Patch	3
42	Tersea_	2
42	_witch_craft_	2
42	noam464	2
42	DisgruntledKoala	2
42	Jackattack53	2
42	Moofyman	2
42	InchoateOyster	2
42	Gus2005	2
42	Buuck_	2
42	Steelynan	2
42	Legendosh	2
53	Archsam	1
53	SteveCraftBlocks	1
53	U_Mos_	1
53	Mr_Sun15	1
53	Hahaa_0	1
53	luseis	1
53	Jimb0nat0r	1
53	Yamdalorian	1
