rank	username	minecraft:picked_up/minecraft:green_concrete
1	Snowflowe	3449
2	Smoke____	2359
3	beeperbeeper5	1726
4	TheShyPig	856
5	lordpipe	785
6	thewindmillman	669
7	TheSecondLord	657
8	Alteriity	443
9	Nicserso	379
10	Optiprimus	351
11	YungMaki	342
12	Steelynan	328
13	AlexxO_o	322
14	HellsSponge	287
15	jnp_gaming	275
16	Sral7	256
17	stellarjay	254
18	Spacewardharpy7	247
19	Koffeeinz	205
20	noam464	194
21	teslawolf38	193
22	SolicitedPuma101	163
23	Soplight	162
24	Deathkob	132
25	Chromary	126
26	mobunni	112
27	Hiryu27	101
28	MakeHistory157	68
29	ROY4LE	67
30	TheBiggestFeller	65
30	Notta	65
32	chipklip	64
32	Leftsy	64
32	KingMatthew506	64
32	YoshikageBites	64
36	EMC_	58
36	WET_WET_WET	58
38	The_SlideV5	57
39	burbankbuilder28	54
40	Groovy_MoonBird	52
41	VentiHilton	50
42	PlasticOtari	43
43	epiksk8erduck	42
44	ProfessorBee	41
45	Kowcio_	39
46	pintsizedrogue	37
47	WyngGoy	32
48	PigDab	29
49	Vegvisir	27
50	500am	26
50	Di_infiri	26
52	corvidpartyfor6	24
52	oxfordschool	24
54	Euclidoris	23
55	mwrty	18
55	Arceus1975	18
57	6king6colt6	14
58	Lord_Jord	12
59	Ezekson	11
59	Legendosh	11
61	Prismyst	9
61	SuperPooch06	9
63	Kim_Jong_eel	8
63	fluddd	8
63	Blaiku	8
63	starbits140	8
67	Mahoose	7
67	LexMakesHistory	7
69	Auseawesome	6
70	Rumpletaezer	4
70	obzii	4
72	Xovalt_	3
73	_Dean_123	2
73	Maenara	2
73	The_slideV3	2
73	Spenduh	2
73	Umbreon900	2
78	Merv__	1
78	ColeSnyder	1
78	Humpcat	1
78	CarltheCuck	1
78	MousePlays	1
78	Inbefour	1
78	_Bguette_	1
78	stahouo	1
78	_TCARREIRA_	1
78	CalebDHawk	1
