rank	username	minecraft:picked_up/minecraft:coal_ore
1	joethahobo	77641
2	gcaisawesome	40476
3	Werbe	23392
4	EMC_	22567
5	HellsSponge	21842
6	AdmiralSmoke	20073
7	Ezekson	18578
8	Spacewardharpy7	17718
9	Iamthejo	16666
10	Blaiku	13150
11	PigDab	12943
12	TheShyPig	11863
13	YungMaki	11637
14	PhantomsGhost_	11488
15	Zythose	11431
16	thewindmillman	10885
17	Deathkob	10752
18	BobDeBouwer1337	10495
19	Di_infiri	10030
20	lordpipe	9855
21	noam464	9220
22	EveryonesUncle	8045
23	Skippeh	7128
24	RebelAndroid	6354
25	pintsizedrogue	6346
26	TheThomas69	6053
27	FreakGenius	5871
28	Cowison	5840
29	Frozil20	5810
30	TheSecondLord	5722
31	Hyp3rion_	5708
32	Kakolbus	5583
33	EcksD	5450
34	Mewar	5221
35	12Magner05	4830
36	Enderxz3	4804
37	Hisiste	4780
38	Snowflowe	4645
39	Nicserso	4401
40	corvidpartyfor6	4399
41	Mahoose	4334
42	Lutres_	3972
43	ImpavidArcher	3630
44	Blackberry1310	3337
45	beeperbeeper5	3288
46	PlasticOtari	3123
47	m_be9	3122
48	ConnorDanky_	3084
49	500am	3083
50	kekhon	3019
51	Arceus1975	2976
52	Manaateee	2878
53	Steelynan	2840
54	Akoot_	2822
55	Vetral1	2655
56	NoChumpChange	2622
57	set67	2578
58	hanaryheatwave	2365
59	Jonafrog99	2343
60	Jackattack53	2333
61	NatalieTW	2308
62	Racengan	2167
63	Lord_Jord	2077
64	TechnoNinja64	1926
65	Quotary	1852
66	Kowcio_	1839
67	lillips	1784
67	Segotep999	1784
69	obzii	1763
70	pixelviolin	1746
71	livingdaydreams	1742
72	BumbleBeever	1735
73	eitanzaki	1716
74	Bumpy419	1681
75	Soap_Bender	1680
76	ApophisNova	1647
76	MyNamaSheff	1647
78	Fullut	1642
79	SpacesickPrism	1638
80	Blu3beast	1621
81	Hoid_the_Roamer	1600
82	Marbz_	1590
83	BodaciousCake	1589
84	luseis	1562
85	ProfessorBee	1560
86	Megarboh	1548
87	Fuhrer_Teemo	1527
88	Historical_Sand	1512
89	Flores991	1504
89	F_Uhre	1504
91	TheSeismicDuck	1485
92	jcool7	1481
93	Groundler	1468
94	Soplight	1462
95	Inchef	1440
96	MyNameIsJobo	1407
97	oscminus	1403
98	SpaceGrenadier	1399
99	Mattesco	1385
100	MilleGrug	1356
101	Chromary	1331
102	masskedman	1330
103	SingedBread	1328
104	PlzNoBM	1304
105	WyngGoy	1273
106	CoffeeNoir	1269
107	M_Patata	1261
108	Maenara	1247
109	Krowuss	1238
110	Shogunite	1228
111	07shiny	1221
112	DJenthousiast	1211
113	Crowman1	1178
114	Rasmanden	1170
115	SammiWolfGirl	1148
116	MasterNueve	1136
117	audiocracked	1113
118	anbbang	1107
119	Onennon	1075
120	SmashingPump	1068
121	Jimb0nat0r	1026
122	StinkyDiplomat	1021
123	claivin	1009
124	ITDV	1002
125	r123moore	995
126	mihimihimihi	986
127	Jovaphobic	982
128	Franco093	961
129	T045RTY	945
130	Huwulling	934
131	Vorlice	931
132	non089	902
133	Scathra	901
133	Hermanni__	901
135	Barlycorn	880
136	Smiguli_	846
137	jnp_gaming	845
138	Rumpletaezer	843
139	DTwenty	837
140	Corbsman	834
141	Kouridragon	820
142	PaperCanvas	789
143	NameGenerat0r	786
144	TheTrueClipse	781
145	Lez_	780
146	Rocco_Lane	772
147	Raltemoxitonica	768
148	Steve897	763
149	SeverianOfUrth	761
150	MinttyFressh	758
151	PazinGaming	757
152	diamondgolem35	744
152	ROY4LE	744
154	vandmanden	737
155	bearlystraight	725
156	Swexti	716
157	ssleepless	711
158	El_Jalapeno	699
159	_AAZAR	697
160	H72l9w	694
161	MightyWertu	689
162	Ssor69	685
163	LeauVox4921	675
164	Skylord_Luke	670
165	ReSynced	662
166	fw3xy74	657
167	OverallConcept	653
168	Kamflame10	649
169	RefluxRatio	645
170	Lukeee33	635
170	NomadicRobin_	635
172	_Virify_	631
172	ItsJunoIGuess	631
174	titanlax	627
175	thescout7	624
175	radioactv_jelly	624
177	xxPipperDipperxx	621
178	Euclidoris	618
179	Winklepicker279	615
180	rarrq	584
181	6king6colt6	580
182	KingMatthew506	577
183	Apollo_993	575
183	Z3braYTIL	575
185	Eraxa	571
186	Deodorante	561
187	DemTechAlpha	559
188	ClemenPine	553
189	MissCeleste7	552
190	Windo_licker	547
191	NATE_the_HALO	545
192	ShedJr_	538
193	Sral7	537
194	Eczbek	532
195	k_ce	527
196	MakeHistory157	526
197	Inbefour	524
198	Smashic	521
199	Zoeyfortnite	518
200	FirsTimeGamingTV	515
201	PortlyPete69	514
202	Lil_Breadboy	512
203	Nyxiom_	496
204	TooManyDuck	489
205	infiniteQuery	478
206	Yatitay	474
207	Iagoku	472
208	excelsionprime	459
209	xolstoi	453
210	Sheldor097	450
211	TheTommyGun63	448
212	_Mythic____	440
213	DarlaMeow	434
214	Crowvens	432
215	KartivGal	427
216	hcb238	426
217	himak1	424
218	Kura2218	417
219	Jimi7hits	410
219	Chaotic1s	410
221	little_dUki	409
222	Eczbox	407
223	weabis	406
224	SvenskaHugo	404
225	The_slideV3	402
226	emrekn	401
226	Majonezzon	401
228	ExtraDumb	396
228	catandmoose	396
230	CalebDHawk	390
231	MoistMicrowave	387
232	Hanselhoof	375
233	eviltunix	374
234	Cryptacity	369
235	ProbablyNick	366
236	Jij0	359
237	Mr_Byzantine	352
238	Empresario	348
239	mwrty	347
240	_stets	345
240	Leyna3	345
242	FishisTTV	344
243	AuroraValkyrie	334
244	GooseWithin	332
244	_TCARREIRA_	332
246	BartekB19	326
247	Fuad_R	321
248	G1ldor	320
248	JayToe	320
250	UCP_TheKingK	314
251	groofles	310
252	Zedducius	308
253	Badenbeele	302
254	BronkerBrum	301
255	Oxygen16	299
256	Kegradigm	296
256	ColeSnyder	296
258	spencersolberg	294
259	ElKaySVK	293
259	Dogcorn69420	293
261	Cocoamallows	286
262	Elastiq	284
263	Pofen	283
264	legal_tax_evader	276
265	FelixPSY375	275
266	tuckerdoodle	273
266	MrExplorer	273
268	Healthing	266
269	Ailmast	263
269	SDMNAEK	263
271	SellyZ	260
272	gaziter10	258
273	CrateOfBoxes	255
274	KGTV	254
275	TheBananaKat	253
276	SlayerCrypto	252
277	bloodbiter	249
277	MAns_44	249
279	Avocadogerms	248
280	PegLegPete93	243
281	_Dean_123	239
282	Legendosh	238
283	gilesmcriles	236
284	xzvu	235
285	Alteriity	234
286	EngagedGrub41	232
286	diggydog67	232
288	FishyBoy3811	228
289	Njensen7	227
290	H0UNDFRMH3LL	225
290	Hpdinosaur	225
290	SUN_DREAM	225
290	UrbanPlanningEx	225
294	erkada	224
295	CLG_Kata	223
295	Xalithia	223
297	TheEnderMan548	221
298	WYFYoyo	220
299	abramgray	219
300	_i_ERROR_i_	214
