rank	username	minecraft:picked_up/minecraft:white_bed
1	noam464	1261
2	FreakGenius	520
3	thewindmillman	302
4	Blaiku	234
5	Hyp3rion_	223
6	thescout7	215
7	TechnoNinja64	206
8	MightyWertu	204
9	diamondgolem35	200
10	oscminus	168
11	joethahobo	163
12	claivin	157
13	HellsSponge	147
14	Jackattack53	135
15	eitanzaki	124
16	SHAOBADMAN	120
17	Lord_Jord	118
18	Vizzoid	117
19	Bumpy419	116
20	fffMike	111
21	TheSecondLord	105
22	NATE_the_HALO	104
23	pintsizedrogue	102
24	kekhon	100
24	AstreaTSS	100
26	abdomera	98
27	Di_infiri	96
28	Mahoose	94
29	diggydog67	92
30	Tyrannosplart	89
31	legal_tax_evader	87
32	groofles	86
33	Jimb0nat0r	84
34	audiocracked	81
35	mwrty	74
35	Spacewardharpy7	74
37	ARandomHedge	72
38	Comma__	71
39	TheKingK_	70
40	DarkS0L	69
41	sp00ky_ghost977	68
42	EMC_	67
42	Snowflowe	67
42	jnp_gaming	67
45	Ryker	64
45	Jonte0599	64
47	Euclidoris	61
48	TheShyPig	59
49	Historical_Sand	58
50	LeeMcGee30	57
50	EngagedGrub41	57
52	Ezekson	55
53	T045RTY	54
53	Alteriity	54
55	SmashingPump	52
55	Fast_Turtle	52
55	Werbe	52
58	DanTheBuilderino	49
59	pixelviolin	48
60	Legendosh	47
61	ShedJr_	46
61	EcksD	46
63	RebelAndroid	45
63	Kakolbus	45
63	Rumpletaezer	45
66	beeperbeeper5	43
66	starbits140	43
68	Mattesco	42
68	TheSeismicDuck	42
68	07shiny	42
68	PlasticOtari	42
72	Kowcio_	41
73	EveryonesUncle	39
73	The_slideV3	39
73	LordSpeed37	39
73	YungMaki	39
73	Soplight	39
73	Luigipunch989	39
79	luseis	38
80	ganyuganyu	36
80	Spenduh	36
80	Yamdalorian	36
83	Blackberry1310	35
84	Lutres_	34
85	NotMeanttoChange	33
85	Jimi7hits	33
87	yulgur1	32
87	JESS_THE_RERE	32
89	500am	31
89	xxPipperDipperxx	31
89	BumbleBeever	31
92	Frozil20	30
92	Xalithia	30
92	Skippeh	30
95	Iagoku	29
96	Sleepy_Time_	28
96	Frxnkz	28
96	Racengan	28
96	Zoeyfortnite	28
100	Bandito_Roamer	27
100	QuesoCrusaderIII	27
102	Niklas20114552	26
102	QuiCreans	26
102	JayToe	26
102	00000000-0000-0000-0009-01ff0c3e5e4f	26
106	6king6colt6	25
106	RatatJuice	25
106	lorpus	25
106	Blu3beast	25
106	Powowowow	25
111	Louiis123	24
111	Merv__	24
111	ECstardust	24
111	hm947	24
111	RebytreGT	24
111	F_Uhre	24
111	Lord_Zacler	24
111	Dakar_	24
111	RadarHz	24
120	SyntheticSurgeon	23
120	CoffeeNoir	23
120	Julmish	23
120	yheece	23
120	PigDab	23
120	Meatlaugh	23
120	censorsheep	23
120	Eraxa	23
128	Fuad_R	22
129	Crowman1	21
129	excelsionprime	21
129	Segotep999	21
132	Saucepeh	20
