rank	username	minecraft:picked_up/minecraft:mourner_pottery_sherd
1	oscminus	13
2	pintsizedrogue	12
2	j5ylim	12
4	Kowcio_	8
5	MattieHD	7
6	_witch_craft_	6
7	corvidpartyfor6	5
7	Pumpkin_P_Patch	5
9	ZaneABrain	3
9	beeperbeeper5	3
9	royal_2	3
9	TheBananaKat	3
13	k_ce	2
13	ECstardust	2
13	Soplight	2
16	Apollo_993	1
16	lorywithay	1
16	TheSecondLord	1
16	noam464	1
16	Kakolbus	1
16	_Mythic____	1
16	Jimb0nat0r	1
