rank	username	minecraft:picked_up/minecraft:diamond_ore
1	Werbe	17394
2	EcksD	6675
3	joethahobo	4581
4	Hyp3rion_	4562
5	lordpipe	2861
6	YungMaki	2618
7	Spacewardharpy7	2207
8	HellsSponge	1596
9	Mahoose	1192
10	eitanzaki	1163
11	thewindmillman	1146
12	oscminus	1085
13	gcaisawesome	1054
14	PhantomsGhost_	1033
15	Skippeh	1010
16	claivin	1009
17	AdmiralSmoke	856
18	noam464	745
19	SpaceGrenadier	744
20	TheSecondLord	689
21	Ezekson	686
22	Racengan	684
23	Di_infiri	673
24	Fullut	634
25	beeperbeeper5	565
26	TheShyPig	540
27	500am	532
28	Hoid_the_Roamer	502
29	NomadicRobin_	501
30	Jackattack53	473
31	PigDab	468
32	Cowison	444
33	F_Uhre	433
34	Eczbox	424
34	Eczbek	424
36	Kakolbus	416
37	12Magner05	414
38	Blaiku	408
39	Inchef	404
40	Snowflowe	396
41	HolyVenom	391
42	SingedBread	389
43	SmashingPump	388
44	xzvu	368
45	Iamthejo	356
46	Steelynan	355
47	MakeHistory157	344
48	Deathkob	339
49	_i_ERROR_i_	332
50	ConnorDanky_	320
50	Enderxz3	320
52	xolstoi	316
53	EveryonesUncle	311
54	PlasticOtari	310
55	diamondgolem35	308
56	BumbleBeever	306
57	set67	295
58	ediballbearings	288
59	FreakGenius	281
60	RebelAndroid	280
61	TheThomas69	278
62	Rocco_Lane	277
63	m_be9	276
63	jcool7	276
65	Soap_Bender	274
66	MilleGrug	269
67	Steve897	263
68	Maenara	262
69	CoffeeNoir	251
70	ssleepless	241
71	_Mythic____	239
72	NatalieTW	229
73	Zythose	227
74	Bumpy419	225
75	Frozil20	215
75	BobDeBouwer1337	215
77	ApophisNova	209
77	MyNamaSheff	209
79	obzii	199
80	Hisiste	193
81	_Yonk_	183
82	_Virify_	178
83	33sudo	177
84	mwrty	173
85	pintsizedrogue	171
85	luseis	171
87	EMC_	170
88	thescout7	167
89	livingdaydreams	164
90	Scathra	160
91	FirsTimeGamingTV	155
92	TheOuterCore	152
93	rarrq	150
94	ClemenPine	148
95	Hermanni__	143
96	H72l9w	138
96	Lord_Jord	138
98	Historical_Sand	137
99	Zoeyfortnite	132
100	I_Am_Mushkin	131
100	kekhon	131
102	Cyntrical	127
103	MyNameIsJobo	123
104	Ender_Souls	122
105	Merv__	120
106	Mewar	119
106	audiocracked	119
106	EfficientC52	119
109	ROY4LE	117
110	Afinnity	115
111	Groundler	112
111	little_dUki	112
113	Nicserso	111
114	WyngGoy	110
115	XboxPanda	109
115	SeverianOfUrth	109
117	PazinGaming	107
117	Blackberry1310	107
117	_TCARREIRA_	107
117	Kubeusz2010	107
121	LeonelSalamanca	104
121	07shiny	104
123	j5ylim	102
124	Arceus1975	101
125	fkGrim	100
126	xXTheWolfmanXx	97
127	Corbsman	96
128	Dogcorn69420	91
129	Saucepeh	90
129	TheSeismicDuck	90
131	Chromary	89
131	Luigipunch989	89
133	diggydog67	88
134	Smashic	86
135	NameGenerat0r	82
135	Kura2218	82
137	Blazebit	81
138	Karbl	79
138	SSytex_X	79
140	SammiWolfGirl	78
141	hcb238	77
141	Winklepicker279	77
141	Lutres_	77
144	Kowcio_	76
145	soundad	75
145	Ryan_GEMS	75
145	pappaberg	75
145	Sral7	75
149	Barlycorn	74
149	Segotep999	74
149	Soplight	74
152	r123moore	73
153	ColeSnyder	72
153	ShedJr_	72
153	Vetral1	72
153	ReSynced	72
157	Onennon	71
157	Akoot_	71
159	anbbang	70
160	ExtraDumb	69
160	M_Patata	69
160	MasterNueve	69
163	_Bguette_	68
164	Franco093	67
165	BodaciousCake	65
165	Blu3beast	65
167	Yatitay	64
167	BlancoFlaco	64
167	mattybeewrapss	64
167	AltnumberF4	64
167	skrongus	64
172	TooManyDuck	63
172	Huwulling	63
172	ivorico	63
172	Quotary	63
172	FishisTTV	63
177	Swexti	62
177	Fuad_R	62
179	SellyZ	61
179	fluddd	61
181	Zedducius	60
181	boog4loo	60
183	KartivGal	59
183	Vorlice	59
183	PlzNoBM	59
183	jnp_gaming	59
187	CLG_Kata	58
187	T045RTY	58
189	Jovaphobic	57
189	Healthing	57
191	Kouridragon	56
191	MissCeleste7	56
191	Teebone15	56
194	FelixPSY375	55
195	jushykins	54
195	DTwenty	54
195	pixelviolin	54
198	Inbefour	53
199	CrateOfBoxes	52
200	xDraggin	50
200	ItsJunoIGuess	50
202	IWorkAtIkea	49
202	TheEnderMan548	49
202	PortlyPete69	49
205	ITDV	48
205	Donutt	48
205	Shiirazu	48
208	JohnnyFyes	47
208	JayToe	47
210	NoChumpChange	46
211	Iagoku	45
211	gilesmcriles	45
213	hm947	44
213	DirtyDalle	44
215	himak1	43
215	Serval2000	43
217	hanaryheatwave	42
218	selectrix	39
218	OG_Songsee	39
218	Jij0	39
221	Ailmast	38
221	Ssor69	38
221	poopybh	38
221	SexcMf	38
221	Sheldor097	38
226	Hiryu27	37
226	Erased_Identity	37
228	ImpavidArcher	36
228	Kamflame10	36
228	Spenduh	36
228	vandmanden	36
232	Apollo_993	35
