rank	username	minecraft:picked_up/minecraft:sand
1	Hyp3rion_	3137971
2	thewindmillman	1333110
3	joethahobo	833604
4	EcksD	393955
5	PigDab	373899
6	Enderxz3	333367
7	Spacewardharpy7	319406
8	Creativebuilder2	304961
9	lordpipe	297835
10	noam464	277301
11	hanaryheatwave	242775
12	Ezekson	239199
13	HellsSponge	227785
14	TheSecondLord	222544
15	Zythose	219317
16	picardred	213332
17	EveryonesUncle	201639
18	AdmiralSmoke	198994
19	Blu3beast	171240
20	Smashic	170569
21	obzii	162832
22	Blaiku	161409
23	YungMaki	156395
24	Snowflowe	152337
25	EMC_	130948
26	Jackattack53	129635
27	PhantomsGhost_	115798
28	Frozil20	111880
29	Jimb0nat0r	109790
30	Segotep999	107178
31	eitanzaki	105113
32	jnp_gaming	95941
33	NomadicRobin_	91362
34	El_Jalapeno	85244
35	TheShyPig	82822
36	Bumpy419	79377
37	beeperbeeper5	78970
38	Dogcorn69420	77449
39	tuckerdoodle	76957
40	LeonelSalamanca	76355
41	_Mythic____	76354
42	non089	75811
43	gcaisawesome	70436
44	mihimihimihi	69265
45	eviltunix	69046
46	Chromary	62753
47	MilleGrug	60687
48	Mahoose	57995
49	PlasticOtari	56645
50	pintsizedrogue	56101
51	SvenskaHugo	53784
52	Yahir091	52839
53	TechnoNinja64	52176
54	kekhon	52135
55	AstreaTSS	52131
56	Di_infiri	51590
57	cedric72	49462
58	12Magner05	49129
59	Groovy_MoonBird	49026
60	Werbe	47401
61	Iamthejo	47372
62	MirielThePastor	46939
63	teslawolf38	46432
64	SkateboardR6	46016
65	Nicserso	45974
66	Manaateee	44613
67	AuroraValkyrie	44387
68	RebelAndroid	44300
69	Blackberry1310	42929
70	Steelynan	41366
71	Kakolbus	41074
72	T045RTY	41060
73	Sral7	40938
74	Drawgirl	39658
75	fade_emerge78823	39354
76	Legendosh	39230
77	lillips	39149
78	SuperPooch06	39138
79	Lord_Jord	38368
80	FreakGenius	38233
81	Powowowow	36667
82	EngagedGrub41	36557
83	IamCL4SSY	36055
84	Skylord_Luke	34906
85	NatalieTW	34571
86	ImpavidArcher	34419
87	Jonafrog99	34083
88	himak1	33793
89	Kim_Jong_eel	33512
