rank	username	minecraft:picked_up/minecraft:bamboo_raft
1	Mr_Sun15	66
2	CircusKazi	23
3	Cache3	19
4	Mattesco	15
5	robonya_	12
6	Reneedium	11
7	FormulaNewt3627	8
8	craaaash	6
9	lorywithay	5
9	HugTed	5
9	alanbleachdemon	5
9	TheWickedBird	5
13	TheBeardForest	4
13	Enderxz3	4
15	Napoleonpancake	3
15	Hahaa_0	3
15	Pumpkin_P_Patch	3
18	powercas_gamer	2
18	mymayowasgone	2
18	Lez_	2
18	SnowyAvi	2
18	_witch_craft_	2
18	Roenfire	2
18	bl1ss0	2
18	U_Mos_	2
18	toastfetchd	2
18	cuddlyMonster	2
18	Buuck_	2
18	IMicha_	2
18	TheRealAndrin	2
18	StarCookiees_	2
32	pintsizedrogue	1
32	k_ce	1
32	Apollo_993	1
32	Niklas20114552	1
32	hydrothebot	1
32	MattieHD	1
32	Smashic	1
32	gamerlord1324	1
32	BubblyPrototype_	1
32	Mr_Froxy	1
32	MAns_44	1
32	Synthoum	1
32	Kowcio_	1
32	LuvLuvLove	1
32	Yamdalorian	1
32	00000000-0000-0000-0009-01fe065167f0	1
