rank	username	minecraft:picked_up/minecraft:mangrove_sign
1	TheWickedBird	21
2	pintsizedrogue	20
3	Enderxz3	19
4	Mr_Byzantine	16
5	Mahoose	15
6	Yamdalorian	14
7	hanaryheatwave	12
7	Mattesco	12
9	lordpipe	10
10	luseis	9
10	Soplight	9
12	ECstardust	8
12	Lez_	8
14	Merv__	6
14	oscminus	6
16	TheSecondLord	5
16	Hyp3rion_	5
18	Werbe	4
18	Jimb0nat0r	4
20	Touched_Bread	2
20	Jackattack53	2
20	PlasticOtari	2
23	Creativebuilder2	1
23	Crizma_	1
23	SteveCraftBlocks	1
23	SolarKar	1
23	pixelviolin	1
23	Segotep999	1
