rank	username	minecraft:picked_up/minecraft:pink_shulker_box
1	lordpipe	3449
2	Werbe	799
3	AssEatrAndLicker	798
4	Mahoose	727
5	Hyp3rion_	315
6	thescout7	284
7	censorsheep	273
8	beeperbeeper5	241
9	PhantomsGhost_	219
9	500am	219
11	LexMakesHistory	194
12	lcvezra	169
13	Smoke____	161
14	pintsizedrogue	154
15	HellsSponge	153
16	YungMaki	148
17	Myszoaz	147
17	burbankbuilder28	147
19	Spenduh	135
20	MyNameIsJobo	132
21	Maenara	107
22	kekhon	100
23	Zaridey	99
24	MakeHistory157	97
25	Xalithia	83
25	Shogunite	83
27	Bumpy419	79
28	chipklip	77
29	Drlzyy	72
30	Ecplosive	70
31	MOSS000	63
32	noam464	60
33	Enderslayerxz3	59
34	Chromary	57
35	sebastiensaborio	54
36	Jiminbub	53
37	1442	51
38	EcksD	47
39	oxfordschool	46
40	set67	45
41	ImpavidArcher	44
42	fluddd	42
43	Sky_light_KING	40
44	Awyrlas	39
45	anbbang	38
46	titanlax	37
47	Skippeh	36
48	Yatitay	35
48	fred870d	35
48	Eraxa	35
51	DanTheBuilderino	34
51	Blaiku	34
51	Njensen7	34
54	eitanzaki	32
54	jnp_gaming	32
56	Kateesaur	30
57	joethahobo	29
57	r123moore	29
59	SellyZ	27
59	Akoot_	27
61	Fullut	26
61	Di_infiri	26
61	NomadicRobin_	26
61	stellarjay	26
65	gcaisawesome	25
66	Snowflowe	24
67	gabriels543	23
67	SingedBread	23
69	GingerNeutron	22
69	Aezekial	22
71	mwrty	21
72	TooManyDuck	20
72	fffMike	20
74	6king6colt6	19
74	Tjhodskins19	19
74	OtariCharlie	19
77	Nicky19	18
77	NameGenerat0r	18
79	rarrq	17
79	pr33tu	17
79	lillips	17
82	Frozil12	16
82	monky_irl	16
84	xxPipperDipperxx	15
85	TheShyPig	14
85	AssFullaCum	14
85	CalebDHawk	14
88	MixerDixer	13
88	T045RTY	13
88	OG_Songsee	13
91	ssleepless	12
91	SaucyDark	12
91	Swexti	12
94	Jiminie	11
95	Miko_Fullbuster	10
96	SteveCraftBlocks	9
96	surfinggiraffejp	9
96	Deathkob	9
96	Travka100	9
96	Nycteus_	9
96	Dogcorn69420	9
96	Eczbek	9
103	Hpdinosaur	8
103	awesomeoneme	8
103	peach0s	8
103	Lor1113	8
103	Spacewardharpy7	8
103	alderban107	8
103	mountaingirl311	8
110	TheSecondLord	7
110	PigDab	7
110	Blu3beast	7
110	Soplight	7
114	BobDeBouwer1337	6
114	emrekn	6
114	SuperPooch06	6
114	Inbefour	6
114	sp00ky_ghost977	6
119	nataliecool	5
119	teslawolf38	5
119	KarlKaek	5
119	Scathra	5
119	claivin	5
119	AltnumberF4	5
119	TechnoNinja64	5
126	Euclidoris	4
126	_Dean_123	4
126	K_a__a_n	4
126	ZeroKraken	4
130	Mr_Byzantine	3
130	CliffEmAll	3
130	egglapras	3
130	MangoTheFish	3
130	Russiancat1	3
130	rezi	3
130	Groundler	3
130	Razzgriz	3
130	h2p_emrld	3
139	susbakaimpostor	2
139	JEWISHBadenBeele	2
139	Ailmast	2
139	Incinere	2
139	Historical_Sand	2
139	jushykins	2
139	shyshyannne	2
139	eviltunix	2
139	Windo_licker	2
139	Drewen24	2
139	ese_wn_po	2
139	YungWali	2
139	SammiWolfGirl	2
139	PortlyPete69	2
139	EcksDofficial	2
154	LovelyDane	1
154	diamondgolem35	1
154	hm947	1
154	Kkanot	1
154	loveseeker	1
154	xambsam	1
154	thewindmillman	1
154	Zythose	1
154	pappaberg	1
154	k1ngGilgamesh	1
154	Eerini	1
154	stuy9	1
154	KnightmareD	1
154	madderfall	1
154	_Karmaa	1
154	NotMeowMix	1
154	ElKaySVK	1
154	WyngGoy	1
154	sadvavilloso	1
154	Goldiethebear03	1
154	djancak	1
154	Fizznut909	1
154	HAruSAme14	1
154	_3Stump_	1
154	Hermanni__	1
154	Cpietr0	1
154	Ezekson	1
154	_AAZAR	1
154	Nicserso	1
154	Legendosh	1
