rank	username	minecraft:picked_up/minecraft:cobblestone_wall
1	El_Jalapeno	3436
2	Mr_Byzantine	3238
3	burbankbuilder28	2862
4	Manaateee	2166
5	HellsSponge	2128
6	Kakolbus	1800
7	Frozil20	1767
8	TheShyPig	1719
9	AspenLightVT	1080
10	rarrq	878
11	Druid95	813
12	xxPipperDipperxx	802
13	eitanzaki	774
14	HesDemonPants	714
15	EveryonesUncle	700
16	Mahoose	693
17	ROY4LE	678
18	Legendosh	645
19	Malorn_Aetherius	632
20	beeperbeeper5	619
21	Enderxz3	597
22	pintsizedrogue	570
23	jacxhadow	555
24	noam464	548
25	Hyp3rion_	517
26	Bandito_Roamer	500
27	Werbe	475
28	censorsheep	455
29	Quincannon	434
30	Jackattack53	428
31	ApophisNova	416
31	MyNamaSheff	416
33	Spacewardharpy7	405
34	Airem_Core	397
35	kekhon	390
36	Eraxa	389
37	Racengan	376
38	AstreaTSS	367
39	QueenOfDirt	349
40	miramyu	339
41	PlasticOtari	335
42	Jovaphobic	332
43	Di_infiri	330
43	cog	330
45	Jackster03	317
46	PhantomsGhost_	316
46	TheSecondLord	316
48	__tomato	295
49	Njensen7	290
50	Kowcio_	287
51	Lirael42	286
52	txxskx	279
52	Xclax101	279
54	mihimihimihi	265
55	Windo_licker	262
56	Deathkob	260
57	Ezekson	259
58	Maenara	254
59	Alteriity	253
59	Yamdalorian	253
61	EcksD	250
62	jushykins	242
63	EMC_	238
64	MightyWertu	236
65	Onennon	231
66	Hydro___________	230
67	Blackberry1310	227
68	Smashic	224
69	m_be9	223
70	Prodiginus	219
71	4774	216
72	SHAOBADMAN	207
73	QuesoCrusaderIII	205
74	Shiirazu	202
75	wTXop	190
76	DanTheBuilderino	188
77	MakeHistory157	184
78	SyntheticSurgeon	183
78	joethahobo	183
78	eiC_	183
81	mwrty	182
82	MattieHD	180
83	MovingFish7	176
84	thescout7	169
84	Sral7	169
86	XxCookiequeenxX	160
87	Lord_Jord	155
88	LexMakesHistory	149
89	Cowison	148
90	UncreativeArtist	145
91	VentiHilton	143
92	Stiar	142
93	QuiCreans	138
94	RebelAndroid	136
95	rachcl	132
95	PortlyPete69	132
97	PigDab	129
98	Hyugo	125
99	StinkyDiplomat	124
100	Muffindrake	120
101	EngagedGrub41	118
102	ConnorDanky_	117
103	Tommhh	115
103	madderfall	115
105	500am	109
106	Thaumatarge	108
107	Akoot_	106
108	seramalen	104
109	gilesmcriles	102
110	mawileite	100
111	Soplight	99
112	abdomera	96
113	Merv__	93
114	skitzxo	92
115	Gregward_Smith	91
115	SkateboardR6	91
115	Eczbek	91
115	TechnoNinja64	91
119	Motsaro	89
119	FreakGenius	89
119	YungMaki	89
122	E775	87
122	Soul_Atreus	87
122	LeeMcGee30	87
125	6king6colt6	86
125	luseis	86
125	Vorlice	86
128	djancak	83
129	Paleshield	82
129	Natty	82
131	yheece	81
131	pixelviolin	81
133	Fuhrer_Teemo	80
134	impossibleteapot	79
134	CaptainAvenger7	79
134	WYFYoyo	79
137	soundad	78
137	Blaiku	78
137	markaus77	78
137	LetsDoItLive	78
141	diamondgolem35	77
141	JETrotter	77
143	groofles	76
143	non089	76
145	AlexxO_o	75
146	RefluxRatio	73
146	Shogunite	73
146	legoclone09	73
149	Cryptacity	72
149	CharlieButt	72
149	CarryLine	72
152	kkatsuragi	70
152	monolu	70
154	BreadBacon	68
155	Kyrum2169	67
155	SammiWolfGirl	67
157	Winklepicker279	66
157	Skylord_Luke	66
157	Meatlaugh	66
157	Juk3b0x	66
161	tompup	65
162	bigstankyy	64
162	SteveCraftBlocks	64
164	MixerDixer	63
165	Myszoaz	62
165	Nicserso	62
167	ShedJr_	61
168	Cambo5000	60
169	thewindmillman	59
170	zMarciano	58
171	Joestra	57
171	EdGalbraith	57
171	Pumpkin_P_Patch	57
174	_Karmaa	56
175	Buuck_	55
175	CattSoup	55
177	Bad_At_Names_Guy	54
178	PegLegPete93	53
179	Historical_Sand	52
179	MAns_44	52
179	CheifJumbo	52
182	Quaintster	51
182	_TCARREIRA_	51
182	Luigipunch989	51
185	_Virify_	50
185	Mookle96	50
185	U_Mos_	50
185	bitsplease	50
189	starbits140	49
190	titanlax	48
191	_Nuf	47
191	Arceus1975	47
191	wezzzi	47
194	Rumpletaezer	46
194	oscminus	46
194	natajimi	46
194	fluddd	46
198	ewpunk	45
199	HollieDaNugget	44
199	AlazelTheReal	44
201	ImpavidArcher	43
201	Drewen24	43
203	I_Am_Mushkin	42
203	ZeroAbyssTTV	42
205	FirsTimeGamingTV	41
205	12Magner05	41
205	killmeiamtraitor	41
208	Donutt	40
208	yatsuta	40
210	benediktine1	39
210	Gamergirl420628	39
210	__Fanda__	39
210	JoCoLi	39
210	SvenskaHugo	39
215	Vizzoid	38
215	JohnPrice	38
217	Ssor69	37
217	Dakar_	37
219	set67	36
220	Tobinator_007	35
220	Ryan_GEMS	35
220	Ze_BaronKrigler	35
223	spaece	34
223	NotMeanttoChange	34
225	CalebDHawk	33
226	IgnoredBee	32
226	GingerNeutron	32
226	WET_WET_WET	32
226	ooga47	32
226	Blu3beast	32
226	Sheldor097	32
232	Prismyst	31
232	Notta	31
234	Synthoum	30
234	Drawgirl	30
236	Fildyr	29
237	ergoalias	28
237	Huwulling	28
237	i2f8x4h8ro	28
237	orxngejuice	28
