rank	username	minecraft:picked_up/minecraft:cyan_shulker_box
1	Mahoose	1251
2	pintsizedrogue	1238
3	Zythose	1174
4	Hyp3rion_	1149
5	Legendosh	806
6	Akoot_	696
7	500am	619
8	doublemaki	564
9	joethahobo	476
10	TheShyPig	461
11	beeperbeeper5	415
12	Merv__	371
13	Jackattack53	350
14	rarrq	337
15	PlasticOtari	290
16	Enderxz3	267
16	TheWickedBird	267
18	Xalithia	249
19	yulgur1	220
20	Snowflowe	206
21	Fullut	187
22	ApophisNova	176
22	pixelviolin	176
24	MyNamaSheff	174
25	fw3xy	172
25	ZoomieZoomie	172
27	mwrty	170
28	Ezekson	163
29	Kowcio_	154
30	sp00ky_ghost977	150
31	Krowuss	142
32	oscminus	138
33	thewindmillman	134
33	Eraxa	134
35	jnp_gaming	131
36	luseis	128
37	kekhon	124
37	claivin	124
39	Spacewardharpy7	111
40	CoffeeNoir	107
41	Yamdalorian	105
42	cuddlyMonster	100
43	Groundler	98
44	Apollo_993	92
44	SammiWolfGirl	92
46	Blackberry1310	88
47	El_Jalapeno	87
48	Manaateee	86
48	jcool7	86
50	NieToksikpl	85
50	TheSecondLord	85
52	Historical_Sand	80
53	fade_emerge78823	75
53	emreknugrlu	75
55	Comma__	73
55	KingMatthew506	73
57	12Magner05	70
58	Marbz_	69
59	HolyVenom	66
59	Cyntrical	66
61	HellsSponge	65
62	SingedBread	63
63	_flud	61
64	ClemenPine	60
65	Hisiste	53
66	ConnorDanky_	52
67	DanTheBuilderino	50
68	livingdaydreams	49
68	EveryonesUncle	49
70	IamCL4SSY	46
71	Bandito_Roamer	45
71	ECstardust	45
73	MilleGrug	43
73	h2p_emrld	43
75	Di_infiri	41
75	EcksD	41
77	NameGenerat0r	40
78	EMC_	36
78	QuiCreans	36
78	whoaluv	36
81	MattieHD	34
81	eclipseboi	34
81	paranoid_plant	34
84	Dogcorn69420	32
85	zToasty69z	31
86	abramgray	30
86	skroobiez	30
88	Buuck_	29
89	Huwulling	28
90	groofles	27
90	ItsDeltaMC	27
92	diamondgolem35	26
92	SpacesickPrism	26
92	robonya_	26
95	Hpdinosaur	24
95	StarCookiees_	24
97	PhantomsGhost_	22
97	KartivGal	22
97	Mattesco	22
100	Lukeee33	21
100	Lez_	21
100	LuvLuvLove	21
103	hanaryheatwave	20
103	U_Mos_	20
103	Werbe	20
103	GooseWithin	20
107	F_Uhre	19
108	CLG_Kata	18
108	WET_WET_WET	18
108	MightyWertu	18
108	lordpipe	18
108	xzvu	18
108	CalebDHawk	18
114	Jiminbub	17
114	Steelynan	17
114	Jimb0nat0r	17
117	Mr_Byzantine	16
117	thescout7	16
117	Queen_Jalapeno	16
117	Hoid_the_Roamer	16
117	The_slideV3	16
122	PazinGaming	15
122	IronArshXS	15
122	noam464	15
122	QuesoCrusaderIII	15
126	titanlax	14
126	m_be9	14
128	craaaash	13
128	lizardfightclub	13
128	Vegvisir	13
128	iSammael	13
128	Segotep999	13
133	SaucyDark	12
134	Ecplosive	11
134	Blaiku	11
134	Razzgriz	11
137	xxPipperDipperxx	10
137	Kakolbus	10
137	MC_Skribble	10
140	eitanzaki	9
140	Crowman1	9
140	prizm_	9
140	ZeroKraken	9
144	MSK__	8
144	Smashic	8
144	k1ngGilgamesh	8
144	AlexxO_o	8
144	LexMakesHistory	8
149	Alteriity	7
149	royal_2	7
149	ROY4LE	7
149	bl1ss0	7
149	txxskx	7
149	wezzzi	7
149	Wowful	7
149	KSI	7
149	MrShojo	7
149	Soplight	7
159	Foof13	6
159	Gregward_Smith	6
159	Euclidoris	6
159	emrekn	6
159	Samificator	6
159	AspenLightVT	6
159	taengoos	6
166	AuroraValkyrie	5
166	Houstonion	5
166	Archsam	5
166	SnowyAvi	5
166	jushykins	5
166	MinttyFressh	5
166	goldyx	5
166	dartwaffle	5
166	Olib3ar	5
166	NomadicRobin_	5
166	Shogunite	5
166	FreakGenius	5
178	MixerDixer	4
178	SirSpace	4
178	Arceus1975	4
178	Lord_Jord	4
178	StinkyDiplomat	4
178	Vorlice	4
