rank	username	minecraft:picked_up/minecraft:decorated_pot
1	pintsizedrogue	182
2	Pumpkin_P_Patch	34
3	Enderxz3	27
4	Kowcio_	18
4	Soplight	18
6	Werbe	17
6	Jimb0nat0r	17
8	mymayowasgone	14
9	Secret_Canary	13
10	LuvLuvLove	12
11	acatter	9
11	KamFurnace	9
13	shineh10	8
13	oscminus	8
15	Merv__	7
15	QuiCreans	7
17	k_ce	6
17	Mr_Byzantine	6
17	ECstardust	6
17	Kakolbus	6
21	craaaash	5
21	TheWickedBird	5
23	j5ylim	4
23	Lez_	4
23	Myntsys	4
23	Vetomo8000	4
27	Archsam	3
27	Jackattack53	3
27	cuddlyMonster	3
30	CLG_Kata	2
30	KarlKaek	2
30	lorywithay	2
30	Alteriity	2
30	beeperbeeper5	2
30	Smashic	2
30	_witch_craft_	2
30	noam464	2
30	lordpipe	2
30	FiguraDei	2
30	pixelviolin	2
30	Steelynan	2
42	Huwulling	1
42	TheSecondLord	1
42	12Magner05	1
42	MattieHD	1
42	Moofyman	1
42	EveryonesUncle	1
42	Buuck_	1
42	StarCookiees_	1
42	BubblyOrangutan	1
