rank	username	minecraft:picked_up/minecraft:acacia_sapling
285	abramgray	8
285	baxteerr	8
285	Arteriana	8
285	paranoid_plant	8
285	Bolete	8
285	Donutt	8
285	MustardDrinker	8
285	seramalen	8
285	SvenskaHugo	8
285	IdeallyGrey	8
285	Powowowow	8
296	teslawolf38	7
296	ImNotYuqii	7
296	Houstonion	7
296	RatatJuice	7
296	Batman922	7
