rank	username	minecraft:picked_up/minecraft:spider_eye
1	Hyp3rion_	8352
2	HellsSponge	7825
3	Deathkob	5098
4	Bumpy419	4712
5	Fuad_R	3585
6	noam464	3374
7	corvidpartyfor6	2427
8	pintsizedrogue	2308
9	kekhon	2118
10	Di_infiri	2053
11	sp00ky_ghost977	1683
12	thewindmillman	1536
13	Malorn_Aetherius	1368
14	beeperbeeper5	1326
15	Smoke____	1278
16	PigDab	1202
17	Blackberry1310	1145
18	Spacewardharpy7	967
19	Werbe	954
20	EMC_	929
21	YungMaki	916
22	TheSecondLord	915
23	Lez_	875
24	Shiirazu	870
25	Jackattack53	854
26	EveryonesUncle	848
27	TheShyPig	812
28	Ezekson	809
29	EcksD	804
30	Fullut	791
31	Sral7	778
32	Bazongoman	773
33	FreakGenius	772
34	RealGroot	714
35	Ryker	710
35	eitanzaki	710
37	Frozil20	696
38	Quincannon	654
39	CrateOfBoxes	652
40	rarrq	642
41	Enderxz3	612
42	Akoot_	598
43	lordpipe	595
44	fffMike	576
45	Blaiku	545
46	luseis	530
47	joethahobo	529
48	RebelAndroid	510
49	PhantomsGhost_	495
50	ROY4LE	435
51	Snowflowe	411
52	CoffeeNoir	399
53	12Magner05	390
54	Lord_Jord	387
55	PlasticOtari	381
56	Tyrannosplart	372
57	TechnoNinja64	367
58	07shiny	366
59	Soplight	360
60	claivin	351
61	Quotary	346
62	Mewar	331
62	ConnorDanky_	331
64	thescout7	324
65	Cowison	323
66	Inchef	312
67	Flores991	309
68	500am	308
69	Euclidoris	304
70	Rumpletaezer	300
71	Steelynan	285
72	Skippeh	275
73	Eraxa	272
74	Da_Boss_Rani	271
75	ThisUserIsStump	268
76	MilleGrug	263
77	mihimihimihi	261
78	Creativebuilder2	255
78	Mahoose	255
80	gcaisawesome	253
81	SingedBread	250
82	Kakolbus	246
83	Alteriity	238
84	youhjjhhhjj	236
85	Winklepicker279	232
86	Kowcio_	230
87	Hisiste	217
88	xzvu	207
89	tsitrawhy	204
90	m_be9	198
90	JayToe	198
92	set67	196
92	TheSeismicDuck	196
94	M_Patata	195
94	mariominejedi	195
96	Njensen7	194
97	ooga47	190
97	Onennon	190
99	Maenara	188
100	Xclax101	186
101	TheDankPlatypus	183
102	Blu3beast	180
103	MasterNueve	177
104	bloodbiter	174
104	SaintJosie	174
104	Warlord324	174
107	Bandito_Roamer	171
107	El_Jalapeno	171
109	Awyrlas	167
109	ApophisNova	167
109	MyNamaSheff	167
112	Legendosh	164
112	Powowowow	164
114	orxngejuice	161
114	Zythose	161
114	Nicserso	161
117	MAns_44	158
117	obzii	158
119	I_Am_Mushkin	156
120	pixelviolin	155
121	Covalents	154
121	F_Uhre	154
123	Historical_Sand	153
124	RoofTyler	152
125	ImpavidArcher	150
125	Rebytre	150
127	Huwulling	148
128	ExtraDumb	146
129	Merv__	145
129	MyNameIsJobo	145
129	FishisTTV	145
132	diamondgolem35	144
132	Inbefour	144
132	remmisrat	144
135	Zoeyfortnite	143
136	Arceus1975	142
137	Jorrdi	141
138	NomadicRobin_	139
139	gusstationwerker	137
140	jnp_gaming	136
141	zToasty69z	135
142	SvenskaHugo	133
142	EngagedGrub41	133
144	ProfessorBee	131
145	censorsheep	130
145	h2p_emrld	130
147	ViperHawk21	128
148	_Bguette_	125
149	SkateboardR6	122
150	fade_emerge78823	121
150	WyngGoy	121
152	tuckerdoodle	120
152	mwrty	120
154	lcvezra	119
155	SuperPooch06	117
156	XboxPanda	114
156	Chromary	114
156	UrbanPlanningEx	114
159	Luigipunch989	113
160	Groovy_MoonBird	112
160	Smashic	112
160	ItzYaBoiPicard	112
163	TooManyDuck	111
163	SpaceGrenadier	111
165	jacxhadow	110
165	SammiWolfGirl	110
165	_TCARREIRA_	110
165	xolstoi	110
169	The11thDoctor	109
169	Deodorante	109
171	SSytex_X	108
172	Racengan	107
173	q_wq	104
174	platinumzero	103
174	gabriels543	103
174	fluddd	103
174	Mythic1130	103
178	Jovaphobic	101
178	NoChumpChange	101
178	Dogcorn69420	101
181	livingdaydreams	100
182	T045RTY	98
182	lillips	98
184	ThiccExotic	97
184	AlexxO_o	97
184	Dusk_95	97
187	CharlieButt	96
188	non089	95
188	PortlyPete69	95
190	Kamflame10	94
191	Jimb0nat0r	93
192	himak1	92
193	xxPipperDipperxx	91
194	Corbsman	90
195	6king6colt6	89
196	Touched_Bread	88
196	00000000-0000-0000-0009-01f073f37a91	88
198	KingMatthew506	87
199	calamariclam_I	85
200	r123moore	84
200	ItsDeltaMC	84
200	vandmanden	84
203	MattieHD	83
203	DarkS0L	83
203	NameGenerat0r	83
206	NatalieTW	82
206	Comma__	82
206	wTXop	82
206	Hiryu27	82
206	Jimi7hits	82
211	starbits140	81
211	RadarHz	81
213	gary_	80
213	Crowman1	80
213	MyNameIsDakar	80
216	SlayerCrypto	79
216	stellarjay	79
218	WET_WET_WET	78
218	fw3xywashere	78
218	DemTechAlpha	78
221	_Virify_	77
222	TheTrueClipse	76
222	Nycteus_	76
222	Barlycorn	76
225	H72l9w	75
225	CollinMH06	75
225	Iamthejo	75
228	Skylord_Luke	74
229	ougstur	72
229	IamCL4SSY	72
231	stevewithclout	71
231	weabis	71
233	Tolhart	70
233	_Dean_123	70
235	LordSpeed37	69
235	djancak	69
235	diggydog67	69
238	FazeObama69	68
238	selectrix	68
238	Leyna3	68
238	wwwwinnebagoooo	68
238	GlitchyPlate810	68
243	eviltunix	66
243	FelixPSY375	66
245	wezzzi	65
245	Wowful	65
245	masskedman	65
245	brofrickcheaters	65
249	FishyBoy3811	64
249	QueenShuvi	64
251	legal_tax_evader	63
251	cedric72	63
253	Windo_licker	62
254	Myszoaz	61
254	ITDV	61
256	Secret_Canary	59
256	Hoid_the_Roamer	59
256	groofles	59
256	ediballbearings	59
256	alderban107	59
261	SmashingPump	58
261	BumbleBeever	58
263	seanitoo	57
263	fanofbands101	57
263	Hpdinosaur	57
263	LeauVox4921	57
267	benediktine1	56
267	ZA07	56
267	AlphaWolfPlaysMC	56
267	DarlaMeow	56
267	Cocoamallows	56
267	jcool7	56
267	ZeroKraken	56
267	00000000-0000-0000-0009-01ff0c3e5e4f	56
275	binman420	55
275	audiocracked	55
277	UncreativeArtist	54
277	Lutres_Torane	54
279	Rocco_Lane	53
279	MightyWertu	53
279	tartanboy	53
282	soundad	52
282	MrKrabOnCoke	52
282	MrExplorer	52
282	whoaluv	52
282	Aezekial	52
287	KarlKaek	51
287	MinttyFressh	51
287	yatsuta	51
287	MineMaster0012	51
287	Hermanni__	51
292	jushykins	50
292	Sheldor097	50
294	BlancoFlaco	49
294	lorpus	49
294	ThatMan_Dave	49
294	IdeallyGrey	49
298	MuffinManzz	48
298	bigstankyy	48
300	heckface	47
