rank	username	minecraft:picked_up/minecraft:polished_andesite
1	Spacewardharpy7	15967
2	noam464	6479
3	Xclax101	5616
4	MightyWertu	3356
5	Quotary	3112
6	El_Jalapeno	3010
7	EveryonesUncle	2428
8	500am	2363
9	joethahobo	2335
10	Smoke____	2099
11	EcksDofficial	1700
12	lcvezra	1682
13	beeperbeeper5	1638
14	Lord_Jord	1561
15	Fuhrer_Teemo	1408
16	Ezekson	1358
17	Legendosh	1296
18	m_be9	1276
19	6king6colt6	1240
20	TheShyPig	1201
21	thewindmillman	1139
22	PlasticOtari	1123
23	Cowison	1088
24	Snowflowe	1010
25	Maenara	995
26	Historical_Sand	948
27	rarrq	945
28	jimintyy	901
29	Freak_Genius	894
30	ProbsNotNova	859
31	burbankbuilder28	849
32	kekhon	825
33	TeenMomTom	751
34	WyngGoy	689
35	HellsSponge	682
36	DarkS0L	679
37	Inchef	657
38	obzii	638
39	fffMike	626
40	Natty	610
41	Jackattack53	600
42	himak1	590
43	TechnoNinja64	580
44	Mahoose	571
45	Groovy_MoonBird	539
46	Jovaphobic	505
47	12Magner05	475
48	AuroraValkyrie	448
49	VentiHilton	447
50	NameGenerat0r	423
51	__tomato	399
52	Werbe	384
53	Dedalus36	378
54	cog	377
55	awesomeoneme	372
55	OfficerAnvil	372
57	Steelynan	357
58	teslawolf38	348
59	Arceus1975	340
60	ProfessorDiaper	335
61	Akoot_	328
62	bpmm	315
63	Wolverine4302	299
64	Onennon	298
65	FirsTimeGamingTV	297
66	GoofyBread	296
67	The_slideV3	294
68	CaptainDeadBread	287
69	EcksD	285
70	Winklepicker279	282
71	Kakolbus	275
72	Zythose	273
73	Lord_Zacler	272
74	MattieHD	268
75	Malorn_Aetherius	255
76	Matorz	251
76	Skippeh	251
78	Sral7	250
79	yulgur1	241
79	jnp_gaming	241
81	Optiprimus	239
82	Frozil12	235
83	Jackster03	234
84	GravitySaint	228
85	seramalen	218
86	SquadMonster	212
87	Kamflame10	209
87	pixelviolin	209
89	bloodbiter	207
90	_Karmaa	203
91	Skylord_Luke	201
92	DemTechAlpha	197
93	pintsizedrogue	187
94	littlesophiagirl	185
95	eviltunix	181
96	PortlyPete69	180
97	alderban107	174
98	_Nuf	172
98	lordpipe	172
98	oxfordschool	172
101	killmeiamtraitor	169
102	jcool7	166
103	Di_infiri	162
104	impossibleteapot	158
105	fkGrim	156
106	valkam13	153
107	Merv__	147
108	brycepants	140
109	chipklip	139
109	Groundler	139
109	Enderslayerxz3	139
112	Hyp3rion_	138
113	wTXop	136
114	Blu3beast	135
115	Warlord324	134
116	Drewen24	133
117	Chromary	131
118	Mattesco	129
119	vandmanden	123
120	RoskobiOne	121
121	YungMaki	120
122	ROY4LE	119
123	Kowcio_	113
124	CalebDHawk	110
125	The_Dark_One_00	109
126	diamondgolem35	108
126	DSYisDizzy	108
126	sp00ky_ghost977	108
129	Blackberry1310	106
130	SyK7	105
131	Rasmanden	103
131	fw3xywashere	103
131	Inbefour	103
131	BumbleBeever	103
135	Eraxa	102
136	fluddd	100
137	wiqor	97
137	Fildyr	97
139	wezzzi	96
139	_TCARREIRA_	96
139	mawileite	96
142	ImpavidArcher	93
142	the_fireminer	93
144	T045RTY	91
145	_Bguette_	90
146	gabriels543	89
147	Ssor69	88
148	Da_Boss_Rani	87
149	Rebytre	86
150	IdeallyGrey	84
151	thescout7	83
152	Ardennes	82
153	Notta	81
154	h2p_emrld	79
155	NotMeanttoChange	78
156	LazySupport00	77
156	HesDemonPants	77
158	titanlax	75
159	xxPipperDipperxx	71
160	KingMatthew506	69
161	ReverendSmith	68
162	Drlzyy	67
162	Tommhh	67
162	Nagasaki_Riku	67
165	TheSecondLord	66
166	RefluxRatio	65
166	Donutt	65
166	MakeHistory157	65
169	OG_Songsee	64
169	Nicserso	64
171	loveseeker	63
172	xof_on_microwave	62
173	Meatlaugh	61
174	MinttyFressh	60
174	theofiel	60
176	Mariopreeet	59
177	Lukeee33	57
177	youhjjhhhjj	57
177	AlphaWolfPlaysMC	57
177	LetsDoItLive	57
177	layabout100	57
182	Fullut	56
182	BilboBaggins23	56
182	Dusk_95	56
185	Hoid_the_Roamer	55
186	eitanzaki	54
186	mobunni	54
188	Racengan	53
188	Kijiki	53
190	Gooberkid223	51
191	r123moore	50
191	censorsheep	50
191	Jij0	50
191	Spenduh	50
195	Simon_Lowell	49
195	LexMakesHistory	49
197	_stets	47
198	platinumzero	46
198	Zoeyfortnite	46
200	Comma__	45
200	egglapras	45
200	brrh	45
203	SammiWolfGirl	43
204	ApophisNova	41
204	Quaintster	41
204	MyNamaSheff	41
207	Toiton	40
208	CrateOfBoxes	39
208	SexcMf	39
210	Bazongoman	38
210	07shiny	38
212	KarlKaek	36
212	IWorkAtIkea	36
212	UncreativeArtist	36
215	Sleek_Storm_721	35
215	claivin	35
217	Megarboh	34
218	abramgray	32
218	SuperPooch06	32
218	UCP_TheKingK	32
221	Incinere	31
221	lilsay	31
221	Doom_melon	31
221	StinkyDiplomat	31
225	numbra	30
225	ooga47	30
225	masskedman	30
225	Shin69	30
229	Mr_Byzantine	29
230	nataliecool	28
230	Princesse_Louise	28
230	The_SlideV5	28
233	sammidk	27
233	Jiminie	27
235	Otto_chan	26
235	Awyrlas	26
235	CharlieButt	26
235	audiocracked	26
235	Deathkob	26
240	_Boipl_	25
241	Scathra	24
241	andy_rex	24
241	Myhym	24
241	XxCookiequeenxX	24
241	DanTheBuilderino	24
241	Chaotic1s	24
247	Myszoaz	23
247	YungJakobo	23
247	Zaridey	23
247	Dogcorn69420	23
251	cedric72	22
252	CoffeeNoir	21
252	groofles	21
254	MSK__	20
254	theonlymagikarp	20
254	MonitorLizards	20
254	Nycteus_	20
258	selectrix	18
258	The_Quack_Dealer	18
258	Jamstroxian	18
258	BreadBacon	18
262	elmer1234	16
262	crying_wolf_13	16
262	Motsaro	16
262	MyNameIsJobo	16
262	dotterel_	16
262	Gab4101	16
268	dendydoom	15
269	NotP0tato	14
269	ZaneABrain	14
269	Mewar	14
269	LeauVox4921	14
269	fr_ser	14
269	SamZombie	14
269	Soul_Atreus	14
269	xX_Stalin69_Xx	14
269	Hermanni__	14
278	Alphanzt99	13
278	SteveCraftBlocks	13
278	G1ldor	13
278	SellyZ	13
278	HyperCave	13
278	Factoroni	13
278	Kyrum2169	13
278	Soplight	13
286	LotusProject	12
286	DermeinUser	12
286	Jeteight	12
286	RobotMinion101	12
286	Th6masss	12
286	NoxXIV	12
286	kinas45y5	12
286	_Dri_	12
294	seanitoo	11
295	MadBroMad	10
295	nocturne78	10
295	Smashic	10
295	mariominejedi	10
295	Rumpletaezer	10
295	Sky_light_KING	10
