rank	username	minecraft:picked_up/minecraft:disc_fragment_5
1	Apollo_993	37
2	TheSecondLord	34
3	Jackattack53	32
4	ECstardust	30
5	Sleepy_Time_	22
5	Segotep999	22
7	beeperbeeper5	20
8	12Magner05	11
8	Manaateee	11
10	EdGalbraith	10
11	Merv__	9
11	pixelviolin	9
13	k_ce	6
13	PazinGaming	6
13	Hyp3rion_	6
13	AlexxO_o	6
13	luseis	6
18	Mr_Byzantine	5
19	pintsizedrogue	4
19	TheBananaKat	4
21	Spacewardharpy7	3
21	Iamthejo	3
23	Lazy_geniusig	2
23	Strats__	2
23	MrShojo	2
26	bubbLyPrototype	1
26	Fuad_R	1
26	Blaiku	1
26	FiguraDei	1
26	11Brewer	1
26	Nicserso	1
