rank	username	minecraft:picked_up/minecraft:miner_pottery_sherd
1	thewindmillman	10
2	beeperbeeper5	3
2	_witch_craft_	3
4	Alteriity	2
4	Huwulling	2
4	Fullut	2
7	ECstardust	1
7	lorywithay	1
7	Kowcio_	1
