rank	username	minecraft:picked_up/minecraft:deepslate_tile_wall
1	thewindmillman	2620
2	Mattesco	433
3	00000000-0000-0000-0009-01ff0c3e5e4f	405
4	500am	252
5	Smoke____	133
6	Ezekson	110
7	k_ce	104
8	RebelAndroid	95
9	EMC_	74
10	beeperbeeper5	69
11	Steelynan	60
12	Pineapplesugr	58
13	ImpavidArcher	53
14	Jackattack53	34
15	TheSecondLord	27
16	Apollo_993	24
16	iSammael	24
18	pintsizedrogue	21
19	ItsDeltaMC	20
20	ZoomieZoomie	16
21	Mr_Byzantine	15
22	Jimb0nat0r	12
23	Megarboh	10
23	Smashic	10
23	benediktine1	10
26	groofles	8
26	SpacesickPrism	8
28	TAKrules	7
28	fade_emerge78823	7
28	Legendosh	7
31	rarrq	6
32	Mahoose	4
32	RoofTyler	4
32	Kowcio_	4
32	mobunni	4
36	Mr_Sun15	3
37	joethahobo	2
37	Spacewardharpy7	2
37	mihimihimihi	2
37	MineMaster0012	2
37	CalebDHawk	2
42	Merv__	1
42	MrKrabOnCoke	1
42	Arceus1975	1
42	Solar_Power	1
42	Wowful	1
42	RealGroot	1
42	PlasticOtari	1
42	00000000-0000-0000-0009-01f073f37a91	1
