rank	username	minecraft:picked_up/minecraft:crimson_fence_gate
1	thewindmillman	436
2	FreakGenius	268
3	Legendosh	76
4	joethahobo	39
5	beeperbeeper5	13
6	Kubeusz2010	10
7	livingdaydreams	6
7	BobDeBouwer1337	6
9	RebelAndroid	5
10	Jindong	4
11	TheSecondLord	3
11	gcaisawesome	3
13	MyNameIsDakar	2
13	PlasticOtari	2
15	Mahoose	1
15	noam464	1
15	Marbz_	1
15	luseis	1
15	Smoke____	1
