rank	username	minecraft:picked_up/minecraft:mangrove_slab
1	k_ce	329
2	TheWickedBird	222
3	crashomon	176
4	Olib3ar	132
5	Huwulling	119
6	Mr_Byzantine	76
6	Steelynan	76
8	Yamdalorian	63
9	Kowcio_	39
10	pintsizedrogue	37
11	Mahoose	33
12	Roenfire	27
13	SvenskaHugo	21
14	12Magner05	16
15	Soplight	14
16	Enderxz3	11
17	Kondzik2008	8
17	CalebDHawk	8
19	PazinGaming	7
20	TheKingK_	6
20	PlasticOtari	6
22	Merv__	5
23	_Huge_Male_	4
23	Crizma_	4
23	hanaryheatwave	4
26	CarryLine	3
26	Jimb0nat0r	3
28	Sleepy_Time_	2
28	Jonafrog99	2
30	Napoleonpancake	1
30	beeperbeeper5	1
30	OreTheBear	1
30	oscminus	1
30	luseis	1
30	Pumpkin_P_Patch	1
