rank	username	minecraft:picked_up/minecraft:terracotta
1	thewindmillman	1087444
2	YungMaki	109607
3	TheSecondLord	76504
4	Rumpletaezer	63376
5	Spacewardharpy7	49834
6	MilleGrug	44441
7	lordpipe	43419
8	Frozil20	35687
9	Inbefour	31705
10	Hyp3rion_	31012
11	Kowcio_	30302
12	Sral7	28807
13	mariominejedi	27526
14	TheShyPig	26085
15	Jackattack53	21029
16	joethahobo	20607
17	ApophisNova	19521
17	MyNamaSheff	19521
19	Huwulling	19468
20	kekhon	18467
21	Blaiku	17668
22	EcksD	17469
23	Marbz_	17406
24	ConnorDanky_	16358
25	PazinGaming	15951
26	DarlaMeow	15428
27	Smoke____	14825
28	Hoid_the_Roamer	14756
29	QuiCreans	14383
30	pintsizedrogue	12922
31	Blackberry1310	12638
32	EveryonesUncle	11851
33	CoffeeNoir	10713
34	EMC_	10498
35	Karbl	9956
36	FreakGenius	9622
37	lillips	9415
38	Snowflowe	9188
39	CattSoup	9120
40	xolstoi	8900
41	RatatJuice	8880
42	gabriels543	7625
43	Werbe	7564
44	noam464	7281
45	Deerfoot	7279
46	cog	7139
47	rarrq	7008
48	Crowman1	6518
49	PlasticOtari	6504
50	RebelAndroid	6184
51	SellyZ	6133
52	Merv__	6061
53	ROY4LE	5989
54	mwrty	5956
55	yulgur1	5869
56	Steelynan	5782
57	PhantomsGhost_	5780
58	Di_infiri	5422
59	Jimb0nat0r	5294
60	Onennon	5267
61	Alteriity	5261
62	KingMatthew506	5190
63	Kakolbus	5091
64	MirielThePastor	4947
65	Nicserso	4767
66	AltnumberF4	4737
67	SvenskaHugo	4736
68	XxCookiequeenxX	4302
69	Legendosh	4150
70	Dusk_95	3967
71	SDMNAEK	3934
72	Mr_Byzantine	3933
73	PigDab	3833
74	_Nuf	3766
75	500am	3658
76	_Karmaa	3639
77	Quincannon	3590
78	Barlycorn	3522
79	Jovaphobic	3503
80	the_russell1611	3454
81	Weepingbiel	3330
82	__tomato	3328
83	Notta	3246
84	groofles	3062
85	Mahoose	2946
86	Hermanni__	2901
87	beeperbeeper5	2767
88	Eraza	2743
89	diggydog67	2585
90	xxPipperDipperxx	2447
91	Blu3beast	2363
92	GoofySilly	2357
93	Nycteus_	2296
94	Wooptey	2032
95	Skylord_Luke	2031
96	eitanzaki	1889
97	Awyrlas	1866
98	TechnoNinja64	1862
99	claivin	1750
100	QueenShuvi	1731
101	_8man	1608
102	Enderxz3	1537
103	MovingFish7	1518
104	ooga47	1504
105	SuperPooch06	1422
106	Deathkob	1387
107	yatsuta	1376
108	UrbanPlanningEx	1371
109	epiksk8erduck	1355
110	sxc_	1322
111	titanlax	1285
112	AuroraValkyrie	1277
113	Parcc	1253
114	Kamflame10	1223
115	legal_tax_evader	1211
116	NomadicRobin_	1194
117	set67	1175
118	Kouridragon	1161
119	shineh10	1154
120	LeDuctTape	1153
120	Swexti	1153
122	El_Jalapeno	1133
123	Tyrannosplart	1132
124	iHuBlack	1095
125	wirelesstree	1093
126	HAIRYCLOUD626	1082
127	F_Uhre	1080
128	Hiryu27	1056
129	djancak	1036
130	Akoot_	1018
131	livingdaydreams	975
132	The_SlideV5	901
133	EngagedGrub41	869
134	Kim_Jong_eel	862
135	_Bguette_	832
136	Natty	784
137	TooManyDuck	780
138	Blamphe	776
139	XboxPanda	743
140	RoofTyler	741
141	PortlyPete69	711
142	CarltheCuck	705
143	theonlymagikarp	698
144	TildaAndrea	688
145	audiocracked	685
146	MyNameIsDakar	676
147	00000000-0000-0000-0009-01ff0c3e5e4f	655
148	Groovy_MoonBird	640
149	MightyWertu	639
150	MyNameIsJobo	629
151	soundad	614
152	Lez_	590
153	Nyxiom_	586
154	Historical_Sand	559
155	PegLegPete93	542
156	Soplight	540
157	Ezekson	505
158	RefluxRatio	492
159	heckface	479
160	The_slideV3	468
161	Reamdin	453
162	Fullut	448
162	anbbang	448
164	natajimi	437
165	ZeroKraken	432
166	SteveCraftBlocks	420
167	BobDeBouwer1337	409
168	_Huge_Male_	402
169	RobotMinion101	401
170	H72l9w	385
171	_Virify_	381
172	Zaridey	363
173	trexgb	354
174	ougstur	347
175	ProfessorBee	346
176	The11thDoctor	320
177	Iagoku	310
178	abramgray	305
179	StylesK	303
180	asspharte	272
181	MakeHistory157	269
182	stavgod	257
183	dabloons	243
184	Skippeh	241
185	HellsSponge	239
186	NNikitas	232
187	homeofmew	229
188	bloodbiter	223
189	chipklip	211
190	ImDisconnected_	207
191	Luigipunch989	206
192	Comma__	196
193	ZoomieZoomie	195
194	RohnJosin	194
195	ReflexCode	193
196	AnnieBathory	192
197	Rebytre	191
198	TheSeismicDuck	173
199	RoskobiOne	171
199	AgressiveEggdog	171
201	Jindong	169
202	SpaceTurtleOX	164
203	wobn	161
204	fade_emerge78823	156
205	MAns_44	150
206	Prismyst	144
207	J4ko8_	141
208	ShedJr_	138
209	Fuad_R	137
210	olliebollie48	133
211	bearlystraight	130
212	fanofbands101	129
212	drompje	129
214	MrMeisterProper	128
215	thescout7	126
215	TitanCrafting	126
217	Bandito_Roamer	124
218	m_be9	122
219	Hyugo	119
220	jcool7	118
221	ImpavidArcher	111
222	_Boipl_	105
223	thgrocks	98
224	Juk3b0x	95
225	SexcMf	94
226	TheDankPlatypus	93
227	Dogbound	91
228	AvaRosey	90
229	JESS_THE_RERE	87
230	Mattesco	83
231	Jiminbub	78
232	DepressedCubic	76
233	Vizzoid	73
234	THEKINGLyric10	71
235	tuckerdoodle	70
235	lcvezra	70
237	NameGenerat0r	69
238	_Razaria	68
238	Moofyman	68
240	MonitorLizards	67
241	MeowMeowMcmuffin	65
242	UncleDanDan	64
242	Arceus1975	64
242	handsome_strong	64
242	weabis	64
242	GravitySaint	64
247	ZigzagLily43042	62
247	Xalithia	62
247	MineMaster0012	62
250	lorpus	60
250	Lord_Jord	60
252	ormkel	59
253	LilLizardWizard	58
254	Sabby65	55
254	Toriankel	55
256	Hpdinosaur	54
257	Thaumatarge	52
258	CarryLine	49
259	TheEnderMan548	48
260	Myszoaz	47
260	bladeefan2009	47
262	MixerDixer	46
262	Da_Boss_Rani	46
264	monky_irl	45
265	lizardfightclub	43
265	Vorlice	43
265	Ze_BaronKrigler	43
268	WET_WET_WET	40
268	Dan_Scha	40
268	Mythic1130	40
271	Noah_Bez	39
272	RealGroot	37
273	Valoth	36
274	dedgt	34
275	gcaisawesome	32
275	Groundler	32
275	AssFullaCum	32
275	WinterYoke	32
279	Malorn_Aetherius	31
280	xXTheWolfmanXx	29
280	dopplexd	29
282	IEatBooty	28
282	NotMeanttoChange	28
282	Bumpy419	28
285	TheBiggestFeller	27
286	Darkgon	26
287	rats_life	25
287	ProbablyNick	25
289	marumochis	24
289	Optiprimus	24
291	wfk7	23
292	bmac2718	22
292	Racengan	22
294	301851	21
294	SaintJosie	21
296	WarMachina	20
297	00000000-0000-0000-0009-01f073f37a91	18
298	KarlKaek	17
299	6king6colt6	16
299	ColeSnyder	16
