rank	username	minecraft:picked_up/minecraft:birch_trapdoor
1	Spacewardharpy7	991
2	Kakolbus	519
3	HellsSponge	513
4	TheDankPlatypus	474
5	kekhon	388
6	hollowww	377
7	MangoTheFish	302
8	Mahoose	287
9	PlzNoBM	286
10	Di_infiri	191
11	Nagasaki_Riku	188
12	EveryonesUncle	175
13	Soplight	157
14	joethahobo	154
15	Smoke____	147
16	PortlyPete69	142
17	El_Jalapeno	136
18	loveseeker	133
19	thewindmillman	125
20	Akoot_	120
20	Legendosh	120
22	OtariCharlie	119
23	lordpipe	114
24	eitanzaki	92
24	_Dean_123	92
24	Ezekson	92
27	Groundler	91
28	sp00ky_ghost977	88
29	noam464	87
30	Werbe	85
30	AssEatrAndLicker	85
30	Enderslayerxz3	85
33	Rasmanden	83
34	anbbang	81
35	Hiryu27	78
36	Merv__	70
37	pintsizedrogue	67
38	Snowflowe	63
39	Swexti	62
40	beeperbeeper5	59
41	TheShyPig	58
42	_Virify_	57
43	thescout7	56
43	MyNameIsJobo	56
45	RebelAndroid	55
46	CoffeeNoir	53
47	KarlKaek	48
48	_Nuf	46
49	sebastiensaborio	43
50	SingedBread	42
51	eviltunix	41
51	Eraxa	41
53	07shiny	39
54	Hoid_the_Roamer	37
55	jnp_gaming	36
56	dopplexd	35
56	Freak_Genius	35
56	diggydog67	35
59	Simon_Lowell	34
60	NatrixxddxYT	32
61	lcvezra	31
62	PhantomsGhost_	30
63	Myszoaz	29
64	stavgod	28
64	YungMaki	28
66	UrbanPlanner1978	25
67	Arceus1975	24
68	mwrty	22
69	redikul	21
69	ZeroKraken	21
69	Sral7	21
72	LotusProject	20
73	xxPipperDipperxx	19
74	Kokeech	18
75	jimintyy	17
75	500am	17
75	UncreativeArtist	17
75	LexMakesHistory	17
75	yatsuta	17
75	Kowcio_	17
75	EcksDofficial	17
82	LeeMcGee30	16
83	6king6colt6	15
83	rarrq	15
83	Blackberry1310	15
83	SuperPooch06	15
87	Dedalus36	14
87	Franco093	14
87	Cryptacity	14
87	SIRdrumroll	14
87	Inbefour	14
87	Deerfoot	14
93	bloomkieren	13
93	vandmanden	13
93	Zoeyfortnite	13
96	TheSecondLord	12
96	Kkanot	12
96	IAmTheWalrus910	12
96	Spenduh	12
100	SaucyDark	11
100	eclipseboi	11
100	burbankbuilder28	11
100	Frozil12	11
100	Racengan	11
100	ItsJunoIGuess	11
106	Tommhh	10
106	Sky_light_KING	10
106	Katsuragi0243218	10
106	godipose	10
106	Hermanni__	10
106	Powowowow	10
106	Wanjibon	10
113	Blaiku	9
113	oxfordschool	9
113	YoshikageBites	9
116	Iagoku	8
116	ImpavidArcher	8
116	titanlax	8
116	XboxPanda	8
116	djancak	8
116	fffMike	8
116	kinas45y5	8
123	T045RTY	7
123	Malorn_Aetherius	7
123	Zythose	7
123	KeruNatsema	7
123	Maenara	7
123	_Karmaa	7
123	Ir0npack	7
123	jcool7	7
123	Yahrto	7
132	himak1	6
132	DSYisDizzy	6
132	CarltheCuck	6
132	bee_gorl	6
132	MonitorLizards	6
132	_Bguette_	6
138	Digcove	5
138	ThePoliteG	5
138	TheThomas69	5
138	Fullut	5
138	egglapras	5
138	NotMeanttoChange	5
138	r123moore	5
138	Rumpletaezer	5
138	TheTrueClipse	5
138	censorsheep	5
138	fluddd	5
138	BumbleBeever	5
138	ProfessorDiaper	5
138	__tomato	5
138	little_dUki	5
153	soundad	4
153	Incinere	4
153	Wooptey	4
153	ShedJr_	4
153	nocturne78	4
153	SoftSix	4
153	Cambo5000	4
153	whoaluv	4
153	dezxalo	4
153	lillips	4
153	Shin69	4
153	CACTUSLAD	4
153	alderban107	4
153	Kubeusz2010	4
153	Jordan_R	4
168	Otto_chan	3
168	ProfessorBee	3
168	gcaisawesome	3
168	ItzYaBoiPicard	3
168	mimbo1211	3
168	M_Patata	3
168	mariominejedi	3
168	dendydoom	3
168	Zielo2017PL	3
168	Lord_Jord	3
168	natajimi	3
168	Deathkob	3
168	DanTheBuilderino	3
168	MasterNueve	3
168	ediballbearings	3
168	CalebDHawk	3
168	EcksD	3
168	Nicserso	3
186	Groovy_MoonBird	2
186	Elprone266	2
186	Hpdinosaur	2
186	HollieDaNugget	2
186	livingdaydreams	2
186	gaziter10	2
186	jacxhadow	2
186	emrekn	2
186	RustyKedel	2
186	__Fanda__	2
186	eli_tschki	2
186	ChillenChiggen	2
186	Jackattack53	2
186	WET_WET_WET	2
186	epiksk8erduck	2
186	wrinkledpiglet	2
186	yulgur1	2
186	NomadicRobin_	2
186	AlexChristian	2
186	Quincannon	2
186	NameGenerat0r	2
186	Nycteus_	2
186	the__Reaper4999	2
186	LetsDoItLive	2
186	Eczbek	2
186	BreadBacon	2
186	_AAZAR	2
186	MelodyGaysharks	2
214	Krasnal1337	1
214	Bandito_Roamer	1
214	teslawolf38	1
214	bigstankyy	1
214	Historical_Sand	1
214	Atroxes	1
214	Meme25327	1
214	Ssor69	1
214	OwenBrew	1
214	shdesolt	1
214	MrExplorer	1
214	Tenns	1
214	Ithaca_GC	1
214	Chazama	1
214	CharlieButt	1
214	mads388a	1
214	phomic	1
214	Chromary	1
214	Hyp3rion_	1
214	ooga47	1
214	Truckoss	1
214	xKhoshekh	1
214	PuFY	1
214	sxc_	1
214	proxivitoid	1
214	The_slideV3	1
214	GravitySaint	1
214	Barlycorn	1
214	JosephCW	1
214	Optiprimus	1
214	BlankityMcBlank	1
214	stahouo	1
214	y0shik	1
214	HAruSAme14	1
214	UltraZombie	1
214	mobunni	1
214	_KuruKuru	1
214	cichy096	1
214	FelixPSY375	1
214	HesDemonPants	1
214	TechnoNinja64	1
214	The_SlideV5	1
