rank	username	minecraft:picked_up/minecraft:mangrove_log
1	Touched_Bread	3780
2	corvidpartyfor6	1631
3	Smoke____	1311
4	beeperbeeper5	962
5	luseis	929
6	Enderxz3	368
7	Soplight	350
8	Smashic	311
9	Merv__	308
10	pintsizedrogue	268
11	Huwulling	263
12	RealGroot	128
13	Steelynan	120
14	Mahoose	95
15	xxPipperDipperxx	88
16	Mr_Byzantine	79
17	Jonafrog99	44
18	thewindmillman	36
19	UCP_TheKingK	33
20	Mattesco	32
21	00000000-0000-0000-0009-01ff0c3e5e4f	31
22	YungMaki	25
23	Fuad_R	24
24	Jimb0nat0r	23
25	Alteriity	21
26	SteveCraftBlocks	18
27	PlasticOtari	17
28	MrKrabOnCoke	16
29	Kowcio_	13
30	Spacewardharpy7	11
31	ImpavidArcher	8
32	EMC_	7
32	DinoDoctor_	7
32	Da_Boss_Rani	7
32	AlexxO_o	7
36	TheDankPlatypus	6
36	Marbz_	6
38	Hyp3rion_	2
38	mihimihimihi	2
40	Jackattack53	1
