rank	username	minecraft:picked_up/minecraft:beacon
1	noam464	2817
2	Werbe	256
3	Segotep999	237
4	joethahobo	224
5	luseis	216
6	Blaiku	206
7	Spacewardharpy7	172
8	_Mythic____	170
9	Frozil20	165
10	Kowcio_	162
11	EcksD	150
12	Hyp3rion_	145
13	beeperbeeper5	142
14	Spenduh	137
15	eitanzaki	133
16	mwrty	127
17	lordpipe	120
18	thescout7	114
19	YungMaki	106
20	Lez_	105
21	PigDab	101
22	Jackattack53	100
23	Mahoose	97
24	pintsizedrogue	94
24	TheSecondLord	94
26	thewindmillman	92
27	HellsSponge	91
28	FreakGenius	84
29	Ezekson	79
30	Wowful	77
31	gcaisawesome	75
32	oscminus	72
33	12Magner05	66
34	00000000-0000-0000-0009-01f7d5721bcd	64
35	Yamdalorian	61
36	Sral7	60
37	_i_ERROR_i_	58
38	Di_infiri	57
38	EveryonesUncle	57
40	fffMike	55
41	rarrq	51
41	Soplight	51
43	EMC_	49
43	Manaateee	49
45	NameGenerat0r	46
46	500am	45
46	Snowflowe	45
46	its_lupus	45
49	kekhon	44
49	MilleGrug	44
51	skitzxo	41
52	jnp_gaming	40
53	Maenara	39
54	ApophisNova	36
54	MyNamaSheff	36
56	Rumpletaezer	35
57	PlasticOtari	34
58	ROY4LE	33
58	Tyrannosplart	33
58	little_dUki	33
61	Inbefour	31
62	CoffeeNoir	30
63	xxPipperDipperxx	29
64	pixelviolin	28
65	Jovaphobic	27
65	Incinere	27
65	Huwulling	27
65	MoistMicrowave	27
65	Blackberry1310	27
70	CLG_Kata	26
71	PazinGaming	25
71	diamondgolem35	25
71	Da_Boss_Rani	25
71	Inchef	25
71	Skylord_Luke	25
76	Merv__	24
76	TheDankPlatypus	24
76	Marbz_	24
79	Arceus1975	23
79	xzvu	23
79	Enderxz3	23
79	Legendosh	23
83	hermmm_	22
84	teslawolf38	21
84	dimitri0s	21
84	NomadicRobin_	21
84	emreknugrlu	21
88	Groovy_MoonBird	20
88	set67	20
88	masskedman	20
91	NatalieTW	19
91	_Nuf	19
91	SingedBread	19
91	vandmanden	19
91	Jimb0nat0r	19
96	MSK__	18
96	Kakolbus	18
96	MyNameIsJobo	18
96	Zythose	18
96	Corbsman	18
96	TheWildMateo	18
96	Shogunite	18
96	Hisiste	18
96	Eraxa	18
105	Mattesco	17
105	fw3xy74	17
105	Blu3beast	17
105	mihimihimihi	17
105	SvenskaHugo	17
110	k_ce	16
110	Euclidoris	16
110	jcool7	16
110	Steelynan	16
110	Iamthejo	16
115	catandmoose	15
115	RebytreGT	15
115	AlexxO_o	15
115	Nicserso	15
115	Zoeyfortnite	15
120	RebelAndroid	14
120	Historical_Sand	14
120	Swexti	14
120	m_be9	14
120	Fullut	14
120	XboxPanda	14
120	Jonafrog99	14
120	F_Uhre	14
120	El_Jalapeno	14
120	Racengan	14
120	SpacesickPrism	14
120	Skippeh	14
120	HesDemonPants	14
120	TechnoNinja64	14
134	PhantomsGhost_	13
134	RoskobiOne	13
134	SmashingPump	13
134	bigstankyy	13
134	SquadMonster	13
134	MattieHD	13
134	fluddd	13
134	__tomato	13
134	Dogcorn69420	13
134	TheSandwhich_	13
144	Crowman1	12
144	ProfessorBee	12
144	RIPB0ZO	12
144	Zaridey	12
144	Winklepicker279	12
144	Lutres_	12
144	Soap_Bender	12
144	claivin	12
144	Druid95	12
144	Strangemonkey71	12
144	PortlyPete69	12
144	EngagedGrub41	12
156	_Huge_Male_	11
156	ImpavidArcher	11
156	lotarp	11
156	Sleepy_Evelyn	11
156	r123moore	11
156	crashomon	11
156	Krowuss	11
156	wezzzi	11
156	yulgur1	11
156	NoChumpChange	11
156	Dakar_	11
156	the__Reaper4999	11
156	stavgod	11
156	Sheldor097	11
156	ConnorDanky_	11
156	Quotary	11
172	ExtraDumb	10
172	Alteriity	10
172	Smashic	10
172	Awyrlas	10
172	mariominejedi	10
172	yheece	10
172	hanaryheatwave	10
172	U_Mos_	10
172	Hoid_the_Roamer	10
172	Jimi7hits	10
172	Fuad_R	10
172	StinkyDiplomat	10
172	weabis	10
172	SkateboardR6	10
172	Optiprimus	10
172	2blox_	10
188	SoosAmongus	9
188	ECstardust	9
188	q_wq	9
188	Ryan_GEMS	9
188	Secret_Canary	9
188	WET_WET_WET	9
188	Onennon	9
188	Lord_Jord	9
188	the_russell1611	9
188	cog	9
188	obzii	9
188	annebolyn	9
200	MuffinManzz	8
200	Cowison	8
200	ssleepless	8
200	SaucyDark	8
200	TooManyDuck	8
200	tuckerdoodle	8
200	hijeatsdirt	8
200	eviltunix	8
200	Hoshi	8
200	Solar_Power	8
200	Hiryu27	8
200	groofles	8
200	Elastiq	8
200	GoofyBread	8
200	Groundler	8
200	elliebelle107	8
200	HelloIamSora	8
200	FishisTTV	8
200	h2p_emrld	8
219	_Virify_	7
219	soundad	7
219	SyntheticSurgeon	7
219	FirsTimeGamingTV	7
219	Mewar	7
219	OreTheBear	7
219	Akoot_	7
219	GooseWithin	7
219	AlphaWolfPlaysMC	7
219	The_Quack_Dealer	7
219	DanTheBuilderino	7
219	blackeemperor	7
219	Xclax101	7
219	MightyWertu	7
219	Factoroni	7
219	iSammael	7
219	ZeroKraken	7
219	taengoos	7
237	TildaAndrea	6
237	BodaciousCake	6
237	Ssor69	6
237	Rich_Kat	6
237	i2f8x4h8ro	6
237	Kamflame	6
237	KGTV	6
237	SuperPooch06	6
237	Bumpy419	6
237	RobotMinion101	6
237	Truckoss	6
237	FishyBoy3811	6
237	Rasmanden	6
237	ogoa	6
237	Deodorante	6
237	The_slideV3	6
237	Gus2005	6
237	Buuck_	6
237	Barlycorn	6
237	sp00ky_ghost977	6
237	SexcMf	6
237	Pumpkin_P_Patch	6
237	miramyu	6
237	PlzNoBM	6
237	Njensen7	6
237	VentiHilton	6
263	BadenStayFly	5
263	Gundam_Steven	5
263	ShedJr_	5
263	Archsam	5
263	gaziter10	5
263	NieToksikpl	5
263	Chickenchaser2	5
263	MinttyFressh	5
263	_Dean_123	5
263	himak1	5
263	KingEgg1	5
263	CollinMH06	5
263	legal_tax_evader	5
263	_8man	5
263	BronkerBrum	5
263	Sqwishy	5
263	IamCL4SSY	5
263	EdGalbraith	5
263	Deathkob	5
263	YungWali	5
263	pretty_pink_reno	5
263	Warlord324	5
263	technic_squirrel	5
263	deleteduser3c11b	5
263	Eczbek	5
263	TheBananaKat	5
263	Aryamanee	5
263	RadarHz	5
263	FelixPSY375	5
263	UrbanPlanningEx	5
263	TheWickedBird	5
294	Bandito_Roamer	4
294	MatsTheGoat	4
294	MixerDixer	4
294	I_Am_Mushkin	4
294	Creativebuilder2	4
294	hm947	4
294	Franco093	4
