rank	username	minecraft:picked_up/minecraft:sea_lantern
1	Hyp3rion_	162777
2	Jackattack53	96913
3	Frozil20	66747
4	Ezekson	57581
5	noam464	19938
6	Mr_Byzantine	18560
7	EcksD	15059
8	Enderxz3	5586
9	Kakolbus	5191
10	thewindmillman	4679
11	eitanzaki	4331
12	HellsSponge	4309
13	joethahobo	3661
14	beeperbeeper5	3109
15	Blaiku	2859
16	FreakGenius	2724
17	Mahoose	2696
18	Yamdalorian	2167
19	CliffEmAll	2124
20	Blu3beast	2116
21	pintsizedrogue	2105
22	Legendosh	1895
23	LuvLuvLove	1673
24	Alteriity	1562
25	shineh10	1509
26	Steelynan	1478
27	Di_infiri	1441
28	PigDab	1409
29	Racengan	1332
30	ImpavidArcher	1284
31	Snowflowe	1283
32	Lez_	1259
33	EMC_	1220
34	Spacewardharpy7	1186
35	fw3xy	1127
36	MilleGrug	1066
37	Marbz_	1058
38	Jimb0nat0r	935
39	fffMike	832
40	TheShyPig	831
41	luseis	829
42	MSK__	812
43	PlasticOtari	763
44	thescout7	743
45	PhantomsGhost_	684
46	Studio4x32	680
47	Quotary	669
48	MightyWertu	647
49	hm947	646
50	TheSecondLord	634
51	doublemaki	607
52	gcaisawesome	588
53	ConnorDanky_	571
54	Groundler	543
55	Incinere	537
56	Rumpletaezer	531
57	EveryonesUncle	527
58	m_be9	521
59	RoskobiOne	517
60	Zythose	497
61	NotMeanttoChange	489
62	jnp_gaming	469
63	Kowcio_	468
64	lordpipe	466
65	Onennon	439
66	lizardfightclub	413
67	Xclax101	408
68	Inbefour	405
69	xxPipperDipperxx	395
70	emreknugrlu	394
71	Buuck_	389
72	EngagedGrub41	387
73	Syropatathe	384
74	Werbe	375
75	diamondgolem35	373
76	12Magner05	358
77	Blackberry1310	357
78	mymayowasgone	355
79	Manaateee	354
80	T045RTY	350
81	Niklas20114552	349
82	kekhon	347
83	Sleepy_Time_	340
84	__tomato	334
84	Njensen7	334
86	_Dean_123	330
87	Sleepy_Evelyn	316
88	Arceus1975	313
89	Jovaphobic	301
90	Winklepicker279	299
91	Bumpy419	291
92	Iagoku	279
93	set67	274
94	500am	269
95	El_Jalapeno	262
96	legal_tax_evader	260
97	SammiWolfGirl	256
98	KartivGal	253
98	Lord_Jord	253
100	Maenara	252
101	xDraggin	247
102	royal_2	245
102	ROY4LE	245
104	Historical_Sand	244
105	BumbleBeever	242
106	mihimihimihi	241
107	XboxPanda	240
108	emrekn	236
109	NameGenerat0r	234
110	Inchef	226
110	TheDankPlatypus	226
112	SuperPooch06	222
113	_witch_craft_	220
114	Quaintster	218
115	_Mythic____	216
116	MattieHD	215
117	oscminus	208
118	FishyBoy3811	206
119	Krowuss	200
120	MinttyFressh	199
121	hanaryheatwave	195
121	claivin	195
121	KingMatthew506	195
124	livingdaydreams	194
125	Smashic	190
126	BadenStayFly	185
127	Merv__	182
128	gaziter10	181
129	M_Patata	179
129	MasterNueve	179
129	jcool7	179
132	MAns_44	178
133	titanlax	175
134	calamariclam_I	173
135	Prodiginus	167
136	rarrq	162
137	Sral7	156
138	Eraxa	155
139	Hoid_the_Roamer	150
140	PoogersLejit	144
141	F_Uhre	140
142	UltraZombie	138
143	mwrty	137
143	Skylord_Luke	137
143	MakeHistory157	137
146	AstreaTSS	134
147	hoaimi	133
148	SoftSix	132
149	bl1ss0	131
150	Huwulling	130
150	hydrothebot	130
152	olliebollie48	129
152	UrbanPlanningEx	129
154	Mattesco	128
154	KeruNatsema	128
154	AltnumberF4	128
157	sipl2	127
158	Tyrannosplart	125
158	CalebDHawk	125
160	Druid95	122
161	DarlaMeow	120
162	MunkaKris	116
163	j5ylim	113
163	NieToksikpl	113
163	Xalithia	113
166	Apollo_993	112
166	Akoot_	112
166	ElKaySVK	112
169	Truckoss	111
170	SpartanNamor	109
170	eiC_	109
170	brofrickcheaters	109
173	King_Pancake1	107
173	NomadicRobin_	107
175	Fullut	103
176	skroobiez	100
177	Nicserso	99
177	TechnoNinja64	99
179	Tersea_	94
179	SvenskaHugo	94
181	KarlKaek	93
182	Groovy_MoonBird	91
182	Rebytre	91
182	cuddlyMonster	91
182	Barlycorn	91
186	Kyrum2169	90
187	Shogunite	89
188	CoffeeNoir	85
188	VentiHilton	85
190	HyperCave	84
190	Pumpkin_P_Patch	84
192	Ryan_GEMS	83
193	Literally_Rat	82
193	SkateboardR6	82
195	catandmoose	81
196	AuroraValkyrie	79
197	teslawolf38	78
197	Secret_Canary	78
199	_Karmaa	77
199	monky_irl	77
199	pixelviolin	77
202	Dogcorn69420	76
203	LeauVox4921	75
204	soundad	73
205	ApophisNova	72
205	Eerini	72
205	IamCL4SSY	72
205	MyNamaSheff	72
209	DinoDoctor_	71
210	Comma__	70
211	excelsionprime	67
212	IAmTheWalrus910	66
212	ZoomieZoomie	66
214	valkam13	65
215	Crizma_	64
215	Liminalls	64
215	Quincannon	64
215	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	64
215	vandmanden	64
220	2Stout	63
220	wTXop	63
222	craaaash	62
222	audiocracked	62
224	Prismyst	61
224	U_Mos_	61
224	sigmabich	61
227	Awyrlas	60
227	fkGrim	60
229	MyNameIsJobo	59
229	Eczbek	59
231	PortlyPete69	58
232	Minimize501	57
232	Vorlice	57
232	voiding_	57
235	TheKingK_	56
236	robertsnose	53
237	radioactv_jelly	52
238	Swexti	49
238	Crowman1	49
238	stavgod	49
241	RebelAndroid	46
241	Paintz	46
241	Hiryu27	46
241	Yahir091	46
241	Airem_Core	46
246	ECstardust	44
246	SingedBread	44
246	SexcMf	44
249	AlexxO_o	43
249	TwinTowerV2	43
251	powercas_gamer	42
251	RobotMinion101	42
253	CLG_Kata	40
254	cog	39
255	Mewar	38
255	SpacesickPrism	38
257	Chromary	34
257	iSammael	34
259	ogoa	33
260	PazinGaming	32
260	SteveCraftBlocks	32
260	GooseWithin	32
260	FiguraDei	32
260	Cache3	32
265	k_ce	31
265	Cryptacity	31
