rank	username	minecraft:picked_up/minecraft:hay_block
1	Freak_Genius	1054
2	joethahobo	1029
3	Enderslayerxz3	786
4	500am	674
5	pintsizedrogue	596
6	thewindmillman	592
7	Kim_Jong_eel	460
8	Mahoose	450
9	Historical_Sand	388
10	kekhon	360
11	Ezekson	328
12	Vizzoid	301
13	Awyrlas	275
14	chipklip	266
15	Werbe	254
16	teslawolf38	245
17	fred870d	241
18	fanofbands101	237
19	Groovy_MoonBird	229
20	set67	221
21	TheShyPig	218
22	Kowcio_	217
23	TechnoNinja64	198
24	NotMeowMix	197
25	AssEatrAndLicker	187
26	Akoot_	185
27	Ailmast	177
28	thescout7	172
29	SvenskaHugo	162
30	PegLegPete93	154
31	ProfessorBee	148
32	Prodiginus	145
33	MangoTheFish	144
34	uhm__okay	142
35	Xclax101	141
36	RodSerlingCringe	132
36	Blu3beast	132
38	hcb238	131
38	Razzgriz	131
40	WYFYoyo	129
41	FishyBoy3811	128
42	EveryonesUncle	127
43	ExtraDumb	124
44	oxfordschool	123
45	T045RTY	122
45	masskedman	122
47	KliBeast21	120
48	Eraxa	119
48	anbbang	119
50	HellsSponge	106
51	victorLIE	105
51	diggydog67	105
53	EMC_	103
54	ROY4LE	101
55	rarrq	98
55	Kouridragon	98
55	HesDemonPants	98
58	Myhym	97
58	Smoke____	97
60	Bandito_Roamer	95
61	Kakolbus	93
62	TheSeismicDuck	92
63	Onennon	91
64	ooga47	90
64	DTwenty	90
66	Njensen7	89
67	vandmanden	87
68	SaucyDark	86
68	lordsaladito	86
68	KingMatthew506	86
71	Hyugo	84
71	CarltheCuck	84
73	abramgray	80
73	MyNameIsDakar	80
75	duelcard	79
76	Spacewardharpy7	78
77	Tmb1	77
78	Skylord_Luke	74
78	_AAZAR	74
80	Winston_Ingram	72
81	IdeallyGrey	69
82	Merv__	67
82	ImpavidArcher	67
82	Rumpletaezer	67
85	GlitchyPlate810	65
86	Drlzyy	64
86	ImDisconnected_	64
86	Snowflowe	64
89	TylerDupree	63
89	gabriels543	63
91	Unitas_isa	62
92	diamondgolem35	58
93	DScatgirls	57
94	LeeMcGee30	55
95	UncreativeArtist	54
95	MrMonster61	54
97	DanTheBuilderino	53
98	bloodbiter	51
98	SeverianTheLame	51
98	PortlyPete69	51
101	_Karmaa	49
101	Goat_Man512	49
103	Di_infiri	48
103	djancak	48
105	fffMike	47
106	Stynxy	45
106	Joestra	45
106	smogfrog	45
109	Michaelelelelele	44
109	wezzzi	44
109	C0oOK13M0N5T3R	44
109	Luigipunch989	44
109	EcksDofficial	44
114	Vryistal	43
114	Bolete	43
114	ElKaySVK	43
117	Hanselhoof	42
117	deerm	42
117	Airem_Core	42
120	NomadicRobin_	41
121	Euclidoris	40
121	noam464	40
121	Avermu	40
121	Quaintster	40
125	fluddd	39
125	stellarjay	39
127	TheDankPlatypus	38
127	Marbz_	38
127	_Boipl_	38
127	unren	38
131	6king6colt6	37
131	AlazelTheReal	37
131	m_be9	37
134	SugarMyNuggets	36
134	Azorathum	36
134	ATrojansLegend	36
134	SpaceTurtleOX	36
138	Myrlewen	35
138	301851	35
138	KartivGal	35
138	hdtpm	35
138	Soplight	35
143	Travka100	34
143	adiccting01	34
145	_Banjo_1	33
145	Prayingninja	33
145	CarryLine	33
145	Dan_Scha	33
145	sp00ky_ghost977	33
145	YungMaki	33
145	OfficerAnvil	33
152	noyan121	32
152	Eczbek	32
152	Legendosh	32
152	2blox	32
152	remmisrat	32
157	Fullut	31
157	ABitOddish	31
157	WarMachina	31
157	Rasmanden	31
161	_zzoe	30
161	Calbo_	30
163	tortillatitan	29
163	CharlieButt	29
163	RealDelver	29
166	MunkaKris	28
166	Frozt99	28
166	MinttyFressh	28
166	_naturell	28
166	Frozil12	28
171	Cartoonmaniac	27
171	xorompole	27
173	Nucket	26
173	Swexti	26
173	Xalithia	26
173	monky_irl	26
177	Ssor69	25
177	emrekn	25
177	SuperPooch06	25
180	eitanzaki	24
180	regulator75	24
180	natajimi	24
183	soundad	23
183	AnnieBathory	23
183	El_Jalapeno	23
183	TheOuterCore	23
183	Yogscast_Manden	23
188	RyuNeko932000	21
188	Blamphe	21
188	Gryglu583	21
188	fkGrim	21
192	Begformurrcy	20
192	jushykins	20
192	JungeSchnauzer	20
195	TheSecondLord	19
195	claivin	19
195	CheifJumbo	19
195	underscore_2	19
199	SaltineDream	18
199	H72l9w	18
199	SpaggeDR	18
199	Leeeegend	18
199	Yahir091	18
199	JosephCW	18
199	DennyKai	18
206	heysushii	17
206	Frxnkz	17
206	burbankbuilder28	17
206	OtariCharlie	17
206	a_smol_bean	17
211	_Razar	16
211	Myszoaz	16
211	12Magner05	16
211	V2Loon	16
211	Toasty_Tom	16
211	FreddyFart	16
211	_Hayt	16
211	SwooshBoi	16
219	Cryptacity	15
219	King_Pancake1	15
219	ApophisNova	15
219	jaimshae	15
219	MyNamaSheff	15
224	ewsophie	14
224	beeperbeeper5	14
224	SkateboardR6	14
224	starbits140	14
224	amkold	14
224	EcksD	14
224	Tristankill	14
231	PhantomsGhost_	13
231	KarlKaek	13
231	Hugi_79	13
231	Dirt158357	13
231	SHAOBADMAN	13
231	Deathkob	13
231	The_slideV3	13
231	MightyWertu	13
231	Barlycorn	13
231	Dusk_95	13
231	Chuglyfe	13
242	skatch212	12
242	aikabot	12
242	Misty_Breeze	12
242	DeeDeeThonk	12
246	maaacaroni	11
246	whoaluv	11
246	Aerqophs	11
246	LilyNova	11
246	PigDab	11
246	jewbacaman	11
246	yulgur1	11
246	Racengan	11
246	CrazyPotater	11
255	Hpdinosaur	10
255	Franco093	10
255	titanlax	10
255	slkiey	10
255	hayybails	10
255	CollinMH06	10
255	Skomo	10
255	lizardfightclub	10
255	KlausVonStiglitz	10
255	07shiny	10
255	brofrickcheaters	10
255	stahouo	10
255	laron58	10
268	AuroraValkyrie	9
268	Jagyeol	9
268	chlorinex	9
268	jacxhadow	9
268	DarlaMeow	9
268	MissCeleste7	9
268	Oxygen16	9
268	MeetTheWollo	9
276	rachcl	8
276	Wooptey	8
276	picardred	8
276	crying_wolf_13	8
276	CrookedKaptain	8
276	mwrty	8
276	OtherAnimus	8
276	Quincannon	8
276	sebastiensaborio	8
276	Skippeh	8
276	imaginek1d	8
276	Sral7	8
288	Louiis123	7
288	erikthebeanman	7
288	Blackberry1310	7
288	MindyDooWho	7
288	Matek_	7
288	wirelesstree	7
288	Russiancat1	7
288	Steven1282598	7
296	Isaac70096	6
296	RatatJuice	6
296	ShedJr_	6
296	heckface	6
296	noodlepack	6
