rank	username	minecraft:picked_up/minecraft:suspicious_stew
1	FreakGenius	70
2	Yamdalorian	42
3	Smashic	38
4	luseis	25
4	TechnoNinja64	25
6	noam464	22
6	Werbe	22
8	Lez_	21
8	slkiey	21
10	Akoot_	19
11	Mahoose	17
12	beeperbeeper5	16
12	Hyp3rion_	16
12	PigDab	16
15	TheShyPig	11
16	Paleshield	9
16	Kamflame	9
16	Jackattack53	9
19	Blackberry1310	8
19	Inbefour	8
19	Tyrannosplart	8
19	pixelviolin	8
23	mymayowasgone	7
23	legal_tax_evader	7
23	jambvds	7
26	robertsnose	6
26	LetsDoItLive	6
28	NatalieTW	5
28	Onennon	5
28	WyngGoy	5
31	rarrq	4
31	bloodbiter	4
31	kekhon	4
31	XboxPanda	4
31	sp00ky_ghost977	4
31	Soplight	4
31	jnp_gaming	4
31	LiquidFenrir	4
39	Merv__	3
39	SaucyDark	3
39	Sleepy_Time_	3
39	teqilas	3
39	Saucepeh	3
39	Fullut	3
39	oscminus	3
39	CarryLine	3
39	hoaimi	3
39	Manaateee	3
39	claivin	3
39	Blu3beast	3
39	Legendosh	3
39	LuvLuvLove	3
39	TheWickedBird	3
54	H0UNDFRMH3LL	2
54	k_ce	2
54	Bandito_Roamer	2
54	heysushii	2
54	Apollo_993	2
54	fanofbands101	2
54	NotMyLucKMC	2
54	Natty	2
54	joethahobo	2
54	TheSecondLord	2
54	12Magner05	2
54	Tiberonus	2
54	gcaisawesome	2
54	Kakolbus	2
54	thewindmillman	2
54	burbankbuilder28	2
54	calajimi	2
54	impossibleteapot	2
54	MousePlays	2
54	HellsSponge	2
54	El_Jalapeno	2
54	wwwwinnebagoooo	2
54	_MeowMix	2
54	doublemaki	2
54	Njensen7	2
54	hermmm_	2
54	cichy096	2
81	pintsizedrogue	1
81	_Virify_	1
81	Mr_Byzantine	1
81	chipklip	1
81	PazinGaming	1
81	Frozil20	1
81	imthatpikachu	1
81	Silenttieg	1
81	lorywithay	1
81	CoffeeNoir	1
81	MOSS000	1
81	MSK__	1
81	chlorinex	1
81	dopplexd	1
81	Comma__	1
81	BobDeBouwer1337	1
81	Nicky_H225	1
81	Lumien_	1
81	SteveCraftBlocks	1
81	500am	1
81	Scattman_	1
81	redikul	1
81	Tmb1	1
81	vyrodok	1
81	thescout7	1
81	NotMeanttoChange	1
81	eviltunix	1
81	Xalithia	1
81	arbitraryAxiom	1
81	SuperPooch06	1
81	AJplaysMC_	1
81	Zythose	1
81	AnnieBathory	1
81	Felenov	1
81	olek_kosa2009pvp	1
81	cedric72	1
81	FishyBoy3811	1
81	Kim_Jong_eel	1
81	Dan_Scha	1
81	lizardfightclub	1
81	Maenara	1
81	Tergandius	1
81	Hahaa_0	1
81	natajimi	1
81	XxCookiequeenxX	1
81	master9067	1
81	SolicitedPuma101	1
81	Ragnar2105	1
81	Toiton	1
81	HELLO_I_AM_BEAR	1
81	MAns_44	1
81	Xclax101	1
81	LordAurum	1
81	MovingFish7	1
81	Eraxa	1
81	morose_moose	1
81	Kowcio_	1
81	starbits140	1
81	ediballbearings	1
81	xzvu	1
81	SammiWolfGirl	1
81	_TCARREIRA_	1
81	robonya_	1
81	fffMike	1
81	jcool7	1
81	Kubeusz2010	1
81	taengoos	1
81	Armetti	1
81	11Brewer	1
81	EcksD	1
81	CattSoup	1
81	HesDemonPants	1
81	Kiki_Majiki	1
81	Sral7	1
81	remmisrat	1
81	diggydog67	1
