rank	username	minecraft:picked_up/minecraft:green_concrete_powder
1	Hyp3rion_	167233
2	thewindmillman	1418
3	joethahobo	1294
4	Kowcio_	1140
5	Mr_Byzantine	899
6	Archsam	385
7	Kukkelikuk	311
8	HellsSponge	307
9	Legendosh	251
10	Cowison	250
11	mwrty	246
12	EMC_	220
13	Manaateee	187
14	ApophisNova	142
15	CattSoup	135
16	pintsizedrogue	133
17	lordpipe	131
18	KingMatthew506	124
19	Kakolbus	118
20	PortlyPete69	113
21	Jackattack53	96
22	Snowflowe	87
22	jnp_gaming	87
24	Nicserso	86
25	okCrypto	73
26	Hiryu27	63
27	PigDab	57
28	p4lp	48
29	MyNamaSheff	46
30	MrExplorer	44
31	AlexxO_o	36
32	TheSecondLord	33
32	Soplight	33
34	SteveCraftBlocks	32
35	TheShyPig	27
36	The_slideV3	21
36	Sral7	21
38	mobunni	18
39	Smashic	17
40	NameGenerat0r	16
40	Enderxz3	16
42	YungMaki	15
43	Alteriity	14
44	rarrq	13
44	CornOnTheCobalt	13
46	Steelynan	12
46	AdmiralSmoke	12
48	epiksk8erduck	11
49	Hoid_the_Roamer	10
50	TruestTurnip	9
51	TheEnderMan548	8
52	AssFullaCum	7
53	Cryptacity	6
53	LeonelSalamanca	6
53	Spacewardharpy7	6
56	noam464	5
56	SuperPooch06	5
56	Werbe	5
56	Blaiku	5
56	iSammael	5
56	jcool7	5
56	ConnorDanky_	5
63	Koffeeinz	4
63	cedric72	4
65	Mahoose	3
65	gcaisawesome	3
65	Optiprimus	3
65	BlankityMcBlank	3
65	__tomato	3
65	Jimb0nat0r	3
65	PlasticOtari	3
72	eve	2
72	eitanzaki	2
72	LionelHutzESQ	2
72	beeperbeeper5	2
72	WWWWMWWWWWWWWWWW	2
72	Karetoko	2
72	Krowuss	2
72	oscminus	2
72	claivin	2
72	MakeHistory157	2
72	stellarjay	2
72	Luigipunch989	2
72	Mr_Teddiursa_K	2
72	little_dUki	2
72	Powowowow	2
87	Anne_Primrose	1
87	6king6colt6	1
87	ewsophie	1
87	Arteriana	1
87	301851	1
87	carloselpapii	1
87	MattieHD	1
87	lorpus	1
87	ROY4LE	1
87	asspharte	1
87	killmeiamtraitor	1
87	HoldThatPee	1
87	EveryonesUncle	1
87	Fuhrer_Teemo	1
87	SolicitedPuma101	1
87	Tyrannosplart	1
87	DarlaMeow	1
87	Quaintster	1
87	501g	1
87	Eraxa	1
87	carbo_bro	1
87	Segotep999	1
87	EcksD	1
87	RoboTramp7865	1
87	TechnoNinja64	1
